country|pid|rank|week
DEN|147387|1|18173
MAS|107832|2|18173
CHN|990139|3|18173
KOR|108069|4|18173
IND|216143|5|18173
JPN|157159|6|18173
TPE|109227|7|18173
CHN|108456|8|18173
CHN|109370|9|18173
HKG|109501|10|18173
IND|161366|11|18173
INA|389169|12|18173
INA|409860|13|18173
JPN|239769|14|18173
INA|108457|15|18173
DEN|396249|16|18173
TPE|239492|17|18173
IND|216144|18|18173
FRA|108274|19|18173
HKG|108463|20|18173
DEN|108276|21|18173
THA|409866|22|18173
JPN|239514|23|18173
IND|108469|24|18173
THA|109388|25|18173
KOR|116149|26|18173
DEN|396247|27|18173
NED|315261|28|18173
ENG|108290|29|18173
KOR|108082|30|18173
THA|109371|31|18173
KOR|387378|32|18173
JPN|391571|33|18173
BRA|199925|34|18173
THA|107873|35|18173
CHN|143771|36|18173
FRA|197408|37|18173
CHN|195641|38|18173
TPE|109374|39|18173
HKG|279226|40|18173
MAS|107837|41|18173
HKG|108471|42|18173
DEN|108272|43|18173
ESP|113583|44|18173
INA|195648|45|18173
DEN|194165|46|18173
RUS|108128|47|18173
ISR|108120|48|18173
CHN|1928758|49|18173
ENG|157020|50|18173
MAS|318753|51|18173
MAS|107859|52|18173
MAS|107993|53|18173
IND|107852|54|18173
FRA|113724|55|18173
CHN|868322|56|18173
INA|468392|57|18173
GUA|109133|58|18173
JPN|314842|59|18173
THA|117986|60|18173
DEN|243697|61|18173
RUS|144219|62|18173
TPE|165523|63|18173
IND|286558|64|18173
ENG|283430|65|18173
CAN|1121769|66|18173
THA|280244|67|18173
MAS|243527|68|18173
DEN|206076|69|18173
IND|108876|70|18173
IND|646810|71|18173
FRA|116891|72|18173
VIE|107840|73|18173
KOR|284015|74|18173
FIN|216637|75|18173
UKR|143603|76|18173
MAS|669250|77|18173
IND|108863|78|18173
MAS|168997|79|18173
INA|107839|80|18173
IND|409861|81|18173
GER|108878|82|18173
ITA|108185|83|18173
VIE|199895|84|18173
FIN|108141|85|18173
HKG|194160|86|18173
IRL|664701|87|18173
INA|146440|88|18173
MRI|252669|89|18173
EST|108118|90|18173
INA|468287|91|18173
MEX|934596|92|18173
CZE|109611|93|18173
CZE|353119|94|18173
TUR|113773|95|18173
HUN|199271|96|18173
CRO|108310|97|18173
SWE|283428|98|18173
CHN|143772|99|18173
IND|654324|100|18173
FIN|165976|101|18173
BEL|113602|102|18173
SWE|370439|103|18173
JPN|109545|104|18173
JOR|361263|105|18173
GER|146260|106|18173
FRA|674117|107|18173
CUB|116485|108|18173
THA|313451|109|18173
POL|113422|110|18173
NZL|366447|111|18173
FIN|165979|112|18173
CHN|1026182|113|18173
IND|289094|114|18173
ESP|1060823|115|18173
SGP|674146|116|18173
GER|355051|117|18173
IND|351015|118|18173
SRI|109243|119|18173
JPN|1069030|120|18173
MAS|206104|121|18173
IND|108460|122|18173
NED|113627|123|18173
TUR|276131|124|18173
POR|317463|125|18173
BUL|108946|126|18173
GER|355050|127|18173
JPN|1561759|128|18173
IND|1140253|129|18173
CUB|165000|130|18173
MAS|243522|131|18173
POL|108607|132|18173
TPE|347689|133|18173
BRA|1080522|134|18173
CHN|1030866|135|18173
MEX|116168|136|18173
AUT|109620|137|18173
VIE|1064926|138|18173
JPN|109547|139|18173
IND|656879|140|18173
MEX|147456|141|18173
SLO|398144|142|18173
MAS|148759|143|18173
INA|453644|144|18173
JPN|391567|145|18173
INA|118630|146|18173
MAS|318750|147|18173
POR|394564|148|18173
CAN|2855841|149|18173
CHN|655687|150|18173
TPE|873873|151|18173
IND|1203560|152|18173
IRL|211736|153|18173
IND|349918|154|18173
PER|315257|155|18173
LUX|108610|156|18173
MRI|252661|157|18173
CZE|815600|158|18173
DEN|1272764|159|18173
SCO|108324|160|18173
IND|349916|161|18173
CAN|116856|162|18173
EGY|820520|163|18173
ENG|1000287|164|18173
DEN|243698|165|18173
CAN|2077262|166|18173
INA|146442|167|18173
PER|1462122|168|18173
IND|1205072|169|18173
EGY|163528|170|18173
TPE|141775|171|18173
FRA|365890|172|18173
IND|349895|173|18173
UKR|108708|174|18173
GHA|163813|175|18173
SGP|347214|176|18173
DEN|318795|177|18173
JOR|116804|178|18173
SUI|311209|179|18173
NOR|108182|180|18173
ITA|1067014|181|18173
MAS|168990|182|18173
THA|1176962|183|18173
SVK|728409|184|18173
NGR|934600|185|18173
FRA|1355035|186|18173
THA|1192211|187|18173
GER|359175|188|18173
RUS|109088|189|18173
NGR|1144607|190|18173
KOR|115931|191|18173
CZE|1220948|192|18173
EGY|888393|193|18173
GER|277782|194|18173
NGR|934602|195|18173
BUL|465219|196|18173
BUL|393204|197|18173
AUS|163804|198|18173
IND|350990|199|18173
JPN|391554|200|18173
ISR|306544|201|18173
AUT|384839|202|18173
INA|307096|203|18173
TPE|107843|204|18173
PYF|197970|205|18173
EGY|1657058|206|18173
USA|109002|207|18173
AUS|307253|208|18173
SVK|147441|209|18173
TPE|890740|210|18173
AUS|1206343|211|18173
ROU|387381|212|18173
MDA|1202747|213|18173
UKR|108121|214|18173
GUA|1072493|215|18173
NZL|1359522|216|18173
INA|468476|217|18173
AZE|656056|218|18173
AUS|1588681|219|18173
INA|195653|220|18173
TPE|1351253|221|18173
UKR|141154|222|18173
JAM|278625|223|18173
KOR|115938|224|18173
TPE|107865|225|18173
SWE|369647|226|18173
IND|662890|227|18173
GER|108860|228|18173
CHI|406280|229|18173
INA|656114|230|18173
TPE|211373|231|18173
SUR|206455|232|18173
INA|453627|233|18173
IND|116420|234|18173
FRA|393198|235|18173
CZE|261717|236|18173
POL|113427|237|18173
THA|1159930|238|18173
ENG|2034339|239|18173
MAS|361600|240|18173
IND|259004|241|18173
NEP|329588|242|18173
ITA|108165|243|18173
IND|349912|244|18173
NZL|239520|245|18173
TPE|860729|246|18173
JPN|163592|247|18173
ZAM|985008|248|18173
IRL|108292|249|18173
PER|1146166|250|18173
GRE|311222|251|18173
POL|222505|252|18173
CAN|1338025|253|18173
GUA|116567|254|18173
IND|672937|255|18173
CZE|108701|256|18173
ENG|208047|257|18173
SYR|868326|258|18173
BRA|1520355|259|18173
ESP|401290|260|18173
ISL|148194|261|18173
KOR|1263193|262|18173
MAS|1026274|263|18173
JPN|1069060|264|18173
AUS|113319|265|18173
SUI|356052|266|18173
DEN|396250|267|18173
BUL|108923|268|18173
ITA|1610454|269|18173
FIN|165978|270|18173
IND|1493329|271|18173
SGP|1201768|272|18173
CAN|349948|273|18173
SRI|109226|274|18173
JAM|163340|275|18173
DEN|1239935|276|18173
INA|468447|277|18173
IND|1443009|278|18173
IND|349908|279|18173
CHI|1606745|280|18173
INA|656230|281|18173
AUT|348403|282|18173
TTO|116787|283|18173
BRA|668768|284|18173
KAZ|1276905|285|18173
IND|1252418|286|18173
GER|1663886|287|18173
TPE|1586571|287|18173
AUS|1281408|289|18173
AUS|163801|290|18173
GUA|147573|291|18173
MEX|1080044|292|18173
THA|1349299|293|18173
USA|347217|294|18173
CHN|1928869|294|18173
INA|313452|296|18173
ZAM|471101|297|18173
USA|109144|298|18173
CHN|353093|299|18173
AUS|2187150|300|18173
DEN|1272731|301|18173
THA|464975|302|18173
TPE|1617833|303|18173
DOM|116493|304|18173
DEN|1273052|305|18173
IND|1573456|306|18173
TPE|816278|307|18173
USA|455885|308|18173
IND|349892|309|18173
USA|1948777|310|18173
DEN|1664448|311|18173
MAS|243523|312|18173
JAM|147248|313|18173
POL|311503|314|18173
INA|353096|315|18173
