country|date|pid|rank|week
CHN|6/13/2013|64643|1|5060
IND|6/13/2013|52748|2|5060
GER|6/13/2013|13475|3|5060
CHN|6/13/2013|53938|4|5060
THA|6/13/2013|35642|5|5060
KOR|6/13/2013|76594|6|5060
DEN|6/13/2013|10358|7|5060
CHN|6/13/2013|83064|8|5060
JPN|6/13/2013|66644|9|5060
TPE|6/13/2013|61427|10|5060
IND|6/13/2013|73173|11|5060
JPN|6/13/2013|15417|12|5060
THA|6/13/2013|54511|13|5060
INA|6/13/2013|96130|14|5060
TPE|6/13/2013|15509|15|5060
THA|6/13/2013|57971|16|5060
THA|6/13/2013|58271|17|5060
CHN|6/13/2013|14874|18|5060
KOR|6/13/2013|22455|19|5060
THA|6/13/2013|67158|20|5060
SGP|6/13/2013|53782|21|5060
INA|6/13/2013|15828|22|5060
CHN|6/13/2013|78288|23|5060
JPN|6/13/2013|34890|24|5060
HKG|6/13/2013|51649|25|5060
CHN|6/13/2013|64643|1|5060
IND|6/13/2013|52748|2|5060
GER|6/13/2013|13475|3|5060
CHN|6/13/2013|53938|4|5060
THA|6/13/2013|35642|5|5060
KOR|6/13/2013|76594|6|5060
DEN|6/13/2013|10358|7|5060
CHN|6/13/2013|83064|8|5060
JPN|6/13/2013|66644|9|5060
TPE|6/13/2013|61427|10|5060
IND|6/13/2013|73173|11|5060
JPN|6/13/2013|15417|12|5060
THA|6/13/2013|54511|13|5060
INA|6/13/2013|96130|14|5060
TPE|6/13/2013|15509|15|5060
THA|6/13/2013|57971|16|5060
THA|6/13/2013|58271|17|5060
CHN|6/13/2013|14874|18|5060
KOR|6/13/2013|22455|19|5060
THA|6/13/2013|67158|20|5060
SGP|6/13/2013|53782|21|5060
INA|6/13/2013|15828|22|5060
CHN|6/13/2013|78288|23|5060
JPN|6/13/2013|34890|24|5060
HKG|6/13/2013|51649|25|5060
BUL|6/13/2013|12765|26|5060
ESP|6/13/2013|18228|27|5060
INA|6/13/2013|14710|28|5060
HKG|6/13/2013|52929|29|5060
FRA|6/13/2013|18998|30|5060
JPN|6/13/2013|43256|31|5060
JPN|6/13/2013|96713|32|5060
CZE|6/13/2013|51739|33|5060
INA|6/13/2013|35662|34|5060
INA|6/13/2013|54248|35|5060
SCO|6/13/2013|48528|36|5060
MAS|6/13/2013|18143|37|5060
JPN|6/13/2013|53392|38|5060
GER|6/13/2013|51204|39|5060
CHN|6/13/2013|62313|40|5060
SGP|6/13/2013|52706|41|5060
IRL|6/13/2013|89666|42|5060
MAS|6/13/2013|53153|43|5060
NED|6/13/2013|5564|44|5060
BUL|6/13/2013|15105|45|5060
ESP|6/13/2013|95780|46|5060
SGP|6/13/2013|53788|47|5060
SGP|6/13/2013|54698|48|5060
USA|6/13/2013|52771|49|5060
INA|6/13/2013|66963|50|5060
INA|6/13/2013|97185|51|5060
MAS|6/13/2013|52103|52|5060
INA|6/13/2013|66974|53|5060
CAN|6/13/2013|72164|54|5060
CAN|6/13/2013|3951|55|5060
TPE|6/13/2013|14864|56|5060
CHN|6/13/2013|76908|57|5060
SUI|6/13/2013|82656|58|5060
SUI|6/13/2013|54068|59|5060
CAN|6/13/2013|84523|60|5060
IND|6/13/2013|21036|61|5060
CHN|6/13/2013|16100|62|5060
