country|pid|rank|week
TPE|141780|1|18042
JPN|314824|2|18042
IND|108519|3|18042
THA|109407|4|18042
CHN|995456|5|18042
ESP|113677|6|18042
CHN|990142|7|18042
JPN|165528|8|18042
IND|107881|9|18042
KOR|108086|10|18042
THA|113951|11|18042
USA|107883|12|18042
CAN|109491|13|18042
JPN|117943|14|18042
DEN|734887|15|18042
HKG|109502|16|18042
JPN|314823|17|18042
KOR|284037|18|18042
THA|347220|19|18042
JPN|108085|20|18042
CHN|1246306|21|18042
RUS|109100|22|18042
KOR|208023|23|18042
TPE|109344|24|18042
DEN|201892|25|18042
ESP|113674|26|18042
CHN|1030562|27|18042
SCO|113549|28|18042
JPN|118604|29|18042
THA|169010|30|18042
TPE|354085|31|18042
HKG|107888|32|18042
INA|658107|33|18042
MAS|396333|34|18042
MAS|107900|35|18042
MAS|243539|36|18042
TUR|161343|37|18042
CAN|437004|38|18042
CHN|1620383|39|18042
INA|1243716|40|18042
DEN|318796|41|18042
INA|195682|42|18042
BUL|108626|43|18042
TPE|107904|44|18042
CHN|1026211|45|18042
CAN|1171011|46|18042
INA|146453|47|18042
TPE|313462|48|18042
DEN|1121609|49|18042
JPN|1023035|50|18042
DEN|113405|51|18042
CHN|1518211|52|18042
IND|1567872|53|18042
VIE|109261|54|18042
CHN|109508|55|18042
SUI|108660|56|18042
ENG|256621|57|18042
RUS|109098|58|18042
GER|277789|59|18042
TPE|655842|60|18042
INA|314830|61|18042
JPN|1069187|62|18042
KOR|284046|63|18042
CHN|143810|64|18042
NED|113649|65|18042
USA|1938471|66|18042
MRI|118498|67|18042
BUL|146291|68|18042
JPN|1068948|69|18042
GER|359173|70|18042
MAS|318769|71|18042
TUR|674130|72|18042
GER|108341|73|18042
VIE|389182|74|18042
FRA|306540|75|18042
ISR|108200|76|18042
PER|165354|77|18042
IND|2120209|78|18042
IND|1526580|79|18042
AUS|118293|80|18042
NED|195693|81|18042
THA|1144234|82|18042
KOR|284040|83|18042
EST|300579|84|18042
MAS|361604|85|18042
UKR|109108|86|18042
INA|280260|87|18042
INA|118684|88|18042
SVK|261720|89|18042
IND|349921|90|18042
JPN|118602|91|18042
ESP|401293|92|18042
DEN|396264|93|18042
IND|1521429|94|18042
BLR|108374|95|18042
USA|990146|96|18042
THA|318763|97|18042
SUI|161868|98|18042
USA|1240516|99|18042
IND|161370|100|18042
NGR|437079|101|18042
JPN|391566|102|18042
SGP|347240|103|18042
DEN|854830|104|18042
MAS|161866|105|18042
UKR|109103|106|18042
IND|349927|107|18042
IND|349935|108|18042
CHN|1030652|109|18042
HKG|2821516|110|18042
THA|1140634|111|18042
KOR|1739752|112|18042
CUB|165007|113|18042
IND|1575290|114|18042
DEN|284065|115|18042
JPN|391565|116|18042
WAL|157036|117|18042
ENG|148696|118|18042
THA|107893|119|18042
EGY|116154|120|18042
CZE|108772|121|18042
ESP|1989051|122|18042
USA|1987789|123|18042
THA|391562|124|18042
BEL|108196|125|18042
CHN|1929595|126|18042
IND|673279|127|18042
USA|117257|128|18042
TUR|108959|129|18042
DEN|1664484|130|18042
HUN|319929|131|18042
EGY|384815|132|18042
UGA|221030|133|18042
INA|148764|134|18042
EST|163348|135|18042
DEN|1209143|136|18042
USA|109177|137|18042
AUS|113370|138|18042
RUS|1189720|139|18042
JPN|1489698|140|18042
BRA|116205|141|18042
AUS|307259|142|18042
IND|408545|143|18042
THA|1144046|144|18042
FRA|306541|145|18042
SGP|347234|146|18042
INA|873699|147|18042
CZE|108770|148|18042
INA|339280|149|18042
POR|243516|150|18042
EST|369659|151|18042
MEX|1269796|152|18042
FRA|454429|153|18042
PER|1437015|154|18042
UKR|659468|155|18042
MAS|243534|156|18042
THA|396334|157|18042
FIN|109660|158|18042
TPE|1586466|159|18042
DEN|1966429|160|18042
IND|216148|161|18042
IND|349922|162|18042
