game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|1|-|||-|54564||2014-02-20|1474
1|2|21|14501||14|74424||2014-02-20|1474
2|2|21|14501||12|74424||2014-02-20|1474
1|2|21|80831||6|67683||2014-02-20|1474
2|2|21|80831||5|67683||2014-02-20|1474
1|1|-|76933||-|90591||2014-02-20|1474
1|2|21|91090||15|9400||2014-02-20|1474
2|2|21|91090||8|9400||2014-02-20|1474
1|2|21|96826||7|||2014-02-20|1474
2|2|21|96826||12|||2014-02-20|1474
1|2|21|45725||7|78083||2014-02-20|1474
2|2|21|45725||7|78083||2014-02-20|1474
1|2|21|95952||5|61049||2014-02-20|1474
2|2|21|95952||7|61049||2014-02-20|1474
1|2|21|||6|58477||2014-02-20|1474
2|2|21|||6|58477||2014-02-20|1474
1|2|21|||7|74982||2014-02-20|1474
2|2|21|||16|74982||2014-02-20|1474
1|3|21|27984||15|||2014-02-20|1474
2|3|19|27984||21|||2014-02-20|1474
3|3|24|27984||22|||2014-02-20|1474
1|3|17|79272||21|||2014-02-20|1474
2|3|21|79272||19|||2014-02-20|1474
3|3|21|79272||13|||2014-02-20|1474
1|2|21|66616||11|||2014-02-20|1474
2|2|21|66616||14|||2014-02-20|1474
1|2|21|90427||12|98457||2014-02-20|1474
2|2|21|90427||7|98457||2014-02-20|1474
1|2|21|91090||14|||2014-02-20|1474
2|2|21|91090||18|||2014-02-20|1474
1|2|21|45725||3|76933||2014-02-20|1474
2|2|21|45725||8|76933||2014-02-20|1474
1|2|21|14501||15|80831||2014-02-20|1474
2|2|21|14501||16|80831||2014-02-20|1474
1|2|21|96826||13|||2014-02-20|1474
2|2|21|96826||9|||2014-02-20|1474
1|2|21|||14|27984||2014-02-20|1474
2|2|21|||9|27984||2014-02-20|1474
1|2|21|95952||13|||2014-02-20|1474
2|2|21|95952||18|||2014-02-20|1474
1|2|21|51665||4|||2014-02-20|1474
2|2|21|51665||18|||2014-02-20|1474
1|2|21|90427||17|79272||2014-02-20|1474
2|2|21|90427||12|79272||2014-02-20|1474
1|2|21|83532||9|||2014-02-20|1474
2|2|21|83532||5|||2014-02-20|1474
1|2|21|73464||12|54594||2014-02-20|1474
2|2|21|73464||9|54594||2014-02-20|1474
1|2|21|69899||11|||2014-02-20|1474
2|2|21|69899||3|||2014-02-20|1474
1|3|18|||21|83355||2014-02-20|1474
2|3|21|||16|83355||2014-02-20|1474
3|3|21|||16|83355||2014-02-20|1474
1|2|21|96090||10|60815||2014-02-20|1474
2|2|21|96090||13|60815||2014-02-20|1474
1|2|21|98243||10|||2014-02-20|1474
2|2|21|98243||10|||2014-02-20|1474
1|2|21|||13|66881||2014-02-20|1474
2|2|21|||19|66881||2014-02-20|1474
1|2|21|64028||17|48833||2014-02-20|1474
2|2|21|64028||18|48833||2014-02-20|1474
1|1|-|81973||-|93570||2014-02-20|1474
1|2|21|90427||13|||2014-02-20|1474
2|2|21|90427||11|||2014-02-20|1474
1|2|21|87227||17|||2014-02-20|1474
2|2|21|87227||13|||2014-02-20|1474
1|2|21|52229||10|13414||2014-02-20|1474
2|2|21|52229||13|13414||2014-02-20|1474
1|2|21|39982||11|45725||2014-02-20|1474
2|2|21|39982||12|45725||2014-02-20|1474
1|2|21|95952||6|54586||2014-02-20|1474
2|2|21|95952||13|54586||2014-02-20|1474
1|2|21|24294||9|82399||2014-02-20|1474
2|2|21|24294||12|82399||2014-02-20|1474
1|1|-|96826||-|52645||2014-02-20|1474
1|2|21|51968||14|91090||2014-02-20|1474
2|2|23|51968||21|91090||2014-02-20|1474
1|2|21|77223||10|||2014-02-20|1474
2|2|21|77223||18|||2014-02-20|1474
1|2|21|||4|95995||2014-02-20|1474
2|2|21|||14|95995||2014-02-20|1474
1|2|21|66616||12|89358||2014-02-20|1474
2|2|21|66616||18|89358||2014-02-20|1474
1|2|21|50266||13|48084||2014-02-20|1474
2|2|21|50266||13|48084||2014-02-20|1474
1|3|21|14501||19|||2014-02-20|1474
2|3|16|14501||21|||2014-02-20|1474
3|3|21|14501||19|||2014-02-20|1474
1|2|21|||17|90265||2014-02-20|1474
2|2|21|||14|90265||2014-02-20|1474
1|2|21|||6|9643||2014-02-20|1474
2|2|21|||9|9643||2014-02-20|1474
1|2|21|44496||2|93986||2014-02-20|1474
2|2|21|44496||12|93986||2014-02-20|1474
1|2|21|13710||7|51665||2014-02-20|1474
2|2|21|13710||7|51665||2014-02-20|1474
1|2|21|38907||5|||2014-02-20|1474
2|2|21|38907||3|||2014-02-20|1474
1|2|21|83532||16|69899||2014-02-20|1474
2|2|21|83532||17|69899||2014-02-20|1474
1|2|21|||18|73464||2014-02-20|1474
2|2|21|||15|73464||2014-02-20|1474
1|3|13|||21|98243||2014-02-20|1474
2|3|21|||15|98243||2014-02-20|1474
3|3|21|||16|98243||2014-02-20|1474
1|2|21|96090||2|||2014-02-20|1474
2|2|21|96090||11|||2014-02-20|1474
1|2|21|64028||14|||2014-02-20|1474
2|2|21|64028||12|||2014-02-20|1474
1|2|21|52229||8|90427||2014-02-20|1474
2|2|21|52229||15|90427||2014-02-20|1474
1|2|21|81973||10|||2014-02-20|1474
2|2|21|81973||9|||2014-02-20|1474
1|2|21|52901||7|87227||2014-02-20|1474
2|2|21|52901||13|87227||2014-02-20|1474
1|3|21|95952||18|39982||2014-02-20|1474
2|3|19|95952||21|39982||2014-02-20|1474
3|3|21|95952||15|39982||2014-02-20|1474
1|2|21|77223||15|66616||2014-02-20|1474
2|2|21|77223||8|66616||2014-02-20|1474
1|2|22|50266||20|24294||2014-02-20|1474
2|2|21|50266||12|24294||2014-02-20|1474
1|2|21|51968||19|96826||2014-02-20|1474
2|2|23|51968||21|96826||2014-02-20|1474
1|2|21|44496||13|||2014-02-20|1474
2|2|21|44496||15|||2014-02-20|1474
1|2|21|38907||7|||2014-02-20|1474
2|2|21|38907||3|||2014-02-20|1474
1|2|21|||15|14501||2014-02-20|1474
2|2|21|||19|14501||2014-02-20|1474
1|1|-|||-|||2014-02-21|1474
1|2|21|79272|83532|15|||2014-02-21|1474
2|2|21|79272|83532|19|||2014-02-21|1474
1|1|-|24294|52901|-|66616|48833|2014-02-21|1474
1|2|21|54586|98243|18|91594|73464|2014-02-21|1474
2|2|21|54586|98243|10|91594|73464|2014-02-21|1474
1|2|21|39324||10|||2014-02-21|1474
2|2|21|39324||9|||2014-02-21|1474
1|2|21||51665|14|90265|66881|2014-02-21|1474
2|2|21||51665|16|90265|66881|2014-02-21|1474
1|2|21|||8|||2014-02-21|1474
2|2|21|||0|||2014-02-21|1474
1|3|17|||21|82399||2014-02-21|1474
2|3|21|||8|82399||2014-02-21|1474
3|3|21|||18|82399||2014-02-21|1474
