date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150805|0:15|21|Victor Manuel Ramirez|none|12|Mauro Marzullo|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:15|21|Victor Manuel Ramirez|none|15|Mauro Marzullo|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:23|21|Felippe Cury Fonseca|none|7|Quijada Willfer|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:23|21|Felippe Cury Fonseca|none|11|Quijada Willfer|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:10|Walkover Win|Jason Anthony Ho-Shue|none|Walkover Loss|Shane Wilson|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:20|21|Ty Alexander Lindeman|none|8|Jose Del Real|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:20|21|Ty Alexander Lindeman|none|11|Jose Del Real|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:25|21|Leonardo Isa|none|14|Guzman Carlos|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:25|21|Leonardo Isa|none|16|Guzman Carlos|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:12|Walkover Win|Jonathan Bing Tsan Lai|none|Walkover Loss|Kevin Yao Lin Zou|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:25|21|Angel Argenis Marinez Ulloa|none|17|Agustin Klein|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:25|21|Angel Argenis Marinez Ulloa|none|17|Agustin Klein|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:35|18|Raiane Rosa Melo|none|21|Valeria Reynoso Ochoa|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:35|21|Raiane Rosa Melo|none|16|Valeria Reynoso Ochoa|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:35|21|Raiane Rosa Melo|none|10|Valeria Reynoso Ochoa|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:10|Walkover Win|Liceth Camila Sanchez Lozano|none|Walkover Loss|Damaris Mercedes Ortiz Parada|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:34|25|Thainara Borges Da Silva|none|23|Chiara Carranza|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:34|21|Thainara Borges Da Silva|none|14|Chiara Carranza|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:18|21|Giselle Chan|none|9|Azul Siepe|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:18|21|Giselle Chan|none|7|Azul Siepe|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:19|21|Qingzi Ouyang|none|8|Jaqueline Carvalho|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:19|21|Qingzi Ouyang|none|9|Jaqueline Carvalho|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:32|21|Kerry Xu|none|11|Monserrat Soto|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:32|21|Kerry Xu|none|12|Monserrat Soto|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:22|21|Jamie Hsu|none|11|Laura Gabriela Sanchez Real|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:22|21|Jamie Hsu|none|11|Laura Gabriela Sanchez Real|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:21|21|Kylie Cheng|none|10|Anahi Paola De La Torre Martinez|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:21|21|Kylie Cheng|none|9|Anahi Paola De La Torre Martinez|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:51|14|Leticia Konno|none|21|Tatiana Caicedo Munoz|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:51|21|Leticia Konno|none|17|Tatiana Caicedo Munoz|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:51|21|Leticia Konno|none|16|Tatiana Caicedo Munoz|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:25|21|Adriana Irais Valero Mata|none|15|Maria Delia Zambrano [3/4]|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:25|21|Adriana Irais Valero Mata|none|17|Maria Delia Zambrano [3/4]|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:27|21|Cassandra Rivero|none|6|Ana Montefinale|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:27|21|Cassandra Rivero|none|7|Ana Montefinale|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:20|21|Annie Xu|none|2|Georgina Penelope Orellana Santos|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:20|21|Annie Xu|none|1|Georgina Penelope Orellana Santos|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:12|Walkover Win|Chloe Rowe|none|Walkover Loss|Tiffany Sánchez|none|B1CFA5C2-8075-44B1-9372-F36A84700994|singles
20150805|0:35|21|Guardado Jassiel|Georgina Penelope Orellana Santos|16|Agustin Klein|Ana Montefinale|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:35|16|Guardado Jassiel|Georgina Penelope Orellana Santos|21|Agustin Klein|Ana Montefinale|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:35|21|Guardado Jassiel|Georgina Penelope Orellana Santos|16|Agustin Klein|Ana Montefinale|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805||Walkover Win|Austin James Bauer|Julie Ngoc Pham|Walkover Loss|Joshua Soler Román|Genesis Valentin|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:20|21|Hector Lopez Lomeli|Valeria Reynoso Ochoa|12|Fabian Moreno|Liceth Camila Sanchez Lozano|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:20|21|Hector Lopez Lomeli|Valeria Reynoso Ochoa|15|Fabian Moreno|Liceth Camila Sanchez Lozano|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805||Walkover Win|Darren Yang |Victoria Chen|Walkover Loss|Quijada Willfer|Tiffany Sánchez|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:25|21|Angel Argenis Marinez Ulloa|Bermary Altagracia Polanco Munoz|19|Joao Bajer|Leticia Konno|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:25|22|Angel Argenis Marinez Ulloa|Bermary Altagracia Polanco Munoz|20|Joao Bajer|Leticia Konno|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:25|21|Jonathan Bing Tsan Lai|Kylie Cheng|19|Francisco Rafael Trevino Buenrostro|Anahi Paola De La Torre Martinez|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:25|21|Jonathan Bing Tsan Lai|Kylie Cheng|15|Francisco Rafael Trevino Buenrostro|Anahi Paola De La Torre Martinez|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:24|21|Ty Alexander Lindeman|Takeisha Wang|10|Benjamin Chen|Jamie Hsu|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:24|21|Ty Alexander Lindeman|Takeisha Wang|12|Benjamin Chen|Jamie Hsu|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:27|21|Diego Morales|Monserrat Soto|16|Vinicius Gori|Raiane Rosa Melo|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
20150805|0:27|24|Diego Morales|Monserrat Soto|22|Vinicius Gori|Raiane Rosa Melo|B1CFA5C2-8075-44B1-9372-F36A84700994|doubles
