date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190307|0:20|21|Leo Rolly Carnando |Indah Cahya Sari Jamil|12|Wu Guan Xun|Huang Ching Ping|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:20|21|Leo Rolly Carnando |Indah Cahya Sari Jamil|11|Wu Guan Xun|Huang Ching Ping|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:25|21|Marvin Datko|Jule Petrikowski|12|Patryk Kordek|Dominika Kwasnik|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:25|21|Marvin Datko|Jule Petrikowski|15|Patryk Kordek|Dominika Kwasnik|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:49|22|Rasmus Espersen |Christine Busch|20|Bernadus Bagas Kusuma Wardana|Tryola Nadia|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:49|15|Rasmus Espersen |Christine Busch|21|Bernadus Bagas Kusuma Wardana|Tryola Nadia|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:49|21|Rasmus Espersen |Christine Busch|18|Bernadus Bagas Kusuma Wardana|Tryola Nadia|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:34|21|Dwiki Rafian Restu|Amalia Cahaya Pratiwi|11|Navaneeth Bokka|Sahithi Bandi|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:34|21|Dwiki Rafian Restu|Amalia Cahaya Pratiwi|19|Navaneeth Bokka|Sahithi Bandi|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:25|21|Feng Yanzhe |Lin Fangling|18|Takuma Kawamoto|Kaho Osawa|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:25|21|Feng Yanzhe |Lin Fangling|11|Takuma Kawamoto|Kaho Osawa|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:22|21|Guan Zicong|Guo Lizhi|13|Theo Vaur|Emilie Vercelot|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:22|21|Guan Zicong|Guo Lizhi|14|Theo Vaur|Emilie Vercelot|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:24|21|Brandon Zhi Hao Yap |Abbygael Harris|15|Egor Velp|Viktoriia Kozyreva|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
20190307|0:24|21|Brandon Zhi Hao Yap |Abbygael Harris|14|Egor Velp|Viktoriia Kozyreva|FFB09744-0805-40B0-A93C-6F92453094F6|doubles
