date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180824||Walkover Win|Christian Kepp Stennicke|none|Walkover Loss|Andreas Andersen|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:34|21|Oscar Sunekær|none|11|Anton Tjulin|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:34|21|Oscar Sunekær|none|12|Anton Tjulin|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:37|21|Ludvig Petre Olsson|none|13|Kjell Mielke|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:37|21|Ludvig Petre Olsson|none|18|Kjell Mielke|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824||Walkover Win|Jonas Jæger|none|Walkover Loss|Yanis Gaudin|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:32|21|Joshua Apiliga|none|15|Minh Quang Pham|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:32|21|Joshua Apiliga|none|15|Minh Quang Pham|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:35|21|Nikolaj Mangor|none|12|Joao Fernandes|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:35|21|Nikolaj Mangor|none|11|Joao Fernandes|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:33|21|Magnus Klinggaard|none|16|Brandon Zhi Hao Yap|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:33|21|Magnus Klinggaard|none|10|Brandon Zhi Hao Yap|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:30|22|Isabelle Grafsund|none|20|Emilie Faaborg|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:30|21|Isabelle Grafsund|none|8|Emilie Faaborg|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:28|21|Maria Kuse|none|11|Anjali Bhujun|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:28|21|Maria Kuse|none|4|Anjali Bhujun|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:34|21|Milena Schnider|none|11|Ann-Sofie Husher Ruus|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:34|21|Milena Schnider|none|14|Ann-Sofie Husher Ruus|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:35|21|Sophia Grundtvig|none|11|Malena Norrman|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:35|21|Sophia Grundtvig|none|18|Malena Norrman|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:35|21|Frederikke Lund|none|18|Dounia Pelupessy|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:35|21|Frederikke Lund|none|10|Dounia Pelupessy|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:39|21|Brian Holtschke |none|16|August Bjorkler|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:39|21|Brian Holtschke |none|18|August Bjorkler|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:36|21|Philip Kidmose Henriksen|none|15|Theo Lanier|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:36|21|Philip Kidmose Henriksen|none|14|Theo Lanier|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:36|21|Alexis Vanhaecke|none|17|Marcus Boman [6]|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:36|21|Alexis Vanhaecke|none|11|Marcus Boman [6]|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824||Walkover Win|Martin Ouazzen |none|Walkover Loss|Mads Sørensen|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:49|28|Joel Hansson|none|26|Mathias Pedersen [5]|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:49|22|Joel Hansson|none|20|Mathias Pedersen [5]|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
20180824|0:30|21|Magnus Johannesen|none|9|Joshua Apiliga|none|664E6F08-9634-429E-93A4-3B2AA80FFA92|singles
