date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170927||21|Toma Junior Popov|none|12|Oleksandar Shmundyak|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Toma Junior Popov|none|7|Oleksandar Shmundyak|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||25|Harshit Aggarwal|none|23|Pierrick Cajot [15]|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Harshit Aggarwal|none|11|Pierrick Cajot [15]|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Rasmus Messerschmidt|none|7|Andy Tsai|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Rasmus Messerschmidt|none|9|Andy Tsai|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Jan Louda|none|19|Andraz Krapez|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Jan Louda|none|10|Andraz Krapez|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Wolfgang Gnedt|none|11|Manuel Vazquez|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Wolfgang Gnedt|none|10|Manuel Vazquez|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||9|Robert Cybulski|Wiktoria Dabczynska|21|Alexandr Kozyrev|Anastasiia Pustinskaia|FAB98C22-8379-457F-A3DB-7CB44C95E909|doubles
20170927||21|Robert Cybulski|Wiktoria Dabczynska|18|Alexandr Kozyrev|Anastasiia Pustinskaia|FAB98C22-8379-457F-A3DB-7CB44C95E909|doubles
20170927||21|Robert Cybulski|Wiktoria Dabczynska|18|Alexandr Kozyrev|Anastasiia Pustinskaia|FAB98C22-8379-457F-A3DB-7CB44C95E909|doubles
20170927||19|Adi Pratama|none|21|Maciej Poulakowski|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Adi Pratama|none|14|Maciej Poulakowski|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Adi Pratama|none|11|Maciej Poulakowski|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Kaho Funahashi|none|12|Veronika Koldová|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Kaho Funahashi|none|8|Veronika Koldová|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Cristen Elizabeth Marritt|none|7|Lucia Vojtekova|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Cristen Elizabeth Marritt|none|6|Lucia Vojtekova|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Gergely Krausz |none|12|Christopher Grimley|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
20170927||21|Gergely Krausz |none|11|Christopher Grimley|none|FAB98C22-8379-457F-A3DB-7CB44C95E909|singles
