date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151103|0:25|21|Rahul Yadav Chittaboina|none|11|Nadeem Nahaz|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Rahul Yadav Chittaboina|none|19|Nadeem Nahaz|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:52|21|Murad Ali|none|11|Ros Leonard Pedrosa|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:52|19|Murad Ali|none|21|Ros Leonard Pedrosa|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:52|21|Murad Ali|none|15|Ros Leonard Pedrosa|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:20|21|Yang Chih Hsun|none|14|Stefan Crasto|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:20|21|Yang Chih Hsun|none|9|Stefan Crasto|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:18|21|Amrullo Bakhshullaev|none|4|Randy Bacia|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:18|21|Amrullo Bakhshullaev|none|10|Randy Bacia|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:28|21|Indra Bagus Ade Chandra |none|14|Amir Saeed|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:28|21|Indra Bagus Ade Chandra |none|12|Amir Saeed|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:30|21|Luka Wraber |none|15|Artyom Savatyugin|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:30|21|Luka Wraber |none|12|Artyom Savatyugin|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:13|21|Subhankar Dey|none|9|Elyas Jaffar|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:13|21|Subhankar Dey|none|8|Elyas Jaffar|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:20|21|James Varghese|none|12|Jayakumar Pullani|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:20|21|James Varghese|none|10|Jayakumar Pullani|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Sameer Verma |none|4|Subhash Aroliveettil|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Sameer Verma |none|9|Subhash Aroliveettil|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:33|21|Pablo Abian |none|19|Ali Ahmed El Khateeb|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:33|21|Pablo Abian |none|14|Ali Ahmed El Khateeb|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Harsheel Dani|none|11|Vishnu Sreekumar|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Harsheel Dani|none|12|Vishnu Sreekumar|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:47|21|Pratul Joshi|none|17|Jacob Maliekal [12]|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:47|21|Pratul Joshi|none|18|Jacob Maliekal [12]|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:57|21|Alen Roj|none|11|Murad Ali|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:57|15|Alen Roj|none|21|Murad Ali|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:57|21|Alen Roj|none|18|Murad Ali|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:23|21|Howard Shu |none|8|Rohit Jaykumar|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:23|21|Howard Shu |none|13|Rohit Jaykumar|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|1:07|20|Rahul Yadav Chittaboina|none|22|Sarang Lakhanee|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|1:07|24|Rahul Yadav Chittaboina|none|22|Sarang Lakhanee|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|1:07|21|Rahul Yadav Chittaboina|none|15|Sarang Lakhanee|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:40|18|Ygor Coelho De Oliveira |none|21|Awais Zahid|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:40|21|Ygor Coelho De Oliveira |none|13|Awais Zahid|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:40|21|Ygor Coelho De Oliveira |none|18|Awais Zahid|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Sİnan Zorlu|none|7|Kay Ee Yeoh|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Sİnan Zorlu|none|14|Kay Ee Yeoh|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:21|21|Abhishek Yelegar|none|11|Oleg Savatugin|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:21|21|Abhishek Yelegar|none|7|Oleg Savatugin|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Maxime Moreels |none|4|Emmanuelle Umali|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:25|21|Maxime Moreels |none|5|Emmanuelle Umali|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:40|21|Vladimir Malkov |none|10|C. Rohit Yadav|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:40|21|Vladimir Malkov |none|15|C. Rohit Yadav|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:38|21|Giovanni Greco|none|19|Rizwan Azam|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
20151103|0:38|21|Giovanni Greco|none|19|Rizwan Azam|none|F08BA8D1-EB4E-4727-A979-B72D54E1A953|singles
