date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150710|0:16|21|Jagdish Singh Dhanoa Kuldip Singh|Daphne Ng Chiew Yen|13|Leonardo Alkimin|Ana Paula Campos|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:16|21|Jagdish Singh Dhanoa Kuldip Singh|Daphne Ng Chiew Yen|14|Leonardo Alkimin|Ana Paula Campos|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:20|21|Martin Robert Campbell|Victoria Anne Williams|16|Thomas Heiniger|Sanya Herzig|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:20|21|Martin Robert Campbell|Victoria Anne Williams|12|Thomas Heiniger|Sanya Herzig|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:17|21|Saraswathisantosh Radhakrishna Ravuri|Leela Lakshmi Rachapalli|19|Ashwin Narkar|Adrienne Lin|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:17|21|Saraswathisantosh Radhakrishna Ravuri|Leela Lakshmi Rachapalli|16|Ashwin Narkar|Adrienne Lin|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:18|21|Kim Sa Rang|Go Ah Ra|9|Igor Bjelan|Milica Simic|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:18|21|Kim Sa Rang|Go Ah Ra|6|Igor Bjelan|Milica Simic|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:12|21|Tomoki Arai|Mirai Shinoda|7|U.G. Yasitha Sakmal Kariyawasam|Achini Narmada Herath|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:12|21|Tomoki Arai|Mirai Shinoda|8|U.G. Yasitha Sakmal Kariyawasam|Achini Narmada Herath|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:14|21|Vountus Indra Mawan Saniru|Wei Chyi Ti|14|Alexis Gohier-Drolet|Vicky Girard-Simmons|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:14|21|Vountus Indra Mawan Saniru|Wei Chyi Ti|14|Alexis Gohier-Drolet|Vicky Girard-Simmons|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:18|17|A.L.A. Pamuditha Lahiru Ambegoda|Achini Nimeshika R.K.Mudiyanselage|21|Derrick Long|Stephanie Lam|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:18|21|A.L.A. Pamuditha Lahiru Ambegoda|Achini Nimeshika R.K.Mudiyanselage|12|Derrick Long|Stephanie Lam|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:18|21|A.L.A. Pamuditha Lahiru Ambegoda|Achini Nimeshika R.K.Mudiyanselage|9|Derrick Long|Stephanie Lam|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:14|21|Low Juan Shen|Mohamad Arif Bin Ab Latif|11|Rohit Yadav Chittaboina|Shreyansh Kumar Jaiswal|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
20150710|0:14|21|Low Juan Shen|Mohamad Arif Bin Ab Latif|17|Rohit Yadav Chittaboina|Shreyansh Kumar Jaiswal|6FB37F0C-1E71-483D-9037-D51EF50D9229|doubles
