date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181210|0:35|21|KIM Seok Dong|KIM Na Yeong|19|YOO Tae Bin|KIM Na Yeon|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:35|21|KIM Seok Dong|KIM Na Yeong|12|YOO Tae Bin|KIM Na Yeon|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:50|21|MOON Jun Hyeok|KOO Bo Eun|14|CHOO Chan|KIM Yoo Mi|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:50|9|MOON Jun Hyeok|KOO Bo Eun|21|CHOO Chan|KIM Yoo Mi|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:50|21|MOON Jun Hyeok|KOO Bo Eun|19|CHOO Chan|KIM Yoo Mi|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:28|21|Woei-Jye WANG|HUA Tzu-Yuan|18|LEE Yoo Jun|LEE Hye Won|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:28|23|Woei-Jye WANG|HUA Tzu-Yuan|21|LEE Yoo Jun|LEE Hye Won|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:16|21|JIN Sung Ik|KIM Yu Jung|5|HSIEH Cheng-Yun|CHEN Yu-Syuan|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:16|21|JIN Sung Ik|KIM Yu Jung|1|HSIEH Cheng-Yun|CHEN Yu-Syuan|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|JO Seong Min|LEE Seo Yeon|11|YOO Sang Ik|KIM Hye Bin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|JO Seong Min|LEE Seo Yeon|17|YOO Sang Ik|KIM Hye Bin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:25|21|MYOUNG Seung Hyun|LEE So Yul|9|KIM Min Uk|LEE Min Seo|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:25|21|MYOUNG Seung Hyun|LEE So Yul|16|KIM Min Uk|LEE Min Seo|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:28|21|LEE Byeong Jin|YOON Da Hyeon|6|KIM Dae Hwan|KIM Min Sol|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:28|21|LEE Byeong Jin|YOON Da Hyeon|18|KIM Dae Hwan|KIM Min Sol|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|Shoei NOGUCHI|Hina OSAWA|13|YOON Hyun Woo|KIM Su Yeon|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|Shoei NOGUCHI|Hina OSAWA|9|YOON Hyun Woo|KIM Su Yeon|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:23|21|KIM Ji Woong|YOON Ye Lim|10|CHEN Yu-Chen|SUNG Yi-Hsuan|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:23|21|KIM Ji Woong|YOON Ye Lim|12|CHEN Yu-Chen|SUNG Yi-Hsuan|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:24|21|JIN Yong|LEE Seol Won|11|LEE Won Jun|KIM Bo Ryeong|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:24|21|JIN Yong|LEE Seol Won|18|LEE Won Jun|KIM Bo Ryeong|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:26|21|NA Gwang Min|YOO A Yeon|15|JEONG Hyun Geol|LEE Chae Eun|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:26|21|NA Gwang Min|YOO A Yeon|10|JEONG Hyun Geol|LEE Chae Eun|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:24|21|KIM Kyung Min|JO Min|17|BANG Jin Seok|PARK Min Kyung|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:24|21|KIM Kyung Min|JO Min|8|BANG Jin Seok|PARK Min Kyung|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:40|21|M ATEF Haikal Taufik|LOW Yeen Yuan|19|CHOI Jeong Min|KANG Da Young|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:40|21|M ATEF Haikal Taufik|LOW Yeen Yuan|13|CHOI Jeong Min|KANG Da Young|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:22|21|SONG Jin Young|CHO Hye Rin|10|KIM Jun Soo|JEONG Se In|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:22|21|SONG Jin Young|CHO Hye Rin|12|KIM Jun Soo|JEONG Se In|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:30|27|KIM Jae Jin|KIM So Hyun|25|CHOI Min Ki|PARK Eun Jin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:30|21|KIM Jae Jin|KIM So Hyun|8|CHOI Min Ki|PARK Eun Jin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:56|15|KIM Soon Hyeon|CHOI Seo Yeon|21|WANG Wen-Hong [8]|TSAI Hsin-Pei|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:56|21|KIM Soon Hyeon|CHOI Seo Yeon|17|WANG Wen-Hong [8]|TSAI Hsin-Pei|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:56|25|KIM Soon Hyeon|CHOI Seo Yeon|23|WANG Wen-Hong [8]|TSAI Hsin-Pei|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|KIM Min Joon|PARK So Hee|10|CHEN Yu-Ting|CHAO Ting-Yu|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|KIM Min Joon|PARK So Hee|11|CHEN Yu-Ting|CHAO Ting-Yu|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:29|21|LEE Hyeok|KIM Ji Won|16|KIM Myung Chul|BAEK Song Ha|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:29|21|LEE Hyeok|KIM Ji Won|16|KIM Myung Chul|BAEK Song Ha|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:33|21|LEE Sang Hyup|JUNG Hee Su|11|YIM Han Bin|KIM Yun Ju|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:33|21|LEE Sang Hyup|JUNG Hee Su|10|YIM Han Bin|KIM Yun Ju|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:47|21|Riki TAKEI|Kaoru SUGIYAMA|15|LEE Ju Hyun|LEE Na Rin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:47|16|Riki TAKEI|Kaoru SUGIYAMA|21|LEE Ju Hyun|LEE Na Rin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:47|21|Riki TAKEI|Kaoru SUGIYAMA|14|LEE Ju Hyun|LEE Na Rin|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:22|21|HA Dong Hun|CHOI Hye Jin|14|SHON Sung Hyuk|LEE Se Eun|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:22|21|HA Dong Hun|CHOI Hye Jin|18|SHON Sung Hyuk|LEE Se Eun|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|KWAK Hee Chang|YANG Young Eun|8|YI Chung-Te|HUNG Yu- En|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:20|21|KWAK Hee Chang|YANG Young Eun|9|YI Chung-Te|HUNG Yu- En|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:25|21|KIM Ji Woo|LEE Ye Ji|18|PARK Gyeong Min|JUNG In Hye|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:25|21|KIM Ji Woo|LEE Ye Ji|18|PARK Gyeong Min|JUNG In Hye|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:43|21|KIM Gi Nam|LEE A Reum|16|KIM Tae Yang|JO Yeon Hee|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:43|18|KIM Gi Nam|LEE A Reum|21|KIM Tae Yang|JO Yeon Hee|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:43|21|KIM Gi Nam|LEE A Reum|14|KIM Tae Yang|JO Yeon Hee|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:23|21|LEE Hak Joo|KIM Ga Lam|9|CHOI Pyeong Kang|CHOI Hyo Won|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:23|21|LEE Hak Joo|KIM Ga Lam|13|CHOI Pyeong Kang|CHOI Hyo Won|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|doubles
20181210|0:26|25|LEE Young Seo|none|23|HWANGBO Eun|none|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|singles
20181210|0:26|21|LEE Young Seo|none|11|HWANGBO Eun|none|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|singles
20181210|0:45|21|OH Yeon Ju|none|17|KIM Joo Hee|none|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|singles
20181210|0:45|18|OH Yeon Ju|none|21|KIM Joo Hee|none|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|singles
20181210|0:45|21|OH Yeon Ju|none|14|KIM Joo Hee|none|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|singles
20181210|0:50|21|JEON Ah Ram|none|19|Stella TRAN|none|59F1DFD7-8503-4186-9DC0-1DDBB6D641C2|singles
