date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161115|0:17|21|Lu Kai|Zheng Siwei|8|Pak Chuu Chow|Kay Ee Yeoh|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:17|21|Lu Kai|Zheng Siwei|8|Pak Chuu Chow|Kay Ee Yeoh|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:26|21|Zhang Yiman|none|12|Wan Yi Tang|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:26|21|Zhang Yiman|none|14|Wan Yi Tang|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:45|21|Guo Kai|none|16|Lee Cheuk Yiu|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:45|26|Guo Kai|none|24|Lee Cheuk Yiu|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:47|21|Ye Binghong|none|17|Toby Penty|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:47|22|Ye Binghong|none|20|Toby Penty|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:42|21|Zhu Siyuan|none|15|Khosit Phetpradab|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:42|21|Zhu Siyuan|none|18|Khosit Phetpradab|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:36|21|Zhao Jun Peng|none|16|Riichi Takeshita|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:36|21|Zhao Jun Peng|none|13|Riichi Takeshita|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:20|21|Wu Xin|none|6|Nicholas Bonkowsky|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:20|21|Wu Xin|none|9|Nicholas Bonkowsky|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:41|21|Zhou Zeqi|none|11|Jacob Maliekal|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:41|21|Zhou Zeqi|none|18|Jacob Maliekal|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:17|21|Lin Yu Hsien|none|4|Yan Tuck Chan|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:17|21|Lin Yu Hsien|none|6|Yan Tuck Chan|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:38|17|Andre Marteen|none|21|Kay Ee Yeoh|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:38|21|Andre Marteen|none|9|Kay Ee Yeoh|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:38|21|Andre Marteen|none|12|Kay Ee Yeoh|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|1:06|21|Hui Xirui |none|18|Li Wenmei|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|1:06|17|Hui Xirui |none|21|Li Wenmei|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|1:06|21|Hui Xirui |none|18|Li Wenmei|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:34|21|Zhang Yiman|none|12|Li Yun [4]|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:34|21|Zhang Yiman|none|13|Li Yun [4]|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:24|21|Ji Shuting|none|11|Maya Chen [2]|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:24|21|Ji Shuting|none|16|Maya Chen [2]|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:39|21|Zhu Siyuan|none|18|Ye Binghong|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:39|21|Zhu Siyuan|none|18|Ye Binghong|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:30|21|Peng Qin|none|13|Su Yu Chen [1]|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:30|21|Peng Qin|none|15|Su Yu Chen [1]|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:50|20|Zhao Jun Peng|none|22|Wu Xin|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:50|24|Zhao Jun Peng|none|22|Wu Xin|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:50|21|Zhao Jun Peng|none|12|Wu Xin|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:38|21|Lin Yu Hsien|none|19|Zhou Zeqi|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:38|21|Lin Yu Hsien|none|11|Zhou Zeqi|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:34|21|Guo Kai|none|16|Andre Marteen|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:34|21|Guo Kai|none|12|Andre Marteen|none|12490F7E-629A-410C-9365-F7938C57AA25|singles
20161115|0:39|21|Zhang Nan|Li Yinhui|17|Chi-Lin Wang|Chia Hsin Lee|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:39|26|Zhang Nan|Li Yinhui|24|Chi-Lin Wang|Chia Hsin Lee|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:25|21|Zheng Siwei |Chen Qingchen|9|Lu Ching Yao|Chiang Kai Hsin|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:25|21|Zheng Siwei |Chen Qingchen|17|Lu Ching Yao|Chiang Kai Hsin|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:34|21|Lu Kai |Huang Yaqiong|18|Jae Hwan Kim|Lee So Hee|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:34|21|Lu Kai |Huang Yaqiong|12|Jae Hwan Kim|Lee So Hee|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:42|21|Liu Yuchen|Chen Lu|11|Kim Astrup|Line Kjaersfeldt|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:42|6|Liu Yuchen|Chen Lu|21|Kim Astrup|Line Kjaersfeldt|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:42|21|Liu Yuchen|Chen Lu|12|Kim Astrup|Line Kjaersfeldt|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:28|21|Yuta Watanabe|Arisa Higashino|12|Lee Chun Hei Reginald|Chau Hoi Wah|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:28|21|Yuta Watanabe|Arisa Higashino|15|Lee Chun Hei Reginald|Chau Hoi Wah|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:46|21|Ronald Alexander|Melati Daeva Oktavianti|17|Yang Lee|Hsu Ya Ching|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:46|18|Ronald Alexander|Melati Daeva Oktavianti|21|Yang Lee|Hsu Ya Ching|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:46|21|Ronald Alexander|Melati Daeva Oktavianti|15|Yang Lee|Hsu Ya Ching|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:30|21|Kenta Kazuno|Ayane Kurihara|15|Lin Chia Yu|Wu Ti Jung|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:30|21|Kenta Kazuno|Ayane Kurihara|15|Lin Chia Yu|Wu Ti Jung|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:49|21|Liu Cheng|Huang Dongping|19|Joachim Fischer Nielsen [6]|Christinna Pedersen|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:49|21|Liu Cheng|Huang Dongping|19|Joachim Fischer Nielsen [6]|Christinna Pedersen|12490F7E-629A-410C-9365-F7938C57AA25|doubles
20161115|0:19|21|Yoo Yeon Seong|Chang Ye Na|11|Yan Tuck Chan|Yuko Kawasaki|12490F7E-629A-410C-9365-F7938C57AA25|doubles
