date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160120||21|Pawel Kopanski|none|13|Mateja Manic|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Pawel Kopanski|none|16|Mateja Manic|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||Walkover Win|Lukasz Cimosz|none|Walkover Loss|Jan Jouda|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Arnaud Merkle|none|9|Wiktor Trecki|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Arnaud Merkle|none|7|Wiktor Trecki|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Tobias Kuenzi |none|11|Wojciech Sajdok|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Tobias Kuenzi |none|17|Wojciech Sajdok|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Luka Milic |none|16|Rafal Jakiel|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Luka Milic |none|18|Rafal Jakiel|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||22|Nenad Milosevic|none|20|Piotr Gajda|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||24|Nenad Milosevic|none|22|Piotr Gajda|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||15|Anežka Nováčková|none|21|Wiktoria Adamek|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Anežka Nováčková|none|13|Wiktoria Adamek|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||23|Anežka Nováčková|none|21|Wiktoria Adamek|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Zuzanna Glijer|none|9|Kitti Szotak|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||14|Zuzanna Glijer|none|21|Kitti Szotak|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Zuzanna Glijer|none|13|Kitti Szotak|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Hannaliina Piho|none|13|Olga Miksza|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Hannaliina Piho|none|17|Olga Miksza|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Michal Kikosicki |none|7|Szymon Stokfisz|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Michal Kikosicki |none|8|Szymon Stokfisz|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||23|Tamara Prostinakova|none|21|Daniela Bielinska|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Tamara Prostinakova|none|14|Daniela Bielinska|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Valentin Singer|none|8|Karol Gontarz|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Valentin Singer|none|8|Karol Gontarz|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Julie Ferrier|none|13|Karolina Szubert|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Julie Ferrier|none|14|Karolina Szubert|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Bartosz Markiewicz|none|19|Jan Somerlik [16]|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||13|Bartosz Markiewicz|none|21|Jan Somerlik [16]|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Bartosz Markiewicz|none|14|Jan Somerlik [16]|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Jan Louda |none|15|Pawel Smilowski|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||15|Jan Louda |none|21|Pawel Smilowski|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Jan Louda |none|15|Pawel Smilowski|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Aleksandra Goszczynska|none|17|Lenka Drotarova|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Aleksandra Goszczynska|none|15|Lenka Drotarova|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Danylo Bosniuk |none|6|Kamil Slupek|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Danylo Bosniuk |none|9|Kamil Slupek|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Robert Cybulski |none|18|Roman Altunyan|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Robert Cybulski |none|9|Roman Altunyan|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Nikita Lemeshko |none|11|Adrian Jaskowiak|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Nikita Lemeshko |none|16|Adrian Jaskowiak|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||19|Christopher Grimley|none|21|Balazs Papai|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Christopher Grimley|none|18|Balazs Papai|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Christopher Grimley|none|15|Balazs Papai|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Zuzanna Parysz|none|11|Zuzana Palkova|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||20|Zuzanna Parysz|none|22|Zuzana Palkova|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160120||21|Zuzanna Parysz|none|19|Zuzana Palkova|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160121||21|Pawel Kopanski|none|13|Mateja Manic|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160121||21|Pawel Kopanski|none|16|Mateja Manic|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160121||Walkover Win|Lukasz Cimosz|none|Walkover Loss|Jan Jouda|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160121||21|Arnaud Merkle|none|9|Wiktor Trecki|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
20160121||21|Arnaud Merkle|none|7|Wiktor Trecki|none|88F10E40-F76B-4D20-A62B-31C6DBC1E00B|singles
