date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150622||21|Sarka Krizkova|Katerina Tomalova|17|Katarina Galenic|Stasa Poznanovic|1C8A231B-BD42-472F-9ED9-8832339CFAF7|doubles
20150622||21|Sarka Krizkova|Katerina Tomalova|14|Katarina Galenic|Stasa Poznanovic|1C8A231B-BD42-472F-9ED9-8832339CFAF7|doubles
20150622||21|Sara Hognadottir|none|17|Sadowski Fiorella Marie|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Sara Hognadottir|none|13|Sadowski Fiorella Marie|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Rosario Maddaloni|none|3|Samuel Cali|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Rosario Maddaloni|none|10|Samuel Cali|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Laura Sarosi|none|15|Weronika Grudzina|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||15|Laura Sarosi|none|21|Weronika Grudzina|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Laura Sarosi|none|11|Weronika Grudzina|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Ekaterina Bolotova|Evgeniya Kosetskaya|19|Lorraine Baumann|Audrey Fontaine|1C8A231B-BD42-472F-9ED9-8832339CFAF7|doubles
20150622||21|Ekaterina Bolotova|Evgeniya Kosetskaya|12|Lorraine Baumann|Audrey Fontaine|1C8A231B-BD42-472F-9ED9-8832339CFAF7|doubles
20150622||21|Linda Zetchiri|none|11|Marija Ulitina|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Linda Zetchiri|none|16|Marija Ulitina|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
20150622||21|Milosz Bochat|Pawel Pietryja|15|Gennadiy Natarov|Artem Pochtarev|1C8A231B-BD42-472F-9ED9-8832339CFAF7|doubles
20150622||21|Milosz Bochat|Pawel Pietryja|18|Gennadiy Natarov|Artem Pochtarev|1C8A231B-BD42-472F-9ED9-8832339CFAF7|doubles
20150622||21|Clara Azurmendi|none|16|Sonia Goncalves|none|1C8A231B-BD42-472F-9ED9-8832339CFAF7|singles
