date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140617|0:23|22|Fran Kurniawan|Shendy Puspa Irawati|20|Wijaya Rendra|Keshya Nurvita Hanadia|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:23|21|Fran Kurniawan|Shendy Puspa Irawati|17|Wijaya Rendra|Keshya Nurvita Hanadia|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:44|21|Kevin Sanjaya Sukamuljo|Greysia Polii|11|Mohd Lutfi Zaim Abdul Khalid|Soong Fie Cho|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:44|16|Kevin Sanjaya Sukamuljo|Greysia Polii|21|Mohd Lutfi Zaim Abdul Khalid|Soong Fie Cho|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:44|24|Kevin Sanjaya Sukamuljo|Greysia Polii|22|Mohd Lutfi Zaim Abdul Khalid|Soong Fie Cho|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:50|18|Alfian Eko Prasetya |Annisa Saufika|21|Hee Yong Kai Terry|Fu Mingtian|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:50|21|Alfian Eko Prasetya |Annisa Saufika|13|Hee Yong Kai Terry|Fu Mingtian|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:50|21|Alfian Eko Prasetya |Annisa Saufika|16|Hee Yong Kai Terry|Fu Mingtian|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:22|21|Tan Aik Quan|Lim Yin Loo|6|Ricky Alvarino Sidarta|Nugraheny Ristya Ayu|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:22|21|Tan Aik Quan|Lim Yin Loo|17|Ricky Alvarino Sidarta|Nugraheny Ristya Ayu|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:27|21|Chayut Triyachart|Yao Lei|18|Hafiz Faisal|Della Destiara Haris|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:27|21|Chayut Triyachart|Yao Lei|18|Hafiz Faisal|Della Destiara Haris|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
20140617|0:30|21|Takeshi Kamura|Shizuka Matsuo|18|Edi Subaktiar [3]|Gloria Emanuelle Widjaja|957CFD68-C995-45DA-8EEE-6DD1B6F7C5FF|doubles
