date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190328|0:37|21|Mauricio David Torres Olazar|none|12|Matheus Diniz|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:37|12|Mauricio David Torres Olazar|none|21|Matheus Diniz|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:37|21|Mauricio David Torres Olazar|none|18|Matheus Diniz|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:22|21|Juan Ignacio Segui|none|15|Rafael Cabral|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:22|21|Juan Ignacio Segui|none|12|Rafael Cabral|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:24|21|Jose Gustavo Piccardo Cardozo|none|12|Gustavo Aquino|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:24|21|Jose Gustavo Piccardo Cardozo|none|13|Gustavo Aquino|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:51|21|Gabriel Cury|none|11|Mateo Maira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:51|19|Gabriel Cury|none|21|Mateo Maira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:51|21|Gabriel Cury|none|15|Mateo Maira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:10|Walkover Win|Julia Viana Vieira|none|Walkover Loss|Maria Fernanda Oliveira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:17|21|Isabel Azevedo|none|12|Rossirys Del Valle Garcia Araujo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:17|21|Isabel Azevedo|none|12|Rossirys Del Valle Garcia Araujo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:23|21|Tamires Santos|none|12|Sayane Regina Lima|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:23|21|Tamires Santos|none|11|Sayane Regina Lima|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:23|21|Luanna Capuli|none|13|Camila Dahiana Alvarez Benitez|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:23|21|Luanna Capuli|none|14|Camila Dahiana Alvarez Benitez|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:39|21|Munnyk Laia|none|17|Eucaris Dugarte|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:39|22|Munnyk Laia|none|24|Eucaris Dugarte|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:39|21|Munnyk Laia|none|14|Eucaris Dugarte|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:18|21|Willian Guimaraes|Sania Lima|6|Mauricio David Torres Olazar|Isabel Azevedo|719A1C1D-E409-48AC-B379-BB9BD35FE248|doubles
20190328|0:18|21|Willian Guimaraes|Sania Lima|10|Mauricio David Torres Olazar|Isabel Azevedo|719A1C1D-E409-48AC-B379-BB9BD35FE248|doubles
20190328|0:25|21|Matheus Diniz|Luanna Capuli|16|Jose Gustavo Piccardo Cardozo|Camila Dahiana Alvarez Benitez|719A1C1D-E409-48AC-B379-BB9BD35FE248|doubles
20190328|0:25|21|Matheus Diniz|Luanna Capuli|18|Jose Gustavo Piccardo Cardozo|Camila Dahiana Alvarez Benitez|719A1C1D-E409-48AC-B379-BB9BD35FE248|doubles
20190328|0:27|21|Nicolas Oliva |none|19|Marcos Ryan Santos Sousa|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:27|21|Nicolas Oliva |none|14|Marcos Ryan Santos Sousa|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:42|21|Enzo Anzai|none|12|Sebastian Contró [3]|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:42|19|Enzo Anzai|none|21|Sebastian Contró [3]|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:42|21|Enzo Anzai|none|13|Sebastian Contró [3]|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:27|21|Juan Ignacio Segui|none|16|Caio Silva|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:27|21|Juan Ignacio Segui|none|14|Caio Silva|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:32|24|Gabriel Cury|none|22|Messias Roni Silva|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:32|21|Gabriel Cury|none|17|Messias Roni Silva|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:25|21|Rafael Faria|none|11|Santiago Otero [2]|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:25|21|Rafael Faria|none|18|Santiago Otero [2]|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:19|21|Mauricio David Torres Olazar|none|11|Pedro Oliveira Santos|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:19|21|Mauricio David Torres Olazar|none|10|Pedro Oliveira Santos|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:41|14|Julio Cesar Gonzalez Vera|none|21|Jose Gustavo Piccardo Cardozo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:41|21|Julio Cesar Gonzalez Vera|none|18|Jose Gustavo Piccardo Cardozo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:41|22|Julio Cesar Gonzalez Vera|none|20|Jose Gustavo Piccardo Cardozo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:24|21|Willian Guimaraes |none|13|Leo Lee|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190328|0:24|21|Willian Guimaraes |none|8|Leo Lee|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:37|21|Mauricio David Torres Olazar|none|12|Matheus Diniz|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:37|12|Mauricio David Torres Olazar|none|21|Matheus Diniz|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:37|21|Mauricio David Torres Olazar|none|18|Matheus Diniz|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:22|21|Juan Ignacio Segui|none|15|Rafael Cabral|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:22|21|Juan Ignacio Segui|none|12|Rafael Cabral|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:24|21|Jose Gustavo Piccardo Cardozo|none|12|Gustavo Aquino|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:24|21|Jose Gustavo Piccardo Cardozo|none|13|Gustavo Aquino|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:51|21|Gabriel Cury|none|11|Mateo Maira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:51|19|Gabriel Cury|none|21|Mateo Maira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:51|21|Gabriel Cury|none|15|Mateo Maira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:10|Walkover Win|Julia Viana Vieira|none|Walkover Loss|Maria Fernanda Oliveira|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:17|21|Isabel Azevedo|none|12|Rossirys Del Valle Garcia Araujo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:17|21|Isabel Azevedo|none|12|Rossirys Del Valle Garcia Araujo|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:23|21|Tamires Santos|none|12|Sayane Regina Lima|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
20190329|0:23|21|Tamires Santos|none|11|Sayane Regina Lima|none|719A1C1D-E409-48AC-B379-BB9BD35FE248|singles
