date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170323||21|Milosz Bochat|Agnieszka Wojtkowska|11|Michal Hubacek|Monika Svetnickova|752B1A3A-24CD-4548-936E-BFC8E539FD2E|doubles
20170323||21|Milosz Bochat|Agnieszka Wojtkowska|12|Michal Hubacek|Monika Svetnickova|752B1A3A-24CD-4548-936E-BFC8E539FD2E|doubles
20170323||21|Krzysztof Jakowczuk |none|6|Hugo Jardim|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Krzysztof Jakowczuk |none|6|Hugo Jardim|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Michael Giesinger|none|9|Bartosz Markiewicz|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||24|Michael Giesinger|none|22|Bartosz Markiewicz|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||15|Andrey Parakhodin|none|21|Marcin Nowak|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||22|Andrey Parakhodin|none|20|Marcin Nowak|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Andrey Parakhodin|none|10|Marcin Nowak|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Dzmitry Saidakou|none|15|Piotr Krajewski|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Dzmitry Saidakou|none|18|Piotr Krajewski|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Michael Spencer-Smith |none|14|Mateusz Danielak|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||18|Michael Spencer-Smith |none|21|Mateusz Danielak|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Michael Spencer-Smith |none|17|Mateusz Danielak|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Michal Szymczak|Malgorzata Janiaczyk|14|Marcin Nowak|Kornelia Marczak|752B1A3A-24CD-4548-936E-BFC8E539FD2E|doubles
20170323||21|Michal Szymczak|Malgorzata Janiaczyk|17|Marcin Nowak|Kornelia Marczak|752B1A3A-24CD-4548-936E-BFC8E539FD2E|doubles
20170323||21|Max Weisskirchen|none|18|Maciej Ociepa|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Max Weisskirchen|none|15|Maciej Ociepa|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||15|Oleksandar Shmundyak|none|21|Matej Hlinican [7]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Oleksandar Shmundyak|none|14|Matej Hlinican [7]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Oleksandar Shmundyak|none|11|Matej Hlinican [7]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Andrey Parakhodin|none|17|Alan Ostrowski|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||24|Andrey Parakhodin|none|22|Alan Ostrowski|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||18|Valeriy Atrashchenkov|none|21|Mateusz Swierczynski [13]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Valeriy Atrashchenkov|none|11|Mateusz Swierczynski [13]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Valeriy Atrashchenkov|none|16|Mateusz Swierczynski [13]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Vytaute Fomkinaite |none|16|Anna Mikhalkova|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||23|Vytaute Fomkinaite |none|25|Anna Mikhalkova|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Vytaute Fomkinaite |none|16|Anna Mikhalkova|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Yee Yap|none|15|Vladyslava Lesnaya|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Yee Yap|none|9|Vladyslava Lesnaya|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Wiktoria Dabczynska|none|13|Monika Radovska|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Wiktoria Dabczynska|none|12|Monika Radovska|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Ben Torrance |none|7|Andrey Parakhodin|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Ben Torrance |none|9|Andrey Parakhodin|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Hrystyna Dzhangobekova|none|3|Anastasiya Cherniavskaya [5]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Hrystyna Dzhangobekova|none|12|Anastasiya Cherniavskaya [5]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Jan Louda|none|19|Wei Chi Liu [10]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Jan Louda|none|18|Wei Chi Liu [10]|none|752B1A3A-24CD-4548-936E-BFC8E539FD2E|singles
20170323||21|Michal Szymczak|Malgorzata Janiaczyk|11|Volodymyr Rozhkov [4]|Potapenko Tetyana|752B1A3A-24CD-4548-936E-BFC8E539FD2E|doubles
