date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171016|0:19|21|Alvaro Vazquez|none|10|Raja Muhammad Zulqarnain Haider|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:19|21|Alvaro Vazquez|none|15|Raja Muhammad Zulqarnain Haider|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:23|21|Gayatri Gopichand Pullela|none|8|Wiktoria Dabczynska|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:23|21|Gayatri Gopichand Pullela|none|12|Wiktoria Dabczynska|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:48|15|Ko Shing Hei|none|21|Jesper Paul|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:48|21|Ko Shing Hei|none|17|Jesper Paul|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:48|21|Ko Shing Hei|none|19|Jesper Paul|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:23|21|Talia Ng|none|7|Jessica Gurung|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:23|21|Talia Ng|none|6|Jessica Gurung|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:44|15|Magnus Johannesen|none|21|Ying Xiang Lin|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:44|21|Magnus Johannesen|none|15|Ying Xiang Lin|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:44|21|Magnus Johannesen|none|12|Ying Xiang Lin|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:17|21|Sally Fu|none|6|Camila Navas|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:17|21|Sally Fu|none|5|Camila Navas|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:40|26|Aidil Sholeh Ali Sadikin|none|24|Seong Jae Kim|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:40|21|Aidil Sholeh Ali Sadikin|none|17|Seong Jae Kim|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
20171016|0:16|21|Zou Zhuo Lin|none|5|Kherlen Darkhanbaatar|none|1EB05F2B-40D6-456F-8DD8-D91F0EA12DE7|singles
