date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190409|0:30|21|Mek Narongrit |Kwanchanok Sudjaipraparat|10|Chi Duc Nguyen|Thi Thu Minh Nguyen|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:30|21|Mek Narongrit |Kwanchanok Sudjaipraparat|16|Chi Duc Nguyen|Thi Thu Minh Nguyen|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:39|21|Iqbal Aji Tri Pamungkas|none|14|Panitchaphon Teeraratsakul|none|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|singles
20190409|0:39|21|Iqbal Aji Tri Pamungkas|none|10|Panitchaphon Teeraratsakul|none|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|singles
20190409|0:20|21|Yang Yang|none|6|Jeffrey Lam|none|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|singles
20190409|0:20|21|Yang Yang|none|7|Jeffrey Lam|none|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|singles
20190409|0:29|21|Patchara Sinkunakorn|Suphapich Silprakob|13|Vu Hung Nguyen|Thi Thanh Hien Dong|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:29|21|Patchara Sinkunakorn|Suphapich Silprakob|17|Vu Hung Nguyen|Thi Thanh Hien Dong|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:35|21|Cheung Ying Mei|none|18|Soraya Aghaeihajiagha [4]|none|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|singles
20190409|0:35|21|Cheung Ying Mei|none|10|Soraya Aghaeihajiagha [4]|none|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|singles
20190409|0:20|21|Lin Shang Kai |Tseng Yu-Chi|9|Napat Puangpakdee|Manassiri Bowonwitthanakul|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:20|21|Lin Shang Kai |Tseng Yu-Chi|16|Napat Puangpakdee|Manassiri Bowonwitthanakul|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:30|21|Lu Chia Hung|Chung Kan-Yu|14|Li Kuen Hon|Wong Ching Chi|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
20190409|0:30|21|Lu Chia Hung|Chung Kan-Yu|16|Li Kuen Hon|Wong Ching Chi|32EE91D3-943E-46EB-80ED-B12F8E0E22E5|doubles
