date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150212|0:34|18|Hamedanchi Azad Hale|none|21|Samin Abedkhojasteh|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:34|21|Hamedanchi Azad Hale|none|13|Samin Abedkhojasteh|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:34|21|Hamedanchi Azad Hale|none|14|Samin Abedkhojasteh|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:49|8|Fatemeh Sarvghadi|none|21|Yeganeh Kermani|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:49|21|Fatemeh Sarvghadi|none|18|Yeganeh Kermani|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:49|21|Fatemeh Sarvghadi|none|19|Yeganeh Kermani|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:21|21|Feizmanesh Elnaz |none|7|Marieta Nikoyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:21|21|Feizmanesh Elnaz |none|9|Marieta Nikoyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212||Walkover Win|Sara Keyvan|none|Walkover Loss|Al-Bayati Inas Khalid Rashid|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:25|21|Zahra Kahrizi|none|8|Anahit Manukyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:25|21|Zahra Kahrizi|none|8|Anahit Manukyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:25|21|Soniia Su Ya Cheah|none|11|Moloud Esmaeili [4]|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:25|21|Soniia Su Ya Cheah|none|8|Moloud Esmaeili [4]|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:16|21|Safora Zamanlo|none|7|Yana Sarkisyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:16|21|Safora Zamanlo|none|9|Yana Sarkisyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:43|21|Shabihi Yasamin|none|17|Kiana Hashemi|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:43|15|Shabihi Yasamin|none|21|Kiana Hashemi|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:43|21|Shabihi Yasamin|none|19|Kiana Hashemi|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:28|21|Linda Zetchiri |none|12|Negin Amiripour|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:28|21|Linda Zetchiri |none|13|Negin Amiripour|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:17|21|Rui Chen Yap|none|10|Hamedanchi Azad Hale|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:17|21|Rui Chen Yap|none|8|Hamedanchi Azad Hale|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:41|21|Soniia Su Ya Cheah|none|18|Ozge Bayrak [5]|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:41|21|Soniia Su Ya Cheah|none|10|Ozge Bayrak [5]|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:39|14|Pegah Kamrani|none|21|Lilit Poghosyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:39|21|Pegah Kamrani|none|18|Lilit Poghosyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:39|21|Pegah Kamrani|none|12|Lilit Poghosyan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:35|21|Natalia Perminova |none|13|Sara Delavari|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:35|21|Natalia Perminova |none|15|Sara Delavari|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:21|21|Ebru Yazgan|none|10|Safora Zamanlo|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:21|21|Ebru Yazgan|none|14|Safora Zamanlo|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
20150212|0:22|21|Kate Foo Kune |none|12|Sara Keyvan|none|06791B1E-D644-42B4-BFB3-9647DD1DD1C4|singles
