date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140306|0:21|21|Jun Su Lee|none|11|Dominik Zietek|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:21|21|Jun Su Lee|none|9|Dominik Zietek|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:30|21|Guipu Lin|none|18|Muhammad Revindra Raynaldi|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:30|21|Guipu Lin|none|7|Muhammad Revindra Raynaldi|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:23|21|Kristaps Janis Gulbis|none|16|Chongo Mulenga|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:23|21|Kristaps Janis Gulbis|none|15|Chongo Mulenga|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306||Walkover Win|Lukas Naujoks|none|Walkover Loss|Andrija Kraljić|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:55|17|Sean Vendy|none|21|Sachin Dias|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:55|21|Sean Vendy|none|11|Sachin Dias|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:55|21|Sean Vendy|none|19|Sachin Dias|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:24|21|Fabian Roth |none|3|Kevin Nilsson|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:24|21|Fabian Roth |none|2|Kevin Nilsson|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:35|21|Piotr Wasiluk|none|13|Collins-Valentine Filimon|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:35|15|Piotr Wasiluk|none|21|Collins-Valentine Filimon|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:35|21|Piotr Wasiluk|none|11|Collins-Valentine Filimon|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:25|21|Hui Tae Kim|none|10|Mathias Weber Estrup [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:25|21|Hui Tae Kim|none|12|Mathias Weber Estrup [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:43|19|Hannes Gerberich|none|21|Leon Seiwald|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:43|21|Hannes Gerberich|none|16|Leon Seiwald|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:43|23|Hannes Gerberich|none|21|Leon Seiwald|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:18|21|Zin Rei Ryan Ng |none|12|Lukas Rupp|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:18|21|Zin Rei Ryan Ng |none|6|Lukas Rupp|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:33|21|Daniel Farid S|none|8|Do Hyung Kim|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:33|21|Daniel Farid S|none|14|Do Hyung Kim|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:23|21|Alex Vlaar |none|12|Lukas Bölke|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:23|21|Alex Vlaar |none|9|Lukas Bölke|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:40|21|Feixiang Sun|none|11|Max Weißkirchen [3/4]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:40|21|Feixiang Sun|none|18|Max Weißkirchen [3/4]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306||Walkover Win|Žan Laznik|none|Walkover Loss|Patrick Scheiel|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:53|18|Satheishtharan Ramachandran|none|21|Ygor Coelho De Oliveira [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:53|21|Satheishtharan Ramachandran|none|16|Ygor Coelho De Oliveira [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:53|21|Satheishtharan Ramachandran|none|9|Ygor Coelho De Oliveira [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:22|21|Mateusz Biernacki|none|6|Noel Raffloer|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:22|21|Mateusz Biernacki|none|10|Noel Raffloer|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:20|21|Yuqi Shi |none|7|Kamod Rashmitha Halambage|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:20|21|Yuqi Shi |none|11|Kamod Rashmitha Halambage|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:25|21|Jun Su Lee|none|4|Bennet Köhler|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:25|21|Jun Su Lee|none|12|Bennet Köhler|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:34|21|Binghong Ye|none|18|Hyung Seok Kang|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:34|22|Binghong Ye|none|20|Hyung Seok Kang|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306||Walkover Win|Mihkel Laanes|none|Walkover Loss|Vladimir Shishkov [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:23|21|Guipu Lin|none|8|Samuel Hsiao|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:23|21|Guipu Lin|none|9|Samuel Hsiao|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:22|21|Ciaran Fitzgerald|none|14|Kristaps Janis Gulbis|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:22|21|Ciaran Fitzgerald|none|15|Kristaps Janis Gulbis|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:55|21|Rasmus Gemke|none|17|Soon Yang Bernard Ong [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
20140306|0:55|17|Rasmus Gemke|none|21|Soon Yang Bernard Ong [9/16]|none|329A5E09-5B17-4B3D-A43A-191D3B42DB35|singles
