date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160918|0:24|21|Petar VALOV|Cristina Mirela CIUCA|15|Oliver BINUS|Stephanie WIGGER|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:24|21|Petar VALOV|Cristina Mirela CIUCA|17|Oliver BINUS|Stephanie WIGGER|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:16|21|Auno TOLONEN|Heli SANDELIN|9|Ivana ANDABAKA|Silvano CVITKUŠIĆ|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:16|21|Auno TOLONEN|Heli SANDELIN|7|Ivana ANDABAKA|Silvano CVITKUŠIĆ|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:36|19|Laurent SORIA|Corrine BERTRAND|21|Mariusz MICHNIEWICZ|Dorota GRZEJDAK|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:36|21|Laurent SORIA|Corrine BERTRAND|13|Mariusz MICHNIEWICZ|Dorota GRZEJDAK|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:36|21|Laurent SORIA|Corrine BERTRAND|15|Mariusz MICHNIEWICZ|Dorota GRZEJDAK|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:21|21|Marek GALCZYNSKI|Ewa GOLANSKA|14|Oleg NIKIFOROV|Diana BORGOIAKOVA|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:21|21|Marek GALCZYNSKI|Ewa GOLANSKA|17|Oleg NIKIFOROV|Diana BORGOIAKOVA|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:27|23|Staffan THORSÉN|Berit THYNESS|21|Meelis TAMMIK|Maria ALAJÕE|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:27|21|Staffan THORSÉN|Berit THYNESS|17|Meelis TAMMIK|Maria ALAJÕE|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
20160918|0:20|21|Sven LANDWEHR|Andrea HEMMER|19|Simon GILHOOLY|Sara FOSTER|9C76B2C6-7AE0-4384-9851-5DC11D2B4643|doubles
