date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190423|0:32|21|Thomas Wandschneider |none|10|Prem Kumar Ale|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:32|21|Thomas Wandschneider |none|6|Prem Kumar Ale|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:12|21|Pedro Pablo De Vinatea|none|1|Beni Mutima-Mutima|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:12|21|Pedro Pablo De Vinatea|none|3|Beni Mutima-Mutima|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:19|21|Pramod Bhagat |none|9|Ronaldson Kaggwa|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:19|21|Pramod Bhagat |none|17|Ronaldson Kaggwa|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:15|21|Kumar Nitesh|none|5|Bashir Mutyaba|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:15|21|Kumar Nitesh|none|4|Bashir Mutyaba|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:28|21|David Toupe |none|8|Yuri Stepanov|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:28|21|David Toupe |none|16|Yuri Stepanov|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:25|21|Daisuke Fujihara |none|1|Julius Masereka|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:25|21|Daisuke Fujihara |none|11|Julius Masereka|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:22|21|Paddy Kizza Kasirye|none|5|Christian Bibwe-Mbumbwe|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:22|21|Paddy Kizza Kasirye|none|9|Christian Bibwe-Mbumbwe|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:17|21|Manoj Sarkar |none|3|Edwin Muruah Mwangi|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:17|21|Manoj Sarkar |none|7|Edwin Muruah Mwangi|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:16|21|Tarun Tarun |none|6|Pride Tadiwanashe Mafira|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:16|21|Tarun Tarun |none|9|Pride Tadiwanashe Mafira|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:25|21|Young-Chin Mi |none|10|Avni Kertmen|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:25|21|Young-Chin Mi |none|9|Avni Kertmen|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:20|21|Mathieu Thomas|none|4|Kizza Edward Kabonge|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:20|21|Mathieu Thomas|none|5|Kizza Edward Kabonge|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:23|21|Umesh Vikram Kumar |none|16|Gbenga Sunday Olanipekun|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:23|21|Umesh Vikram Kumar |none|14|Gbenga Sunday Olanipekun|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:20|21|Sukant Kadam |none|13|Zakareia Elsayed Abdo Ayoub|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
20190423|0:20|21|Sukant Kadam |none|6|Zakareia Elsayed Abdo Ayoub|none|2AFF3C17-398B-4F38-95A2-8BCFB613736E|singles
