date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160323||21|Pavel Drancak|Denisa Sikalova|16|Piotr Kowenicki|Aneta Walentukanis|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Pavel Drancak|Denisa Sikalova|15|Piotr Kowenicki|Aneta Walentukanis|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Tanguy Citron|none|13|Felix Nandin|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Tanguy Citron|none|11|Felix Nandin|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||14|Joonas Korhonen|none|21|Mateusz Swierczynski|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Joonas Korhonen|none|8|Mateusz Swierczynski|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Joonas Korhonen|none|10|Mateusz Swierczynski|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||17|Maciej Ociepa|none|21|Yannick Dijoux|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Maciej Ociepa|none|16|Yannick Dijoux|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Maciej Ociepa|none|18|Yannick Dijoux|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Hashiru Shimono|none|7|Vilson Vattanirappel|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Hashiru Shimono|none|11|Vilson Vattanirappel|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Iztok Utrosa |none|12|Povilas Bartusis|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||17|Iztok Utrosa |none|21|Povilas Bartusis|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Iztok Utrosa |none|9|Povilas Bartusis|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Max Weisskirchen|none|18|Krzysztof Jakowczuk|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||22|Max Weisskirchen|none|20|Krzysztof Jakowczuk|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Oliver Baczala|Victoria Williams|13|Yannick Dijoux|Liza Vanangamoudiar|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Oliver Baczala|Victoria Williams|17|Yannick Dijoux|Liza Vanangamoudiar|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||17|Muhammad Zulkifli Ramadhani|none|21|Iztok Utrosa [4]|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Muhammad Zulkifli Ramadhani|none|15|Iztok Utrosa [4]|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Muhammad Zulkifli Ramadhani|none|6|Iztok Utrosa [4]|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||11|Max Weisskirchen|none|21|Mateusz Dubowski|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Max Weisskirchen|none|16|Mateusz Dubowski|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Max Weisskirchen|none|9|Mateusz Dubowski|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Anna Narel |none|8|Katarina Beton|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Anna Narel |none|10|Katarina Beton|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||16|Moe Araki|none|21|Thu Huyen Le|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Moe Araki|none|14|Thu Huyen Le|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Moe Araki|none|18|Thu Huyen Le|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||24|Ramadiansyah Andika|Rinov Rivaldy|22|Oliver Baczala|Gregory Mairs|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Ramadiansyah Andika|Rinov Rivaldy|15|Oliver Baczala|Gregory Mairs|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Nick Fransman |none|17|Wolfgang Gnedt|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Nick Fransman |none|13|Wolfgang Gnedt|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Yosei Yamaguchi|none|16|Max Weisskirchen|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Yosei Yamaguchi|none|12|Max Weisskirchen|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Moe Araki|none|18|Ghaida Nurul Ghaniyu|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||14|Moe Araki|none|21|Ghaida Nurul Ghaniyu|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||21|Moe Araki|none|13|Ghaida Nurul Ghaniyu|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||17|Yannick Dijoux|Liza Vanangamoudiar|21|Maciej Ociepa [4]|Karolina Gajos|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Yannick Dijoux|Liza Vanangamoudiar|15|Maciej Ociepa [4]|Karolina Gajos|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||21|Yannick Dijoux|Liza Vanangamoudiar|17|Maciej Ociepa [4]|Karolina Gajos|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|doubles
20160323||Walkover Win|Iikka Heino|none|Walkover Loss|Talar Laa|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
20160323||22|Mateusz Dubowski|none|20|Andre Marteen [2]|none|0D9E4775-6B43-414F-B1BD-4DCA35C68A33|singles
