date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140218|0:20|21|Diego Mini|none|17|Agustin Klein|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:20|21|Diego Mini|none|13|Agustin Klein|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:20|21|Ygor Coelho De Oliveira |none|5|Alfonso Garcia-Rosell|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:20|21|Ygor Coelho De Oliveira |none|3|Alfonso Garcia-Rosell|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218||Walkover Win|Ignacio Buraschi|none|Walkover Loss|Kevin Peñalver|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:20|21|Kenshin Shimabukuro |none|12|Jesus Sanchez|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:20|21|Kenshin Shimabukuro |none|13|Jesus Sanchez|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:25|21|Lucio Coronato|none|10|Leonardo Isa|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:25|21|Lucio Coronato|none|12|Leonardo Isa|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:31|21|Rafael Davila|none|17|Naim Mohammed [4]|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:31|21|Rafael Davila|none|17|Naim Mohammed [4]|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218||Walkover Win|Haward Chalen Aspiazu|none|Walkover Loss|Wilfer Quijada|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:25|21|Ruben Castellanos |none|17|José Guevara|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:25|21|Ruben Castellanos |none|12|José Guevara|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:35|21|Diego Mini|none|16|Dino Delmastro|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:35|14|Diego Mini|none|21|Dino Delmastro|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:35|21|Diego Mini|none|19|Dino Delmastro|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218||Walkover Win|Chiara Carranza|none|Walkover Loss|Adriana Rivas|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
20140218|0:30|21|Paula La Torre|none|10|Maria Delia Zambrano Solano|none|257ED29C-93A2-4F05-836B-C9CA9E66190E|singles
