date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171107|0:18|21|Cheng Heng Su |Pei Shan Hsieh|5|Wirawan Ihsan Adam|Mia Mawarti|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:18|21|Cheng Heng Su |Pei Shan Hsieh|14|Wirawan Ihsan Adam|Mia Mawarti|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:23|21|Keiichiro Matsui|Nami Matsuyama|14|Muhammad Hadiyat M|Ganis Nur Rahmadani|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:23|21|Keiichiro Matsui|Nami Matsuyama|6|Muhammad Hadiyat M|Ganis Nur Rahmadani|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:36|22|Min Ji Lee|none|20|Cheung Ying Mei|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:36|21|Min Ji Lee|none|5|Cheung Ying Mei|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:20|21|Law Cheuk Him|Poon Lok Yan|12|Duthree Gigih Belatma|Debora Rumate Vehrenica|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:20|21|Law Cheuk Him|Poon Lok Yan|12|Duthree Gigih Belatma|Debora Rumate Vehrenica|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:42|13|Lee Jhe-Huei|Wu Ti Jung|21|Mahiro Kaneko|Akane Watanabe|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:42|25|Lee Jhe-Huei|Wu Ti Jung|23|Mahiro Kaneko|Akane Watanabe|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:42|21|Lee Jhe-Huei|Wu Ti Jung|14|Mahiro Kaneko|Akane Watanabe|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:29|21|Alfian Eko Prasetya |Melati Daeva Oktavianti|18|Ming-Tse Yang|Sung Shuo Yun|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:29|21|Alfian Eko Prasetya |Melati Daeva Oktavianti|16|Ming-Tse Yang|Sung Shuo Yun|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:27|21|Shang Kai Lin|Yu Chieh Cheng|10|Chaloempon Charoenkitamorn|Rawimon Iamratanamaetheekul|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:27|23|Shang Kai Lin|Yu Chieh Cheng|21|Chaloempon Charoenkitamorn|Rawimon Iamratanamaetheekul|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:39|21|Chang Tak Ching|Ng Wing Yung|12|Yeung Ming Nok|Wu Yi Ting|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:39|19|Chang Tak Ching|Ng Wing Yung|21|Yeung Ming Nok|Wu Yi Ting|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:39|21|Chang Tak Ching|Ng Wing Yung|19|Yeung Ming Nok|Wu Yi Ting|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:38|21|Li Wenmei|none|15|Supanida Katethong|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:38|22|Li Wenmei|none|20|Supanida Katethong|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:20|21|Sarita Suwannakitborihan |none|8|Chi Leng Kuan|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:20|21|Sarita Suwannakitborihan |none|12|Chi Leng Kuan|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:24|21|Redy Perdana|none|15|Jingtong Chen|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:24|21|Redy Perdana|none|16|Jingtong Chen|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:26|21|Ling Fang Hu |none|15|Mia Mawarti|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:26|21|Ling Fang Hu |none|6|Mia Mawarti|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:46|21|Cheung Ying Mei|Fan Ka Yan|12|Hung Yi-Ting|Ying Chun Lin|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:46|20|Cheung Ying Mei|Fan Ka Yan|22|Hung Yi-Ting|Ying Chun Lin|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:46|21|Cheung Ying Mei|Fan Ka Yan|18|Hung Yi-Ting|Ying Chun Lin|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:20|21|Seng Zoe Yeoh|none|14|Muhammad Hadiyat M|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:20|21|Seng Zoe Yeoh|none|8|Muhammad Hadiyat M|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:17|21|Chen Hsiao Huan|Pei Shan Hsieh|7|Ana Dias|Ana I. Santos|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:17|21|Chen Hsiao Huan|Pei Shan Hsieh|9|Ana Dias|Ana I. Santos|002C8A35-BC9C-4734-82AE-3108812CA72B|doubles
20171107|0:22|21|Chow King Ling|none|13|Debora Rumate Vehrenica [2]|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:22|21|Chow King Ling|none|12|Debora Rumate Vehrenica [2]|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:40|21|Vincent Cheng Wei Phuah|none|23|Vong Kok Weng|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:40|21|Vincent Cheng Wei Phuah|none|16|Vong Kok Weng|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:40|21|Vincent Cheng Wei Phuah|none|16|Vong Kok Weng|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:45|21|Eizlan Shah Misfahul Muneer|none|19|Lam Hou Him|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:45|16|Eizlan Shah Misfahul Muneer|none|21|Lam Hou Him|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:45|21|Eizlan Shah Misfahul Muneer|none|15|Lam Hou Him|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:36|12|Ao Fei Long|none|21|Duthree Gigih Belatma|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
20171107|0:36|21|Ao Fei Long|none|14|Duthree Gigih Belatma|none|002C8A35-BC9C-4734-82AE-3108812CA72B|singles
