date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181127|0:23|21|Chen Shiau Cheng|none|4|Niccolo Tagle|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:23|21|Chen Shiau Cheng|none|7|Niccolo Tagle|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:21|21|Chang En Chia|none|12|Krzysztof Jakowczuk|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:21|21|Chang En Chia|none|10|Krzysztof Jakowczuk|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:23|21|Lee Chia Hao|none|8|Yehezkiel Fritz Mainaky|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:23|21|Lee Chia Hao|none|13|Yehezkiel Fritz Mainaky|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:01|2|Mathew Fogarty|none|1|Lee Yun Gyu|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:01|Walkover Win|Mathew Fogarty|none|Walkover Loss|Lee Yun Gyu|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:50|25|Ren Pengbo|none|23|Vicky Angga Saputra|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:50|21|Ren Pengbo|none|18|Vicky Angga Saputra|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|1:08|24|Shih Kuei Chun|none|26|Yim Jong Woo|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|1:08|21|Shih Kuei Chun|none|19|Yim Jong Woo|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|1:08|21|Shih Kuei Chun|none|13|Yim Jong Woo|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:34|21|Chi Yu Jen|none|15|Andre Marteen|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:34|21|Chi Yu Jen|none|14|Andre Marteen|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:32|21|Ha Young Woong|none|10|Son Seong Hyun|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:32|21|Ha Young Woong|none|18|Son Seong Hyun|none|58E13247-5207-4C64-966B-6795EA76A60F|singles
20181127|0:53|17|Kim Dukyoung|Chang Ye Na|21|Kim Young Hyuk|Seong Ah Yeong|58E13247-5207-4C64-966B-6795EA76A60F|doubles
20181127|0:53|21|Kim Dukyoung|Chang Ye Na|19|Kim Young Hyuk|Seong Ah Yeong|58E13247-5207-4C64-966B-6795EA76A60F|doubles
