date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150930||Walkover Win|Denis Marinov|Alex Popov|Walkover Loss|Dimitar Delchev|Jaromir Janacek|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|doubles
20150930|0:45|21|Ilias Xanthou|none|17|Shai Geffen|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:45|26|Ilias Xanthou|none|24|Shai Geffen|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:34|23|Peyo Boichinov|none|21|Dragoslav Petrovic|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:34|21|Peyo Boichinov|none|13|Dragoslav Petrovic|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:32|21|Daniel Benz|none|9|Lilian Mihaylov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:32|21|Daniel Benz|none|12|Lilian Mihaylov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:52|19|Alex Vlaar|none|21|Gergin Nedyalkov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:52|21|Alex Vlaar|none|11|Gergin Nedyalkov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:52|21|Alex Vlaar|none|14|Gergin Nedyalkov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930||Walkover Win|Jocelyn Deschamp|none|Walkover Loss|Georgios Charalambidis|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:25|21|Vladimir Shishkov|none|11|Miodrag Kalicanin|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:25|21|Vladimir Shishkov|none|13|Miodrag Kalicanin|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930||Walkover Win|Ilija Pavlovic|none|Walkover Loss|Rüdiger Gnedt|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:26|21|Artur Niyazov|none|19|George Nicolaou|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:26|21|Artur Niyazov|none|9|George Nicolaou|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930||Walkover Win|Mathias Bonny|none|Walkover Loss|Ross Green|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:18|21|George Priestman|none|12|Mihael Mihaylov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:18|21|George Priestman|none|12|Mihael Mihaylov|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:20|21|Ivan Panev|none|9|Yassine El Mernissi|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:20|21|Ivan Panev|none|11|Yassine El Mernissi|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:30|15|Mariya Mitsova|none|21|Aimee Moran|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:30|21|Mariya Mitsova|none|13|Aimee Moran|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:30|21|Mariya Mitsova|none|12|Aimee Moran|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:16|21|Lilit Poghosyan|none|7|Tanya Petkova|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930|0:16|21|Lilit Poghosyan|none|6|Tanya Petkova|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
20150930||Walkover Win|Eirini Goygleri|none|Walkover Loss|Selin Bakalova|none|E9E3A9B4-0468-49BA-ACD5-CC295D6B1BF7|singles
