date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20181006|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|12|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|10|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:19|21|Osamu Nagashima |Yuma Yamazaki|3|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:19|21|Osamu Nagashima |Yuma Yamazaki|8|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:11|21|Dong Seop Lee |Sun Ae Lee|8|Supriadi Supriadi|Sri Maryati|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181006|0:11|21|Dong Seop Lee |Sun Ae Lee|8|Supriadi Supriadi|Sri Maryati|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|12|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|10|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:19|21|Osamu Nagashima |Yuma Yamazaki|3|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:19|21|Osamu Nagashima |Yuma Yamazaki|8|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:11|21|Dong Seop Lee |Sun Ae Lee|8|Supriadi Supriadi|Sri Maryati|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181007|0:11|21|Dong Seop Lee |Sun Ae Lee|8|Supriadi Supriadi|Sri Maryati|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|12|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|10|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:19|21|Osamu Nagashima |Yuma Yamazaki|3|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:19|21|Osamu Nagashima |Yuma Yamazaki|8|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:11|21|Dong Seop Lee |Sun Ae Lee|8|Supriadi Supriadi|Sri Maryati|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181008|0:11|21|Dong Seop Lee |Sun Ae Lee|8|Supriadi Supriadi|Sri Maryati|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181009|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|12|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181009|0:23|21|Jakarin Homhaul |Amnouy Wetwithan|10|Yu-Yu Ong|Guang-Chiou Hu|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181009|0:19|21|Osamu Nagashima |Yuma Yamazaki|3|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181009|0:19|21|Osamu Nagashima |Yuma Yamazaki|8|Jonas Abia Matados|Paz Enano Lita|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
20181009|0:23|21|Jianpeng Mai |Hongyan Li|9|Chih-Tsung Fang|I-Chen Yang|62CF57E0-E40B-42D8-B04B-4A4891183AA5|doubles
