date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150818|0:32|21|Christian Bernardo|Eleanor Christine Inlayo|13|Chun Yao Liao|Pei Shan Hsieh|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:32|17|Christian Bernardo|Eleanor Christine Inlayo|21|Chun Yao Liao|Pei Shan Hsieh|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:32|21|Christian Bernardo|Eleanor Christine Inlayo|17|Chun Yao Liao|Pei Shan Hsieh|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:53|21|Kaizar Bobby Alexander|Fransisca Angelica Rahardja|10|Kunlavut Vitidsarn|Pattarasuda Chaiwan|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:53|21|Kaizar Bobby Alexander|Fransisca Angelica Rahardja|23|Kunlavut Vitidsarn|Pattarasuda Chaiwan|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:53|21|Kaizar Bobby Alexander|Fransisca Angelica Rahardja|19|Kunlavut Vitidsarn|Pattarasuda Chaiwan|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:20|21|Wen Xing Abel Tan|Ming Hui Lim|19|Ming-Tse Yang|Tzu Chin Pan|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:20|21|Wen Xing Abel Tan|Ming Hui Lim|18|Ming-Tse Yang|Tzu Chin Pan|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:23|21|Danang Dwi Septiadi|Virni Putri Jafar|17|Lu Jin-Song|Lee Wei Tzu|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
20150818|0:23|21|Danang Dwi Septiadi|Virni Putri Jafar|11|Lu Jin-Song|Lee Wei Tzu|555F7302-FDDD-4668-82F7-5E0B5AF34858|doubles
