date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171125|0:31|16|Martina CORSINI|none|21|Lena KREMMEL|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:31|21|Martina CORSINI|none|14|Lena KREMMEL|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:31|21|Martina CORSINI|none|15|Lena KREMMEL|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:28|21|Blaž SMRKOLJ|none|19|Danylo SHEVCHENKO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:28|21|Blaž SMRKOLJ|none|12|Danylo SHEVCHENKO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:17|21|Peter KOVAC|none|10|Patriks KRUZE|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:17|21|Peter KOVAC|none|9|Patriks KRUZE|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:30|18|Maxim GRINBLAT|none|21|Ilya LARUSHYN|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:30|21|Maxim GRINBLAT|none|13|Ilya LARUSHYN|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:30|21|Maxim GRINBLAT|none|5|Ilya LARUSHYN|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:19|21|Zechen MA|Carla KIVIKKO|14|Jaka IVANČIČ|Taja PIPAN|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:19|21|Zechen MA|Carla KIVIKKO|9|Jaka IVANČIČ|Taja PIPAN|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:22|21|Kirstin BOONEN|none|11|Heidi PURO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:22|21|Kirstin BOONEN|none|13|Heidi PURO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:21|21|Rachael WOODS|none|15|Ana FERNANDES|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:21|21|Rachael WOODS|none|16|Ana FERNANDES|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:20|21|Amy TAN|none|8|Emilia PETERSEN NORBERG|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:20|21|Amy TAN|none|3|Emilia PETERSEN NORBERG|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:24|21|Mia TARCALOVA|none|13|Joana EDUARDO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:24|21|Mia TARCALOVA|none|18|Joana EDUARDO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:18|21|Matthias KICKLITZ |Emma MOSZCZYNSKI|10|Josh MCKAY|Alice CAMPBELL|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:18|21|Matthias KICKLITZ |Emma MOSZCZYNSKI|14|Josh MCKAY|Alice CAMPBELL|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:21|21|Yann ORTEU|none|15|Jonas DJURHUUS|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:21|21|Yann ORTEU|none|6|Jonas DJURHUUS|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:29|21|Nicolas GERBER|none|13|Kevin HARGIONO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:29|21|Nicolas GERBER|none|18|Kevin HARGIONO|none|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|singles
20171125|0:20|21|Carlos PIRIS|Albin FATIMA|15|Ludvig SMITH-MEYER|Marie MØRK|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:20|21|Carlos PIRIS|Albin FATIMA|8|Ludvig SMITH-MEYER|Marie MØRK|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:19|21|Wessel VAN DE AAR|Chloe MAYER|9|Michael TOMIC|Anna HAGSPIEL|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
20171125|0:19|21|Wessel VAN DE AAR|Chloe MAYER|12|Michael TOMIC|Anna HAGSPIEL|9AECA90A-5CBC-4B38-91D5-A06F7F19C925|doubles
