date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180621|0:16|21|Pui Chi Chon|none|4|Tuguldur Gantugs|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:16|21|Pui Chi Chon|none|9|Tuguldur Gantugs|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:22|21|Tae Woong Choi|none|18|Hriday Deshmukh|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:22|21|Tae Woong Choi|none|2|Hriday Deshmukh|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:16|21|Han Kyeol Lee|none|3|Munkhbat Buyantogtokh|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:16|21|Han Kyeol Lee|none|4|Munkhbat Buyantogtokh|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:13|21|Samarjit Panday|none|7|Yesun- Erdene Munkhbaatar|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:13|21|Samarjit Panday|none|11|Yesun- Erdene Munkhbaatar|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:15|21|Sanchirjav Lkhaasuren|none|10|Usukhbayar Enkhmunkh|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:15|21|Sanchirjav Lkhaasuren|none|12|Usukhbayar Enkhmunkh|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:13|21|Dulguun Galsannamjil|none|17|Batgerel Bat-Erdene|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:13|23|Dulguun Galsannamjil|none|21|Batgerel Bat-Erdene|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:12|21|Temuulen Gombodorj|none|10|Javkhlan Erdenebileg|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:12|21|Temuulen Gombodorj|none|5|Javkhlan Erdenebileg|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:25|21|Enkhjavkhlan Purevjav|none|10|Enkhtuvshin Unurtsengel|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:25|13|Enkhjavkhlan Purevjav|none|21|Enkhtuvshin Unurtsengel|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:25|21|Enkhjavkhlan Purevjav|none|18|Enkhtuvshin Unurtsengel|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:21|23|Yalaltbayar Baldandorj|none|21|Biligjargal Munkh-Oyun|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
20180621|0:21|21|Yalaltbayar Baldandorj|none|11|Biligjargal Munkh-Oyun|none|21D81F91-B26D-42D3-8B1C-C6CB6379A487|singles
