date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150930|0:23|21|Habeeb Temitope Bello |none|8|Sunday Habila Musa|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:23|21|Habeeb Temitope Bello |none|7|Sunday Habila Musa|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:53|18|Alaya Suleiman Idris|none|21|Emmanuel Chiromah|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:53|21|Alaya Suleiman Idris|none|18|Emmanuel Chiromah|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:53|21|Alaya Suleiman Idris|none|14|Emmanuel Chiromah|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:30|21|Tobi Owolabi |none|13|Folorunsho Ilesanmi Opeyori|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:30|21|Tobi Owolabi |none|18|Folorunsho Ilesanmi Opeyori|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:36|18|Jafar Salihu Umar|none|21|Olanrewaju Adeyemi Oshinubi|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:36|21|Jafar Salihu Umar|none|12|Olanrewaju Adeyemi Oshinubi|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:36|21|Jafar Salihu Umar|none|6|Olanrewaju Adeyemi Oshinubi|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:21|21|Emmanuel Yaw Donkor|none|10|Oluseye Popoola|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:21|21|Emmanuel Yaw Donkor|none|7|Oluseye Popoola|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:18|21|Isaac Minaphee|none|2|Julius Olukotun [4]|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
20150930|0:18|21|Isaac Minaphee|none|10|Julius Olukotun [4]|none|8CA2AE0E-C846-4432-9F4B-A725AA531580|singles
