date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150909||21|Richard Domke|Kira Kattenbeck|19|Pablo Abian [4]|Haidee Ojeda|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Richard Domke|Kira Kattenbeck|14|Pablo Abian [4]|Haidee Ojeda|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Raphael Beck|Jennifer Karnott|19|Julien Maio|Lorraine Baumann|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||14|Raphael Beck|Jennifer Karnott|21|Julien Maio|Lorraine Baumann|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Raphael Beck|Jennifer Karnott|17|Julien Maio|Lorraine Baumann|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Anders Antonsen|none|10|Nathan Vervaeke|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anders Antonsen|none|14|Nathan Vervaeke|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||26|Max Weisskirchen|none|24|Andre Marteen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Max Weisskirchen|none|18|Andre Marteen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Put Marijn|none|16|Yoann Turlan|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Put Marijn|none|16|Yoann Turlan|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Rohan Midha|none|14|Birger Abts|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Rohan Midha|none|18|Birger Abts|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Richard Domke|Kira Kattenbeck|18|Jordan Corvee|Anne Tran|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||22|Richard Domke|Kira Kattenbeck|20|Jordan Corvee|Anne Tran|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Kristoffer Knudsen|Emilie Juul Moller|18|Gennadiy Natarov|Natalya Voytsekh|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||18|Kristoffer Knudsen|Emilie Juul Moller|21|Gennadiy Natarov|Natalya Voytsekh|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Kristoffer Knudsen|Emilie Juul Moller|19|Gennadiy Natarov|Natalya Voytsekh|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Mark Caljouw |none|12|Simon Wang|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||22|Mark Caljouw |none|20|Simon Wang|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anders Antonsen|none|6|Max Weisskirchen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anders Antonsen|none|13|Max Weisskirchen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Kim Bruun |none|8|Stefan Wojcikiewicz|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Kim Bruun |none|18|Stefan Wojcikiewicz|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anastasia Chervyakova|none|16|Natalya Voytsekh [7]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||19|Anastasia Chervyakova|none|21|Natalya Voytsekh [7]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anastasia Chervyakova|none|13|Natalya Voytsekh [7]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Sonja Pekkola|none|15|Isabel Fernandez|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Sonja Pekkola|none|12|Isabel Fernandez|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anders Antonsen|none|5|David Peng|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Anders Antonsen|none|16|David Peng|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Jin Wei Goh|none|17|Gayle Mahulette|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Jin Wei Goh|none|14|Gayle Mahulette|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Mark Caljouw |Jelle Maas|19|Mads Emil Christensen|Kristoffer Knudsen|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Mark Caljouw |Jelle Maas|14|Mads Emil Christensen|Kristoffer Knudsen|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Jordan Corvee|Julien Maio|16|Christopher Coles|Ben Lane|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Jordan Corvee|Julien Maio|16|Christopher Coles|Ben Lane|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||24|Gennadiy Natarov|Natalya Voytsekh|22|Soren Gravholt|Maiken Fruergaard|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||28|Gennadiy Natarov|Natalya Voytsekh|26|Soren Gravholt|Maiken Fruergaard|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Simon Wang|none|14|Anton Kaisti|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Simon Wang|none|15|Anton Kaisti|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||20|Robert Mann|none|22|Farid Akroum|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Robert Mann|none|15|Farid Akroum|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||24|Robert Mann|none|22|Farid Akroum|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Rasmus Messerschmidt|none|7|Kyrill Schaffluetzel|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Rasmus Messerschmidt|none|12|Kyrill Schaffluetzel|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Mateusz Dubowski|none|19|Stijn De Langhe|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||10|Mateusz Dubowski|none|21|Stijn De Langhe|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Mateusz Dubowski|none|15|Stijn De Langhe|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Stefan Wojcikiewicz|none|13|Michael Spencer-Smith|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Stefan Wojcikiewicz|none|6|Michael Spencer-Smith|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Luise Heim|none|9|Anna Narel [6]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Luise Heim|none|8|Anna Narel [6]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Nicola Cerfontyne |none|17|Irina Amalie Andersen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Nicola Cerfontyne |none|19|Irina Amalie Andersen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Julie Dawall Jakobsen|none|19|Alida Chen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Julie Dawall Jakobsen|none|13|Alida Chen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Jin Wei Goh|none|16|Natalia Koch Rohde [4]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Jin Wei Goh|none|19|Natalia Koch Rohde [4]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||17|Rohan Midha|none|21|Vatannejad-Soroush Eskandari|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Rohan Midha|none|13|Vatannejad-Soroush Eskandari|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Rohan Midha|none|19|Vatannejad-Soroush Eskandari|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Mark Caljouw |none|5|Jordy Hilbink|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Mark Caljouw |none|23|Jordy Hilbink|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Mark Caljouw |none|18|Jordy Hilbink|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Joo Ven Soong |none|10|Alex Vlaar|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Joo Ven Soong |none|9|Alex Vlaar|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||Walkover Win|Julie Dawall Jakobsen|none|Walkover Loss|Chiew Sien Lim [3]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Alexander Bond|Theodor Johansen|17|Ruben Jille|Robin Tabeling|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||16|Alexander Bond|Theodor Johansen|21|Ruben Jille|Robin Tabeling|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Alexander Bond|Theodor Johansen|16|Ruben Jille|Robin Tabeling|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150909||21|Sofie Holmboe Dahl|none|23|Anastasia Chervyakova|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Sofie Holmboe Dahl|none|19|Anastasia Chervyakova|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||23|Sofie Holmboe Dahl|none|21|Anastasia Chervyakova|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Kim Bruun |none|19|Put Marijn|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||17|Kim Bruun |none|21|Put Marijn|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150909||21|Kim Bruun |none|9|Put Marijn|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Richard Domke|Kira Kattenbeck|19|Pablo Abian [4]|Haidee Ojeda|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Richard Domke|Kira Kattenbeck|14|Pablo Abian [4]|Haidee Ojeda|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Raphael Beck|Jennifer Karnott|19|Julien Maio|Lorraine Baumann|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||14|Raphael Beck|Jennifer Karnott|21|Julien Maio|Lorraine Baumann|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Raphael Beck|Jennifer Karnott|17|Julien Maio|Lorraine Baumann|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Anders Antonsen|none|10|Nathan Vervaeke|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anders Antonsen|none|14|Nathan Vervaeke|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||26|Max Weisskirchen|none|24|Andre Marteen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Max Weisskirchen|none|18|Andre Marteen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Put Marijn|none|16|Yoann Turlan|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Put Marijn|none|16|Yoann Turlan|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Rohan Midha|none|14|Birger Abts|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Rohan Midha|none|18|Birger Abts|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Richard Domke|Kira Kattenbeck|18|Jordan Corvee|Anne Tran|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||22|Richard Domke|Kira Kattenbeck|20|Jordan Corvee|Anne Tran|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Kristoffer Knudsen|Emilie Juul Moller|18|Gennadiy Natarov|Natalya Voytsekh|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||18|Kristoffer Knudsen|Emilie Juul Moller|21|Gennadiy Natarov|Natalya Voytsekh|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Kristoffer Knudsen|Emilie Juul Moller|19|Gennadiy Natarov|Natalya Voytsekh|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Mark Caljouw |none|12|Simon Wang|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||22|Mark Caljouw |none|20|Simon Wang|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anders Antonsen|none|6|Max Weisskirchen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anders Antonsen|none|13|Max Weisskirchen|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Kim Bruun |none|8|Stefan Wojcikiewicz|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Kim Bruun |none|18|Stefan Wojcikiewicz|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anastasia Chervyakova|none|16|Natalya Voytsekh [7]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||19|Anastasia Chervyakova|none|21|Natalya Voytsekh [7]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anastasia Chervyakova|none|13|Natalya Voytsekh [7]|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Sonja Pekkola|none|15|Isabel Fernandez|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Sonja Pekkola|none|12|Isabel Fernandez|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anders Antonsen|none|5|David Peng|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Anders Antonsen|none|16|David Peng|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Jin Wei Goh|none|17|Gayle Mahulette|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Jin Wei Goh|none|14|Gayle Mahulette|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Mark Caljouw |Jelle Maas|19|Mads Emil Christensen|Kristoffer Knudsen|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Mark Caljouw |Jelle Maas|14|Mads Emil Christensen|Kristoffer Knudsen|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Jordan Corvee|Julien Maio|16|Christopher Coles|Ben Lane|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Jordan Corvee|Julien Maio|16|Christopher Coles|Ben Lane|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||24|Gennadiy Natarov|Natalya Voytsekh|22|Soren Gravholt|Maiken Fruergaard|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||28|Gennadiy Natarov|Natalya Voytsekh|26|Soren Gravholt|Maiken Fruergaard|58ADB62A-1382-423B-8728-A7CD548C565D|doubles
20150910||21|Simon Wang|none|14|Anton Kaisti|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Simon Wang|none|15|Anton Kaisti|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||20|Robert Mann|none|22|Farid Akroum|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Robert Mann|none|15|Farid Akroum|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||24|Robert Mann|none|22|Farid Akroum|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Rasmus Messerschmidt|none|7|Kyrill Schaffluetzel|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Rasmus Messerschmidt|none|12|Kyrill Schaffluetzel|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Mateusz Dubowski|none|19|Stijn De Langhe|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||10|Mateusz Dubowski|none|21|Stijn De Langhe|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
20150910||21|Mateusz Dubowski|none|15|Stijn De Langhe|none|58ADB62A-1382-423B-8728-A7CD548C565D|singles
