date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20141227||21|Mathias Boe|Carsten Mogensen|18|Vladimir Ivanov|Ivan Sozonov|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Mathias Boe|Carsten Mogensen|15|Vladimir Ivanov|Ivan Sozonov|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Viktor Axelsen|none|17|Tommy Sugiarto|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141227||21|Viktor Axelsen|none|15|Tommy Sugiarto|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141227||21|Carsten Mogensen|Kamilla Rytter Juhl|17|Michael Fuchs|Birgit Michels|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Carsten Mogensen|Kamilla Rytter Juhl|19|Michael Fuchs|Birgit Michels|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Joachim Fischer Nielsen|Christinna Pedersen|12|Riky Widianto|Puspita Richi Dili|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Joachim Fischer Nielsen|Christinna Pedersen|16|Riky Widianto|Puspita Richi Dili|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Rasmussen Anders Skaarup|Mads Conrad-Petersen|12|Yao Han Ow|Khim Wah Lim|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Rasmussen Anders Skaarup|Mads Conrad-Petersen|11|Yao Han Ow|Khim Wah Lim|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141227||21|Jan O. Jorgensen|none|18|Teck Zhi Soo|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141227||21|Jan O. Jorgensen|none|11|Teck Zhi Soo|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141228||21|Mathias Boe|Carsten Mogensen|18|Vladimir Ivanov|Ivan Sozonov|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Mathias Boe|Carsten Mogensen|15|Vladimir Ivanov|Ivan Sozonov|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Viktor Axelsen|none|17|Tommy Sugiarto|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141228||21|Viktor Axelsen|none|15|Tommy Sugiarto|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141228||21|Carsten Mogensen|Kamilla Rytter Juhl|17|Michael Fuchs|Birgit Michels|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Carsten Mogensen|Kamilla Rytter Juhl|19|Michael Fuchs|Birgit Michels|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Joachim Fischer Nielsen|Christinna Pedersen|12|Riky Widianto|Puspita Richi Dili|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Joachim Fischer Nielsen|Christinna Pedersen|16|Riky Widianto|Puspita Richi Dili|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Rasmussen Anders Skaarup|Mads Conrad-Petersen|12|Yao Han Ow|Khim Wah Lim|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Rasmussen Anders Skaarup|Mads Conrad-Petersen|11|Yao Han Ow|Khim Wah Lim|D366F9AD-ECB9-4D88-8255-07A703A88033|doubles
20141228||21|Jan O. Jorgensen|none|18|Teck Zhi Soo|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
20141228||21|Jan O. Jorgensen|none|11|Teck Zhi Soo|none|D366F9AD-ECB9-4D88-8255-07A703A88033|singles
