date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160811|0:38|21|KIM Gi Jung |KIM Sa Rang|14|Adam CWALINA|Przemyslaw WACHA|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:38|21|KIM Gi Jung |KIM Sa Rang|15|Adam CWALINA|Przemyslaw WACHA|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:38|21|Misaki MATSUTOMO |Ayaka TAKAHASHI|15|Jwala GUTTA|Ashwini PONNAPPA|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:38|21|Misaki MATSUTOMO |Ayaka TAKAHASHI|10|Jwala GUTTA|Ashwini PONNAPPA|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:51|21|ZHANG Nan |ZHAO Yunlei|19|Michael FUCHS|Birgit MICHELS|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:51|21|ZHANG Nan |ZHAO Yunlei|16|Michael FUCHS|Birgit MICHELS|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:36|21|LIN Dan |none|5|David OBERNOSTERER|none|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|singles
20160811|0:36|21|LIN Dan |none|11|David OBERNOSTERER|none|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|singles
20160811|0:54|21|LEE Yong Dae |YOO Yeon Seong|14|Matthew CHAU|Sawan SERASINGHE|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:54|21|LEE Yong Dae |YOO Yeon Seong|16|Matthew CHAU|Sawan SERASINGHE|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:34|21|Ratchanok INTANON |none|14|Kati TOLMOFF|none|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|singles
20160811|0:34|21|Ratchanok INTANON |none|13|Kati TOLMOFF|none|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|singles
20160811|0:38|21|WANG Yihan |none|7|Chloe MAGEE|none|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|singles
20160811|0:38|21|WANG Yihan |none|12|Chloe MAGEE|none|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|singles
20160811|0:33|21|Mohammad AHSAN |Hendra SETIAWAN|18|Manu ATTRI|REDDY B. Sumeeth|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:33|21|Mohammad AHSAN |Hendra SETIAWAN|13|Manu ATTRI|REDDY B. Sumeeth|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:45|21|Kenta KAZUNO|Ayane KURIHARA|14|Jacco ARENDS|Selena PIEK|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811|0:45|21|Kenta KAZUNO|Ayane KURIHARA|19|Jacco ARENDS|Selena PIEK|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
20160811||21|KO Sung Hyun |KIM Ha Na|10|Phillip CHEW|Jamie SUBANDHI|3400A457-E0A4-4C87-89CA-C9A6CF1B2C0D|doubles
