date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190306||21|Nozomi Okuhara |none|17|Gregoria Mariska Tunjung|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||21|Nozomi Okuhara |none|16|Gregoria Mariska Tunjung|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||12|Marcus Ellis |Lauren Smith|21|He Jiting|Du Yue|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|doubles
20190306||21|Marcus Ellis |Lauren Smith|19|He Jiting|Du Yue|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|doubles
20190306||21|Marcus Ellis |Lauren Smith|19|He Jiting|Du Yue|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|doubles
20190306||21|Sung Ji Hyun|none|16|Pusarla V. Sindhu [5]|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||20|Sung Ji Hyun|none|22|Pusarla V. Sindhu [5]|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||21|Sung Ji Hyun|none|18|Pusarla V. Sindhu [5]|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||21|Shi Yuqi |none|17|Anders Antonsen|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||21|Shi Yuqi |none|16|Anders Antonsen|none|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|singles
20190306||21|Liu Cheng|Zhang Nan|19|Marcus Fernaldi Gideon [1]|Kevin Sanjaya Sukamuljo|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|doubles
20190306||20|Liu Cheng|Zhang Nan|22|Marcus Fernaldi Gideon [1]|Kevin Sanjaya Sukamuljo|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|doubles
20190306||21|Liu Cheng|Zhang Nan|17|Marcus Fernaldi Gideon [1]|Kevin Sanjaya Sukamuljo|035C09CF-D0E7-47DB-A774-8634B0CC5E7B|doubles
