date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180828|0:28|21|Hannes Gerberich|none|3|Eric Jr Timmerman|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:28|21|Hannes Gerberich|none|7|Eric Jr Timmerman|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:47|18|Alvaro Vazquez|none|21|Alex Alcala Dominguez|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:47|21|Alvaro Vazquez|none|14|Alex Alcala Dominguez|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:47|21|Alvaro Vazquez|none|15|Alex Alcala Dominguez|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:33|21|Karan Rajan Rajarajan |none|14|Kari Gunnarsson|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:33|21|Karan Rajan Rajarajan |none|17|Kari Gunnarsson|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:19|21|Joshua Magee|none|8|Mathew Fogarty|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:19|21|Joshua Magee|none|5|Mathew Fogarty|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:21|21|Riichi Takeshita|none|6|Armand Rodriguez|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:21|21|Riichi Takeshita|none|4|Armand Rodriguez|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:34|21|Kodai Naraoka |none|11|Fabio Caponio|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:34|21|Kodai Naraoka |none|11|Fabio Caponio|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:16|21|Manuel Vazquez|none|3|Raymond Webster|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:16|21|Manuel Vazquez|none|4|Raymond Webster|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|1:00|21|Rasmus Messerschmidt|none|14|Christo Popov|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|1:00|12|Rasmus Messerschmidt|none|21|Christo Popov|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|1:00|21|Rasmus Messerschmidt|none|11|Christo Popov|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:24|15|Marion Le Turdu|none|21|Chang Ya Lan|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:24|21|Marion Le Turdu|none|18|Chang Ya Lan|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:24|21|Marion Le Turdu|none|15|Chang Ya Lan|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:43|13|Ronja Stern|none|21|Isabel Zhong|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:43|21|Ronja Stern|none|9|Isabel Zhong|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:43|21|Ronja Stern|none|15|Isabel Zhong|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:28|21|Lauren Lam|none|19|Zuzana Pavelkova|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:28|21|Lauren Lam|none|14|Zuzana Pavelkova|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828||Walkover Win|Debora Jille|none|Walkover Loss|Michelle Skødstrup [2]|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:31|21|Alvaro Vazquez|none|17|Hannes Gerberich|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:31|21|Alvaro Vazquez|none|15|Hannes Gerberich|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:45|21|Karan Rajan Rajarajan |none|18|Joshua Magee|none|79D38673-A354-4662-961F-C3811A21FE32|singles
20180828|0:45|21|Karan Rajan Rajarajan |none|19|Joshua Magee|none|79D38673-A354-4662-961F-C3811A21FE32|singles
