date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140617|0:40|21|Adnan Ebrahim|none|14|Al- Qazzaz Ali Muafaq Hadi|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:40|14|Adnan Ebrahim|none|21|Al- Qazzaz Ali Muafaq Hadi|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:40|21|Adnan Ebrahim|none|16|Al- Qazzaz Ali Muafaq Hadi|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:40|15|Jayakumar Pullani|none|21|Shakhriyor Khikmatov|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:40|21|Jayakumar Pullani|none|10|Shakhriyor Khikmatov|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:40|21|Jayakumar Pullani|none|12|Shakhriyor Khikmatov|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:22|21|Oleg Savatugin|none|10|Elyas Jaffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:22|21|Oleg Savatugin|none|13|Elyas Jaffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:20|21|Muhammad Hafifi Hashim|none|3|Mustafa Al Saffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:20|21|Muhammad Hafifi Hashim|none|5|Mustafa Al Saffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:18|21|David Obernosterer |none|7|Jisham Kunju Mohamed|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:18|21|David Obernosterer |none|15|Jisham Kunju Mohamed|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:15|21|Eeleeshya Yousif Idwer|none|11|Emmanuelle Umali|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:15|21|Eeleeshya Yousif Idwer|none|12|Emmanuelle Umali|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:27|21|Al-Sayed Jafar Ebrahim Jafar |none|9|Haidar M. Besha|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:27|21|Al-Sayed Jafar Ebrahim Jafar |none|13|Haidar M. Besha|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:29|21|Artyom Savatyugin|none|18|Adnan Ebrahim|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:29|21|Artyom Savatyugin|none|15|Adnan Ebrahim|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:24|21|Dinuka Karunaratna |none|5|Alsarraf Mustafa Ibrahim Abdulhussein|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:24|21|Dinuka Karunaratna |none|10|Alsarraf Mustafa Ibrahim Abdulhussein|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:25|21|Qasim Mohammed Maaroof Al-Mandalawi|none|10|Ben George Joseph|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:25|21|Qasim Mohammed Maaroof Al-Mandalawi|none|16|Ben George Joseph|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:34|21|Muhamed Munawar Abdul Kader|none|17|Arun Kumar Ashok Kumar [5]|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:34|21|Muhamed Munawar Abdul Kader|none|19|Arun Kumar Ashok Kumar [5]|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:30|21|Samer Abdul Hussein|none|7|Jayakumar Pullani|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:30|21|Samer Abdul Hussein|none|19|Jayakumar Pullani|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:33|21|Kashif Nawaz|none|8|Oleg Savatugin|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:33|21|Kashif Nawaz|none|18|Oleg Savatugin|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:20|21|Heri Setiawan |none|7|Alisher Kholmirzaev|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617|0:20|21|Heri Setiawan |none|7|Alisher Kholmirzaev|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||21|Muhammad Hafifi Hashim|none|15|Amrullo Bakhshullaev|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||21|Muhammad Hafifi Hashim|none|14|Amrullo Bakhshullaev|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||21|Saied Taki |none|11|Omar Albu-Mustafa|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||19|Saied Taki |none|21|Omar Albu-Mustafa|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||21|Saied Taki |none|14|Omar Albu-Mustafa|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||21|Subhankar Dey |none|5|Ali Abduladheem Hamad Al-Ogaili|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140617||21|Subhankar Dey |none|6|Ali Abduladheem Hamad Al-Ogaili|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:40|21|Adnan Ebrahim|none|14|Al- Qazzaz Ali Muafaq Hadi|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:40|14|Adnan Ebrahim|none|21|Al- Qazzaz Ali Muafaq Hadi|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:40|21|Adnan Ebrahim|none|16|Al- Qazzaz Ali Muafaq Hadi|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:40|15|Jayakumar Pullani|none|21|Shakhriyor Khikmatov|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:40|21|Jayakumar Pullani|none|10|Shakhriyor Khikmatov|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:40|21|Jayakumar Pullani|none|12|Shakhriyor Khikmatov|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:22|21|Oleg Savatugin|none|10|Elyas Jaffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:22|21|Oleg Savatugin|none|13|Elyas Jaffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:20|21|Muhammad Hafifi Hashim|none|3|Mustafa Al Saffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:20|21|Muhammad Hafifi Hashim|none|5|Mustafa Al Saffar|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:18|21|David Obernosterer |none|7|Jisham Kunju Mohamed|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:18|21|David Obernosterer |none|15|Jisham Kunju Mohamed|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:15|21|Eeleeshya Yousif Idwer|none|11|Emmanuelle Umali|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:15|21|Eeleeshya Yousif Idwer|none|12|Emmanuelle Umali|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:27|21|Al-Sayed Jafar Ebrahim Jafar |none|9|Haidar M. Besha|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:27|21|Al-Sayed Jafar Ebrahim Jafar |none|13|Haidar M. Besha|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:29|21|Artyom Savatyugin|none|18|Adnan Ebrahim|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:29|21|Artyom Savatyugin|none|15|Adnan Ebrahim|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:24|21|Dinuka Karunaratna |none|5|Alsarraf Mustafa Ibrahim Abdulhussein|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:24|21|Dinuka Karunaratna |none|10|Alsarraf Mustafa Ibrahim Abdulhussein|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:25|21|Qasim Mohammed Maaroof Al-Mandalawi|none|10|Ben George Joseph|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:25|21|Qasim Mohammed Maaroof Al-Mandalawi|none|16|Ben George Joseph|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
20140618|0:34|21|Muhamed Munawar Abdul Kader|none|17|Arun Kumar Ashok Kumar [5]|none|415E25B3-1478-4EF1-8160-B4E9152EF265|singles
