date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140624||Walkover Win|Michael Fariman|none|Walkover Loss|Sattawat Pongnairat [1]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:26|21|Hoe Keat Oon|none|16|Anthony Joe|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:26|21|Hoe Keat Oon|none|18|Anthony Joe|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:22|21|Andrew Smith|none|10|Simon Wing Hang Leung|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:22|21|Andrew Smith|none|10|Simon Wing Hang Leung|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:17|21|Mohamad Arif Abdul Latif |none|11|Mitchell Wheller|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:17|21|Mohamad Arif Abdul Latif |none|8|Mitchell Wheller|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:29|21|Riichi Takeshita|none|13|Wesley Caulkett|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:29|21|Riichi Takeshita|none|14|Wesley Caulkett|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:27|21|Wisnu Yuli Prasetyo |none|19|Daniel Guda|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:27|21|Wisnu Yuli Prasetyo |none|9|Daniel Guda|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:31|21|Chiang Jiann Shiarng|none|14|Jeff Tho|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:31|21|Chiang Jiann Shiarng|none|15|Jeff Tho|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624||Walkover Win|Low Pit Seng|none|Walkover Loss|Liew Daren [2]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:31|21|Nipitphon Puangpuapech |Puttita Supajirakul|15|Takeshi Kamura|Shizuka Matsuo|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:31|21|Nipitphon Puangpuapech |Puttita Supajirakul|15|Takeshi Kamura|Shizuka Matsuo|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:43|10|Hoe Keat Oon|none|21|Michael Fariman|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:43|21|Hoe Keat Oon|none|16|Michael Fariman|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:43|21|Hoe Keat Oon|none|14|Michael Fariman|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:32|21|Mohamad Arif Abdul Latif |none|17|Andrew Smith|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:32|22|Mohamad Arif Abdul Latif |none|20|Andrew Smith|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:32|21|Riichi Takeshita|none|11|Wisnu Yuli Prasetyo [4]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:32|21|Riichi Takeshita|none|6|Wisnu Yuli Prasetyo [4]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:30|21|Chiang Jiann Shiarng|none|15|Low Pit Seng|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:30|21|Chiang Jiann Shiarng|none|12|Low Pit Seng|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140624|0:19|21|Akshay Dewalkar|Pradnya Gadre|10|Simon Wing Hang Leung|Tiffany Ho|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:19|21|Akshay Dewalkar|Pradnya Gadre|8|Simon Wing Hang Leung|Tiffany Ho|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:18|21|Manu Attri |N. Siki Reddy|7|Daniel Guda|Alice Wu|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:18|21|Manu Attri |N. Siki Reddy|11|Daniel Guda|Alice Wu|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:32|21|Chan Kwong Beng|Chiang Jiann Shiarng|14|Anthony Joe|Low Pit Seng|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:32|18|Chan Kwong Beng|Chiang Jiann Shiarng|21|Anthony Joe|Low Pit Seng|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:32|21|Chan Kwong Beng|Chiang Jiann Shiarng|14|Anthony Joe|Low Pit Seng|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:23|21|Kenta Kazuno|Yui Miyauchi|13|Raymond Tam|Gronya Somerville|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:23|21|Kenta Kazuno|Yui Miyauchi|13|Raymond Tam|Gronya Somerville|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:22|21|Michael Fariman|Moses Tulaar Reyhan|14|Wesley Caulkett|Mitchell Wheller|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:22|21|Michael Fariman|Moses Tulaar Reyhan|16|Wesley Caulkett|Mitchell Wheller|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:19|21|Lim Khim Wah |Ow Yao Han|14|Hoe Keat Oon|Tran Hoang Pham|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140624|0:19|21|Lim Khim Wah |Ow Yao Han|7|Hoe Keat Oon|Tran Hoang Pham|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625||Walkover Win|Michael Fariman|none|Walkover Loss|Sattawat Pongnairat [1]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:26|21|Hoe Keat Oon|none|16|Anthony Joe|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:26|21|Hoe Keat Oon|none|18|Anthony Joe|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:22|21|Andrew Smith|none|10|Simon Wing Hang Leung|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:22|21|Andrew Smith|none|10|Simon Wing Hang Leung|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:17|21|Mohamad Arif Abdul Latif |none|11|Mitchell Wheller|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:17|21|Mohamad Arif Abdul Latif |none|8|Mitchell Wheller|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:29|21|Riichi Takeshita|none|13|Wesley Caulkett|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:29|21|Riichi Takeshita|none|14|Wesley Caulkett|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:27|21|Wisnu Yuli Prasetyo |none|19|Daniel Guda|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:27|21|Wisnu Yuli Prasetyo |none|9|Daniel Guda|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:31|21|Chiang Jiann Shiarng|none|14|Jeff Tho|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:31|21|Chiang Jiann Shiarng|none|15|Jeff Tho|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625||Walkover Win|Low Pit Seng|none|Walkover Loss|Liew Daren [2]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:31|21|Nipitphon Puangpuapech |Puttita Supajirakul|15|Takeshi Kamura|Shizuka Matsuo|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:31|21|Nipitphon Puangpuapech |Puttita Supajirakul|15|Takeshi Kamura|Shizuka Matsuo|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:43|10|Hoe Keat Oon|none|21|Michael Fariman|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:43|21|Hoe Keat Oon|none|16|Michael Fariman|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:43|21|Hoe Keat Oon|none|14|Michael Fariman|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:32|21|Mohamad Arif Abdul Latif |none|17|Andrew Smith|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:32|22|Mohamad Arif Abdul Latif |none|20|Andrew Smith|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:32|21|Riichi Takeshita|none|11|Wisnu Yuli Prasetyo [4]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:32|21|Riichi Takeshita|none|6|Wisnu Yuli Prasetyo [4]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:30|21|Chiang Jiann Shiarng|none|15|Low Pit Seng|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:30|21|Chiang Jiann Shiarng|none|12|Low Pit Seng|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140625|0:19|21|Akshay Dewalkar|Pradnya Gadre|10|Simon Wing Hang Leung|Tiffany Ho|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:19|21|Akshay Dewalkar|Pradnya Gadre|8|Simon Wing Hang Leung|Tiffany Ho|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:18|21|Manu Attri |N. Siki Reddy|7|Daniel Guda|Alice Wu|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:18|21|Manu Attri |N. Siki Reddy|11|Daniel Guda|Alice Wu|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:32|21|Chan Kwong Beng|Chiang Jiann Shiarng|14|Anthony Joe|Low Pit Seng|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:32|18|Chan Kwong Beng|Chiang Jiann Shiarng|21|Anthony Joe|Low Pit Seng|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:32|21|Chan Kwong Beng|Chiang Jiann Shiarng|14|Anthony Joe|Low Pit Seng|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:23|21|Kenta Kazuno|Yui Miyauchi|13|Raymond Tam|Gronya Somerville|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:23|21|Kenta Kazuno|Yui Miyauchi|13|Raymond Tam|Gronya Somerville|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:22|21|Michael Fariman|Moses Tulaar Reyhan|14|Wesley Caulkett|Mitchell Wheller|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:22|21|Michael Fariman|Moses Tulaar Reyhan|16|Wesley Caulkett|Mitchell Wheller|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:19|21|Lim Khim Wah |Ow Yao Han|14|Hoe Keat Oon|Tran Hoang Pham|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140625|0:19|21|Lim Khim Wah |Ow Yao Han|7|Hoe Keat Oon|Tran Hoang Pham|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|doubles
20140626||Walkover Win|Michael Fariman|none|Walkover Loss|Sattawat Pongnairat [1]|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:26|21|Hoe Keat Oon|none|16|Anthony Joe|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:26|21|Hoe Keat Oon|none|18|Anthony Joe|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:22|21|Andrew Smith|none|10|Simon Wing Hang Leung|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:22|21|Andrew Smith|none|10|Simon Wing Hang Leung|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:17|21|Mohamad Arif Abdul Latif |none|11|Mitchell Wheller|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:17|21|Mohamad Arif Abdul Latif |none|8|Mitchell Wheller|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:29|21|Riichi Takeshita|none|13|Wesley Caulkett|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:29|21|Riichi Takeshita|none|14|Wesley Caulkett|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:27|21|Wisnu Yuli Prasetyo |none|19|Daniel Guda|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
20140626|0:27|21|Wisnu Yuli Prasetyo |none|9|Daniel Guda|none|5B76F387-F73A-4B14-BDEB-D5D59D6CB275|singles
