date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161207||23|Ben Torrance|none|21|Wolfgang Gnedt|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Ben Torrance|none|15|Wolfgang Gnedt|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||15|Jonathan Dolan|none|21|Alexander Cook|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Jonathan Dolan|none|10|Alexander Cook|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Jonathan Dolan|none|7|Alexander Cook|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||20|Nhat Nguyen|none|22|Vincent Medina|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Nhat Nguyen|none|14|Vincent Medina|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Nhat Nguyen|none|14|Vincent Medina|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Oliver Leydon-Davis|Gronya Somerville|18|Ciaran Chambers|Sinead Chambers|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|Oliver Leydon-Davis|Gronya Somerville|12|Ciaran Chambers|Sinead Chambers|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|David Peng|none|6|Andrey Parakhodin|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|David Peng|none|6|Andrey Parakhodin|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Robert Mann|none|13|Ciar Pringle|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Robert Mann|none|17|Ciar Pringle|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Oliver Baczala|Max Flynn|12|Wolfgang Gnedt|Woon Kok Hong|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|Oliver Baczala|Max Flynn|13|Wolfgang Gnedt|Woon Kok Hong|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|Chia Hung Lu |none|5|Frederik Aalestrup|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Chia Hung Lu |none|10|Frederik Aalestrup|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Henri Aarnio |none|12|Woon Kok Hong|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||19|Henri Aarnio |none|21|Woon Kok Hong|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Henri Aarnio |none|14|Woon Kok Hong|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||15|Manon Krieger|none|21|Sonja Pekkola [3]|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Manon Krieger|none|11|Sonja Pekkola [3]|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Manon Krieger|none|16|Sonja Pekkola [3]|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Oliver Baczala|Max Flynn|10|Adrian Alcaide|Enrique Pancorbo|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|Oliver Baczala|Max Flynn|12|Adrian Alcaide|Enrique Pancorbo|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|Katia Normand |none|15|Kelly Stern|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Katia Normand |none|7|Kelly Stern|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Yu Jen Chi|none|9|Mathias Bonny [8]|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Yu Jen Chi|none|15|Mathias Bonny [8]|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Lasse Mølhede|Anne Katrine Hansen|13|Paul Reynolds|Rachael Darragh|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||22|Lasse Mølhede|Anne Katrine Hansen|20|Paul Reynolds|Rachael Darragh|D5B2CE24-E79F-4416-9632-06A25D92DFB1|doubles
20161207||21|Chirag Sen|none|7|Heng Lin Ngan|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Chirag Sen|none|16|Heng Lin Ngan|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||15|Sam Lyle|none|21|Enrique Pancorbo|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||23|Sam Lyle|none|21|Enrique Pancorbo|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
20161207||21|Sam Lyle|none|12|Enrique Pancorbo|none|D5B2CE24-E79F-4416-9632-06A25D92DFB1|singles
