date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180717|0:39|9|Fabio Caponio|none|21|Henrikho Kho Wibowo|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:39|21|Fabio Caponio|none|12|Henrikho Kho Wibowo|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:39|21|Fabio Caponio|none|15|Henrikho Kho Wibowo|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|1:15|21|Firman Abdul Kholik|none|13|Kai Schaefer|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|1:15|12|Firman Abdul Kholik|none|21|Kai Schaefer|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|1:15|23|Firman Abdul Kholik|none|21|Kai Schaefer|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:47|21|Leong Jun Hao |none|15|Kan Chao Yu|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:47|12|Leong Jun Hao |none|21|Kan Chao Yu|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:47|21|Leong Jun Hao |none|11|Kan Chao Yu|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:21|21|Gurusaidutt R. M. V.|none|7|Rosario Maddaloni|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:21|21|Gurusaidutt R. M. V.|none|10|Rosario Maddaloni|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:31|21|Shesar Hiren Rhustavito|none|9|Ng Zin Rei Ryan|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
20180717|0:31|21|Shesar Hiren Rhustavito|none|19|Ng Zin Rei Ryan|none|D7DEC522-C306-4A2A-9EC1-3C6DA23F4B33|singles
