date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170519|0:19|21|Josip Meglić |Inga Sadaić|17|Andrej Antoska|Katarina Csonkova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:19|21|Josip Meglić |Inga Sadaić|19|Andrej Antoska|Katarina Csonkova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:36|26|Calle Fredholm|Alice Lindhe|24|Nicolas Rudolf|Lena Kremmel|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:36|21|Calle Fredholm|Alice Lindhe|18|Nicolas Rudolf|Lena Kremmel|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:18|21|Enrico Baroni |Chiara Passeri|11|Barnabas Deak|Dorina Deak|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:18|21|Enrico Baroni |Chiara Passeri|18|Barnabas Deak|Dorina Deak|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:19|21|Jan Janoštík|Tallulah Sharleen Van Coppenolle|17|Vladislav Klygin|Alisa Shvetcova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:19|23|Jan Janoštík|Tallulah Sharleen Van Coppenolle|21|Vladislav Klygin|Alisa Shvetcova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:19|21|Toby Leung|Alexandra Oprisan|19|Vsevolod Pchelintsev|Anastasiia Nefedova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:19|21|Toby Leung|Alexandra Oprisan|17|Vsevolod Pchelintsev|Anastasiia Nefedova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:37|18|Erik Bartos|Alexandra Remenova|21|Justin Seibel|Yasmine Hamza|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:37|21|Erik Bartos|Alexandra Remenova|19|Justin Seibel|Yasmine Hamza|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:37|21|Erik Bartos|Alexandra Remenova|17|Justin Seibel|Yasmine Hamza|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:24|21|Vít Kulíšek|Valentýna Sonnková|12|Wiktor Trecki [7]|Szubert Karolina|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:24|21|Vít Kulíšek|Valentýna Sonnková|15|Wiktor Trecki [7]|Szubert Karolina|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:25|21|Georgios Orfeas Tsamousiadis|Theodora Lambrianidou|12|Sebestyen Nagy|Kitti Szotak|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:25|21|Georgios Orfeas Tsamousiadis|Theodora Lambrianidou|16|Sebestyen Nagy|Kitti Szotak|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:23|21|Egor Velp|Elena Filippova|11|Alessandro Vertua|Francesca Festa|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:23|21|Egor Velp|Elena Filippova|6|Alessandro Vertua|Francesca Festa|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:26|21|Ilia Kochetkov|Irina Basklein|19|Peter Kovac|Natalia Tomcova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:26|21|Ilia Kochetkov|Irina Basklein|11|Peter Kovac|Natalia Tomcova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:24|21|Balint Papai|Vivien Sandorhazi|10|Michael Tomic|Katharina Fink|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:24|21|Balint Papai|Vivien Sandorhazi|19|Michael Tomic|Katharina Fink|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:39|21|Ludvig Petre Olsson |Sofia Larsson|13|Jan Viktora|Jana Adamkova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:39|11|Ludvig Petre Olsson |Sofia Larsson|21|Jan Viktora|Jana Adamkova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:39|21|Ludvig Petre Olsson |Sofia Larsson|15|Jan Viktora|Jana Adamkova|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:25|21|Jonas Braun|Christina Weigert|17|Lorenzo Shao|Maja Fallaha|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:25|21|Jonas Braun|Christina Weigert|15|Lorenzo Shao|Maja Fallaha|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:34|21|Mihail Rami Panagiotou |Eleni Moutevelidou|15|Lenny Sudarma|Anna-Sophie Zach|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:34|21|Mihail Rami Panagiotou |Eleni Moutevelidou|18|Lenny Sudarma|Anna-Sophie Zach|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
20170519|0:29|21|Václav Palán|Lucie Krpatová|14|Matteo Massetti|Judith Mair|97944DE4-37CA-402A-8DD5-FCCAE06EE70C|doubles
