date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160617||Walkover Win|Ioannis Mamasidis|Theodora Fragoulidou|Walkover Loss|Jakub Horak|Mia Tarcalova|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:25|21|Syed Daanyaal Ali|Jovana Vucetic|2|Luka Ninoshvili|Batiashvili Teona|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:25|21|Syed Daanyaal Ali|Jovana Vucetic|6|Luka Ninoshvili|Batiashvili Teona|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:30|21|Josip Meglić|Inga Sadaić|17|Cvetomir Stoyanov|Selin Bakalova|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:30|21|Josip Meglić|Inga Sadaić|9|Cvetomir Stoyanov|Selin Bakalova|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:30|21|Sergej Lukic|Marija Sudimac|10|Tomas Timko|Julia Chmurovicova|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:30|21|Sergej Lukic|Marija Sudimac|14|Tomas Timko|Julia Chmurovicova|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:25|21|Erik Zuravlov|Katarina Csonkova|12|Savvas Hadjipantelis|Ivona Pavlovic|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:25|21|Erik Zuravlov|Katarina Csonkova|14|Savvas Hadjipantelis|Ivona Pavlovic|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:24|21|Yavor Yankov|Tanya Petkova|8|Vaggelis Sotiriadis|Stefania Konstantakatou|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:24|21|Yavor Yankov|Tanya Petkova|8|Vaggelis Sotiriadis|Stefania Konstantakatou|558341C8-F754-4B44-B37D-626915F042C6|doubles
20160617|0:28|21|Piotr Cunev|Vlada Gynga|17|Simon Ofner|Tana Badic|558341C8-F754-4B44-B37D-626915F042C6|doubles
