date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170222||21|Pei Tianyi|Wu Qianqian|15|Oliver Leydon-Davis|Marie Louise Steffensen|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||14|Pei Tianyi|Wu Qianqian|21|Oliver Leydon-Davis|Marie Louise Steffensen|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||21|Pei Tianyi|Wu Qianqian|10|Oliver Leydon-Davis|Marie Louise Steffensen|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||21|Petra Polanc|none|16|Busra Yalçinkaya|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||19|Petra Polanc|none|21|Busra Yalçinkaya|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Petra Polanc|none|19|Busra Yalçinkaya|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Brittney Tam|none|14|Nadia Fankhauser|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Brittney Tam|none|11|Nadia Fankhauser|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Busra Unlu|none|11|Kaja Stankovic|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||17|Busra Unlu|none|21|Kaja Stankovic|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Busra Unlu|none|17|Kaja Stankovic|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Manlin Yang|none|17|Tereza Švábíková|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Manlin Yang|none|10|Tereza Švábíková|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Lin Xingyu|none|15|Tovannakasem Samatcha|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||22|Lin Xingyu|none|20|Tovannakasem Samatcha|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Martin Cerkovnik|none|10|Artem Karpov|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Martin Cerkovnik|none|14|Artem Karpov|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Anton Kaisti |none|13|Joyireh Avi Manasye|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Anton Kaisti |none|15|Joyireh Avi Manasye|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||29|Wibowo Setyaldi Putra|none|27|Vilson Vattanirappel [8]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Wibowo Setyaldi Putra|none|10|Vilson Vattanirappel [8]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Helina Rüütel|none|10|Ana Marija Setina [7]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||15|Helina Rüütel|none|21|Ana Marija Setina [7]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Helina Rüütel|none|19|Ana Marija Setina [7]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||20|Busra Unlu|none|22|Ayla Huser [4]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Busra Unlu|none|18|Ayla Huser [4]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Busra Unlu|none|17|Ayla Huser [4]|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Yu Igarashi |none|16|Mikkel Mikkelsen|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Yu Igarashi |none|16|Mikkel Mikkelsen|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Pierrick Cajot |none|17|Miha Ivancic|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Pierrick Cajot |none|18|Miha Ivancic|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Xu Wei|Manlin Yang|18|Theresea Isenberg|Brid Stepper|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||21|Xu Wei|Manlin Yang|16|Theresea Isenberg|Brid Stepper|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||21|Andras Nemeth|Reka Sarosi|19|Josip Uglesic|Katarina Galenic|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||24|Andras Nemeth|Reka Sarosi|22|Josip Uglesic|Katarina Galenic|13875E71-81DA-4A60-885E-DA4BD00EC2F5|doubles
20170222||21|Camilla Martens|none|15|Sonja Pekkola|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Camilla Martens|none|11|Sonja Pekkola|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Marie Batomene|none|10|Carina Meinke|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Marie Batomene|none|17|Carina Meinke|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||11|Anastasiia Semenova|none|21|Theresa Wurm|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Anastasiia Semenova|none|9|Theresa Wurm|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||25|Anastasiia Semenova|none|23|Theresa Wurm|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Katarina Galenic|none|18|Nika Arih|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Katarina Galenic|none|12|Nika Arih|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Harshit Aggarwal|none|15|Andraz Krapez|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Harshit Aggarwal|none|11|Andraz Krapez|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||13|Piotr Wasiluk|none|21|Lukas Zevl|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Piotr Wasiluk|none|17|Lukas Zevl|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Piotr Wasiluk|none|17|Lukas Zevl|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
20170222||21|Luís Enrique Peñalver|none|13|Patrick Scheiel|none|13875E71-81DA-4A60-885E-DA4BD00EC2F5|singles
