date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140320|0:21|21|Wirawan Ihsan Adam|none|17|Vitaly Primak|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:21|21|Wirawan Ihsan Adam|none|13|Vitaly Primak|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:25|21|Liao Sheng Shiun|none|12|Konrad Baranowski|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:25|21|Liao Sheng Shiun|none|13|Konrad Baranowski|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:21|21|Artem Pochtarev |none|10|Jakub Krolak|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:21|21|Artem Pochtarev |none|10|Jakub Krolak|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:13|21|Piotr Wasiluk|none|5|Jovica Rujevic|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:13|21|Piotr Wasiluk|none|3|Jovica Rujevic|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320||Walkover Win|Rafael Valentino|none|Walkover Loss|Wojciech Cerazy|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:24|21|Adam Khan |none|14|Bartlomiej Mroz|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:24|21|Adam Khan |none|8|Bartlomiej Mroz|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:45|22|Kalle Koljonen |none|20|Stefan Wojcikiewicz|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:45|10|Kalle Koljonen |none|21|Stefan Wojcikiewicz|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:45|21|Kalle Koljonen |none|13|Stefan Wojcikiewicz|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320||Walkover Win|Maximilian Koreny|none|Walkover Loss|Michal Szymczak|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:21|21|Zvonimir Hoelbling|none|16|Michal Suski|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:21|21|Zvonimir Hoelbling|none|19|Michal Suski|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:22|21|Zvonimir Durkinjak|none|14|Maciej Dabrowski|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:22|21|Zvonimir Durkinjak|none|12|Maciej Dabrowski|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:41|21|Povilas Bartusis|none|18|Petr Jelinek|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:41|12|Povilas Bartusis|none|21|Petr Jelinek|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:41|21|Povilas Bartusis|none|18|Petr Jelinek|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:19|21|Blagovest Kisyov |none|6|Peder Sovndal|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:19|21|Blagovest Kisyov |none|14|Peder Sovndal|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:21|21|Magda Konieczna|Joanna Stanisz|13|Karolina Kowalska|Matylda Marczak|AF933AA9-274E-4F2A-8098-00AF18AE40F2|doubles
20140320|0:21|21|Magda Konieczna|Joanna Stanisz|13|Karolina Kowalska|Matylda Marczak|AF933AA9-274E-4F2A-8098-00AF18AE40F2|doubles
20140320|0:17|21|Ling Fang Hu|Shuai Pei Ling|10|Anna Debska|Adrianna Tataj|AF933AA9-274E-4F2A-8098-00AF18AE40F2|doubles
20140320|0:17|21|Ling Fang Hu|Shuai Pei Ling|9|Anna Debska|Adrianna Tataj|AF933AA9-274E-4F2A-8098-00AF18AE40F2|doubles
20140320|0:26|21|Magdalena Jaworek|Aneta Walentukanis|15|Weronika Grudzina|Magdalena Witek|AF933AA9-274E-4F2A-8098-00AF18AE40F2|doubles
20140320|0:26|21|Magdalena Jaworek|Aneta Walentukanis|19|Weronika Grudzina|Magdalena Witek|AF933AA9-274E-4F2A-8098-00AF18AE40F2|doubles
20140320|0:41|16|Andrey Parokhodin|none|21|Rodolfo Ausgusto Salles [16]|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:41|21|Andrey Parokhodin|none|14|Rodolfo Ausgusto Salles [16]|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:41|21|Andrey Parokhodin|none|11|Rodolfo Ausgusto Salles [16]|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:20|21|Albin Carl Hjelm |none|9|Ryhor Varabyou|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:20|21|Albin Carl Hjelm |none|17|Ryhor Varabyou|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:29|21|Hubert Paczek|none|12|Julian Arbitama|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:29|21|Hubert Paczek|none|17|Julian Arbitama|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:25|21|Pierrick Cajot|none|14|Dariusz Janik|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:25|21|Pierrick Cajot|none|12|Dariusz Janik|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320||Walkover Win|Krzysztof Jakowczuk|none|Walkover Loss|Harsheel Dani|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:28|21|Adrian Dziolko |none|14|Rasmus Grill Noes|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:28|21|Adrian Dziolko |none|15|Rasmus Grill Noes|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:27|21|Kuo Po Cheng|none|19|Dominik Zietek|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
20140320|0:27|21|Kuo Po Cheng|none|15|Dominik Zietek|none|AF933AA9-274E-4F2A-8098-00AF18AE40F2|singles
