date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20151007|0:30|21|Ye Lim Yoon|none|18|Liu Ho Yan|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:30|21|Ye Lim Yoon|none|8|Liu Ho Yan|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Chihiro Uchiyama|none|16|Le Xuan Teoh|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Chihiro Uchiyama|none|13|Le Xuan Teoh|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:22|21|Aisha Galuh Maheswari|none|16|Jhuang Yu-Fong|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:22|21|Aisha Galuh Maheswari|none|13|Jhuang Yu-Fong|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:50|21|Jesita Putri|none|15|Aakarshi Kashyap|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:50|17|Jesita Putri|none|21|Aakarshi Kashyap|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:50|21|Jesita Putri|none|15|Aakarshi Kashyap|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:38|21|Leung Sze Lok|none|15|Kureha Watanabe|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:38|21|Leung Sze Lok|none|16|Kureha Watanabe|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Se Young An|none|9|Titifany Illahi|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Se Young An|none|14|Titifany Illahi|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Yasnita Enggira Setiawan|none|10|Wong Hiu Ching|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Yasnita Enggira Setiawan|none|10|Wong Hiu Ching|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:30|21|Muhammad Febriansyah Febriansyah|none|12|Keisuke Yamashita|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:30|21|Muhammad Febriansyah Febriansyah|none|14|Keisuke Yamashita|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:40|21|Jhy Dar Ooi|none|15|Hak Joo Lee|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:40|21|Jhy Dar Ooi|none|10|Hak Joo Lee|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Yonathan Ramlie Ramlie|none|19|Akash Thakur|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:35|21|Yonathan Ramlie Ramlie|none|12|Akash Thakur|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:53|21|Ko Shing Hei|none|7|Ananchai Ratanachainon|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:53|17|Ko Shing Hei|none|21|Ananchai Ratanachainon|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:53|21|Ko Shing Hei|none|11|Ananchai Ratanachainon|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:20|21|Maisnam Meiraba|none|12|Tri Hien Bui|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:20|21|Maisnam Meiraba|none|2|Tri Hien Bui|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:25|21|Rizky Ainul Muttaqin|none|6|Wang Hei Ho|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:25|21|Rizky Ainul Muttaqin|none|14|Wang Hei Ho|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:40|21|Ricardo Astan Fernando|none|14|Krisda Kolum|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:40|21|Ricardo Astan Fernando|none|7|Krisda Kolum|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007||Walkover Win|Su Li Yang|none|Walkover Loss|Aakash Yadav|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:30|23|Bobby Setiabudi|none|21|Lui Chun Wai|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:30|21|Bobby Setiabudi|none|12|Lui Chun Wai|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:55|21|Yeung Sum Yee|none|13|Haruna Konishi|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:55|12|Yeung Sum Yee|none|21|Haruna Konishi|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:55|21|Yeung Sum Yee|none|15|Haruna Konishi|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:45|21|Ha Na Baek|none|15|Asty Dwi Widyaningrum|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:45|21|Ha Na Baek|none|19|Asty Dwi Widyaningrum|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
20151007|0:42|21|Hirari Mizui|none|17|Chieh Yu|none|0078DAA9-6831-4F3E-9465-FBEB9C829F83|singles
