date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161006|0:25|21|Flurin Furrer |none|8|Atanas Todorov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:25|21|Flurin Furrer |none|13|Atanas Todorov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:44|12|Viknesh Rajendran|none|21|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:44|21|Viknesh Rajendran|none|19|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:44|13|Viknesh Rajendran|none|6|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:44|Walkover Win|Viknesh Rajendran|none|Walkover Loss|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:21|21|Iliyan Stoynov|none|12|Petar Zhivkovski|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:21|21|Iliyan Stoynov|none|4|Petar Zhivkovski|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:29|21|Dzmitry Kuzmitski |none|19|Angel Dimov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:29|21|Dzmitry Kuzmitski |none|17|Angel Dimov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:51|23|Flurin Furrer |none|21|Viknesh Rajendran|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:51|17|Flurin Furrer |none|21|Viknesh Rajendran|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:51|21|Flurin Furrer |none|14|Viknesh Rajendran|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:45|21|Iliyan Stoynov|none|10|Dzmitry Kuzmitski [2]|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:45|16|Iliyan Stoynov|none|21|Dzmitry Kuzmitski [2]|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161006|0:45|23|Iliyan Stoynov|none|21|Dzmitry Kuzmitski [2]|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:25|21|Flurin Furrer |none|8|Atanas Todorov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:25|21|Flurin Furrer |none|13|Atanas Todorov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:44|12|Viknesh Rajendran|none|21|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:44|21|Viknesh Rajendran|none|19|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:44|13|Viknesh Rajendran|none|6|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:44|Walkover Win|Viknesh Rajendran|none|Walkover Loss|Daniel Grassmuck|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:21|21|Iliyan Stoynov|none|12|Petar Zhivkovski|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:21|21|Iliyan Stoynov|none|4|Petar Zhivkovski|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:29|21|Dzmitry Kuzmitski |none|19|Angel Dimov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:29|21|Dzmitry Kuzmitski |none|17|Angel Dimov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:51|23|Flurin Furrer |none|21|Viknesh Rajendran|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:51|17|Flurin Furrer |none|21|Viknesh Rajendran|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:51|21|Flurin Furrer |none|14|Viknesh Rajendran|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:45|21|Iliyan Stoynov|none|10|Dzmitry Kuzmitski [2]|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:45|16|Iliyan Stoynov|none|21|Dzmitry Kuzmitski [2]|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161007|0:45|23|Iliyan Stoynov|none|21|Dzmitry Kuzmitski [2]|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
20161008|0:25|21|Flurin Furrer |none|8|Atanas Todorov|none|CACBC102-3401-432A-9792-E742A4CA2E3C|singles
