date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161214|0:28|21|Jason Anthony Ho-Shue|none|9|Sheng Lyu|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:28|21|Jason Anthony Ho-Shue|none|14|Sheng Lyu|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:27|21|Ruben Castellanos|none|8|Mathew Fogarty|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:27|21|Ruben Castellanos|none|13|Mathew Fogarty|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:18|21|Kevin Barkman|none|14|Grimaldy Navirio Gunawan|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:18|21|Kevin Barkman|none|6|Grimaldy Navirio Gunawan|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:25|23|Lin Chia Hao|none|21|Humberto Aguirre Fajardo|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:25|21|Lin Chia Hao|none|13|Humberto Aguirre Fajardo|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:54|21|Sattawat Pongnairat|none|16|Lin Chia Hsuan|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:54|19|Sattawat Pongnairat|none|21|Lin Chia Hsuan|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:54|22|Sattawat Pongnairat|none|20|Lin Chia Hsuan|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:50|21|Huang Guoxing|none|12|Hock Lai Lee|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:50|14|Huang Guoxing|none|21|Hock Lai Lee|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:50|21|Huang Guoxing|none|7|Hock Lai Lee|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
20161214|0:21|21|Christopher Alexander Martinez Salvador|none|16|Calvin Lin|none|FD628BE3-7391-4B2D-8F7E-EB946578D388|singles
