date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20170309||21|Christopher Grimley|Ciara Torrance|17|Sturla Flaten Jorgensen|Emilie Faarup Storvik|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||21|Christopher Grimley|Ciara Torrance|17|Sturla Flaten Jorgensen|Emilie Faarup Storvik|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||21|Miha Ivanic |none|12|Marco Jorge|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Miha Ivanic |none|10|Marco Jorge|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Krzysztof Jakowczuk|none|19|Christopher Grimley|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||19|Krzysztof Jakowczuk|none|21|Christopher Grimley|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Krzysztof Jakowczuk|none|11|Christopher Grimley|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Ross Green|none|18|Andraz Krapez|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Ross Green|none|18|Andraz Krapez|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||18|Daniel Nikolov |none|21|Miha Ivancic|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Daniel Nikolov |none|14|Miha Ivancic|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Daniel Nikolov |none|16|Miha Ivancic|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Jocelyn Deschamp |none|15|Luke Pearce|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Jocelyn Deschamp |none|12|Luke Pearce|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||23|Nathan Vervaeke |none|21|Martin Cerkovnik|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Nathan Vervaeke |none|10|Martin Cerkovnik|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Sara Penalver Pereira|none|12|Paige Butler [8]|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Sara Penalver Pereira|none|16|Paige Butler [8]|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Juliane Piron|none|11|Line Fleischer|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||13|Juliane Piron|none|21|Line Fleischer|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Juliane Piron|none|15|Line Fleischer|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||17|Claudia Paredes|none|21|Helena Pestana|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Claudia Paredes|none|16|Helena Pestana|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Claudia Paredes|none|9|Helena Pestana|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Miguel Rocha |Carlos André Silva|13|Francisco B. Mendes|Pedro Santos|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||23|Miguel Rocha |Carlos André Silva|21|Francisco B. Mendes|Pedro Santos|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||14|Vincent Ponsart|Quentin Vincent|21|Joao Alves|Joao Marques|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||21|Vincent Ponsart|Quentin Vincent|16|Joao Alves|Joao Marques|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||21|Vincent Ponsart|Quentin Vincent|18|Joao Alves|Joao Marques|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|doubles
20170309||21|Valentin Singer|none|11|Frederik Aalestrup [12]|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Valentin Singer|none|17|Frederik Aalestrup [12]|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
20170309||21|Leo Rossi |none|11|Alexander Dunn|none|869CEC9B-4C46-4C27-8CBB-DE9A993F2769|singles
