date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190306|0:38|21|Vinson Chiu|none|10|Kemar Valentine|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:38|21|Vinson Chiu|none|17|Kemar Valentine|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:24|21|Peder Søvndal|none|15|Bradley Graham|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:24|21|Peder Søvndal|none|13|Bradley Graham|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306||Walkover Win|Craig Allison|none|Walkover Loss|Dennis Coke [1]|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:26|21|Joel Angus|none|12|Che Alexander Beckford|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:26|21|Joel Angus|none|15|Che Alexander Beckford|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:27|21|Alexander Bianchini|none|14|Damien Howell [3/4]|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:27|21|Alexander Bianchini|none|11|Damien Howell [3/4]|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:25|21|Ruben Castellanos |none|9|Gavin Robinson|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:25|21|Ruben Castellanos |none|9|Gavin Robinson|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:36|21|Shane Wilson|none|19|Matthew Lee|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:36|21|Shane Wilson|none|14|Matthew Lee|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|1:00|22|Kyle Alexander Munoz Seixas |none|20|Mbongo Dmitri|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|1:00|15|Kyle Alexander Munoz Seixas |none|21|Mbongo Dmitri|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|1:00|21|Kyle Alexander Munoz Seixas |none|17|Mbongo Dmitri|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:25|21|Vinson Chiu|none|13|Andy Jesús Baque|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:25|21|Vinson Chiu|none|17|Andy Jesús Baque|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:40|18|Howard Shu|none|21|Peder Søvndal|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:40|21|Howard Shu|none|14|Peder Søvndal|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190306|0:40|21|Howard Shu|none|10|Peder Søvndal|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:38|21|Vinson Chiu|none|10|Kemar Valentine|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:38|21|Vinson Chiu|none|17|Kemar Valentine|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:24|21|Peder Søvndal|none|15|Bradley Graham|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:24|21|Peder Søvndal|none|13|Bradley Graham|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307||Walkover Win|Craig Allison|none|Walkover Loss|Dennis Coke [1]|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:26|21|Joel Angus|none|12|Che Alexander Beckford|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:26|21|Joel Angus|none|15|Che Alexander Beckford|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:27|21|Alexander Bianchini|none|14|Damien Howell [3/4]|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:27|21|Alexander Bianchini|none|11|Damien Howell [3/4]|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:25|21|Ruben Castellanos |none|9|Gavin Robinson|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:25|21|Ruben Castellanos |none|9|Gavin Robinson|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:36|21|Shane Wilson|none|19|Matthew Lee|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:36|21|Shane Wilson|none|14|Matthew Lee|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|1:00|22|Kyle Alexander Munoz Seixas |none|20|Mbongo Dmitri|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|1:00|15|Kyle Alexander Munoz Seixas |none|21|Mbongo Dmitri|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|1:00|21|Kyle Alexander Munoz Seixas |none|17|Mbongo Dmitri|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:25|21|Vinson Chiu|none|13|Andy Jesús Baque|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:25|21|Vinson Chiu|none|17|Andy Jesús Baque|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
20190307|0:40|18|Howard Shu|none|21|Peder Søvndal|none|BBA0B9E7-2EEB-48B3-B198-3D29A23A9B63|singles
