date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20180927||21|Anton Kaisti|Inalotta Suutarinen|13|Daniel Hess|Stine Susan Küspert|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Anton Kaisti|Inalotta Suutarinen|18|Daniel Hess|Stine Susan Küspert|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Daniel Nikolov|none|10|Joran Kweekel|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Daniel Nikolov|none|12|Joran Kweekel|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Dmytro Zavadsky |none|18|Andraz Krapez|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||15|Dmytro Zavadsky |none|21|Andraz Krapez|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Dmytro Zavadsky |none|18|Andraz Krapez|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Jakub Bitman|Matěj Hubáček|14|Jack Macgregor|Ciar Pringle|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Jakub Bitman|Matěj Hubáček|19|Jack Macgregor|Ciar Pringle|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Mads Emil Christensen|Kristoffer Knudsen|19|Hauke Graalmann|Patrick Scheiel|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Mads Emil Christensen|Kristoffer Knudsen|19|Hauke Graalmann|Patrick Scheiel|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Wolfgang Gnedt|none|14|Jacek Kolumbajew|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Wolfgang Gnedt|none|11|Jacek Kolumbajew|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||8|Reka Madarasz|none|21|Maryna Ilyinskaya [4]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||22|Reka Madarasz|none|20|Maryna Ilyinskaya [4]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Reka Madarasz|none|16|Maryna Ilyinskaya [4]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Hannes Gerberich|none|13|Jaromir Janacek|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||12|Hannes Gerberich|none|21|Jaromir Janacek|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Hannes Gerberich|none|17|Jaromir Janacek|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||20|Mads Emil Christensen|Kristoffer Knudsen|22|Matthew Clare [3]|Michael Roe|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Mads Emil Christensen|Kristoffer Knudsen|15|Matthew Clare [3]|Michael Roe|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||22|Mads Emil Christensen|Kristoffer Knudsen|20|Matthew Clare [3]|Michael Roe|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||20|Anton Kaisti|Oskari Larkimo|22|Jakub Bitman|Matěj Hubáček|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Anton Kaisti|Oskari Larkimo|11|Jakub Bitman|Matěj Hubáček|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||22|Anton Kaisti|Oskari Larkimo|20|Jakub Bitman|Matěj Hubáček|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Jack Macgregor|none|17|Lukáš Holub|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Jack Macgregor|none|19|Lukáš Holub|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Miha Ivanic |none|11|Ciar Pringle|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||14|Miha Ivanic |none|21|Ciar Pringle|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Miha Ivanic |none|9|Ciar Pringle|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||15|Chee Tean Tan|Antonia Meinke|21|Patrick Scheiel [2]|Franziska Volkmann|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Chee Tean Tan|Antonia Meinke|15|Patrick Scheiel [2]|Franziska Volkmann|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Chee Tean Tan|Antonia Meinke|18|Patrick Scheiel [2]|Franziska Volkmann|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||23|Daniel Nikolov|none|21|Dimitar Yanakiev|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Daniel Nikolov|none|19|Dimitar Yanakiev|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Milan Dratva |none|18|Valeriy Atrashchenkov|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Milan Dratva |none|16|Valeriy Atrashchenkov|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||14|Hrystyna Dzhangobekova|none|21|Vrushali Gummadi [3]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||23|Hrystyna Dzhangobekova|none|21|Vrushali Gummadi [3]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Hrystyna Dzhangobekova|none|16|Vrushali Gummadi [3]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Mads Christophersen |none|18|Miha Ivanic [6]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Mads Christophersen |none|9|Miha Ivanic [6]|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Chee Tean Tan|Antonia Meinke|8|Filip Budzel|Dominika Budzelova|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Chee Tean Tan|Antonia Meinke|18|Filip Budzel|Dominika Budzelova|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Jan Hubáček|Michaela Fuchsova|10|Artyom Savatyugin|Katsiaryna Zablotskaya|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Jan Hubáček|Michaela Fuchsova|19|Artyom Savatyugin|Katsiaryna Zablotskaya|3EC85205-0947-4465-BB6F-47DCCDBDC454|doubles
20180927||21|Ade Resky Dwicahyo |none|15|Dinuka Karunaratna|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Ade Resky Dwicahyo |none|16|Dinuka Karunaratna|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Jonathan Dolan|none|13|Phone Pyae Naing|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Jonathan Dolan|none|12|Phone Pyae Naing|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Milan Dratva |none|17|Miha Ivancic|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Milan Dratva |none|13|Miha Ivancic|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Christo Popov|none|15|Hemanth M.Gowda|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Christo Popov|none|18|Hemanth M.Gowda|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Laura Sarosi|none|14|Freja Ravn|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||18|Laura Sarosi|none|21|Freja Ravn|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Laura Sarosi|none|7|Freja Ravn|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Tereza Švábíková |none|16|Tanvi Lad|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Tereza Švábíková |none|8|Tanvi Lad|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Vivien Sandorhazi|none|10|Katarina Vargova|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Vivien Sandorhazi|none|12|Katarina Vargova|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Leon Seiwald|none|10|Artyom Savatyugin|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
20180927||21|Leon Seiwald|none|6|Artyom Savatyugin|none|3EC85205-0947-4465-BB6F-47DCCDBDC454|singles
