date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20190402||21|Hafiz Faizal |Gloria Emanuelle Widjaja|16|Lee Yang|Yang Ching Tun|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Hafiz Faizal |Gloria Emanuelle Widjaja|10|Lee Yang|Yang Ching Tun|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Busanan Ongbamrungphan|none|10|Chloe Birch|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Busanan Ongbamrungphan|none|7|Chloe Birch|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||22|Chayanit Chaladchalam|Phataimas Muenwong|20|Vivian Hoo|Yap Cheng Wen|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||16|Chayanit Chaladchalam|Phataimas Muenwong|21|Vivian Hoo|Yap Cheng Wen|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Chayanit Chaladchalam|Phataimas Muenwong|19|Vivian Hoo|Yap Cheng Wen|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Wahyu Nayaka Arya Pangkaryanira|Ade Yusuf Santoso|19|Kim Astrup [5]|Anders Skaarup Rasmussen|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||24|Wahyu Nayaka Arya Pangkaryanira|Ade Yusuf Santoso|26|Kim Astrup [5]|Anders Skaarup Rasmussen|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Wahyu Nayaka Arya Pangkaryanira|Ade Yusuf Santoso|8|Kim Astrup [5]|Anders Skaarup Rasmussen|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Kantaphon Wangcharoen|none|10|Liew Daren|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Kantaphon Wangcharoen|none|15|Liew Daren|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Akane Yamaguchi |none|16|Soniia Cheah|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Akane Yamaguchi |none|17|Soniia Cheah|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Tan Kian Meng|Lai Pei Jing|16|Yuta Watanabe [3]|Arisa Higashino|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Tan Kian Meng|Lai Pei Jing|15|Yuta Watanabe [3]|Arisa Higashino|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||20|Kento Momota |none|22|Jan O Jorgensen|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Kento Momota |none|13|Jan O Jorgensen|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Kento Momota |none|11|Jan O Jorgensen|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Chan Peng Soon |Goh Liu Ying|13|Kohei Gondo|Ayane Kurihara|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Chan Peng Soon |Goh Liu Ying|19|Kohei Gondo|Ayane Kurihara|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Goh V Shem|Tan Wee Kiong|14|Tinn Isriyanet|Kittisak Namdash|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Goh V Shem|Tan Wee Kiong|18|Tinn Isriyanet|Kittisak Namdash|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||13|Chen Xiaoxin|none|21|Kim Ga Eun|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Chen Xiaoxin|none|13|Kim Ga Eun|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Chen Xiaoxin|none|14|Kim Ga Eun|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||15|Du Yue|Li Yinhui|21|Ayako Sakuramoto|Yukiko Takahata|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Du Yue|Li Yinhui|11|Ayako Sakuramoto|Yukiko Takahata|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||23|Du Yue|Li Yinhui|21|Ayako Sakuramoto|Yukiko Takahata|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||22|Shi Yuqi |none|20|Sameer Verma|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Shi Yuqi |none|23|Sameer Verma|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Shi Yuqi |none|12|Sameer Verma|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Tontowi Ahmad|Winny Oktavina Kandow|15|Do Tuan Duc|Pham Nhu Thao|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Tontowi Ahmad|Winny Oktavina Kandow|18|Do Tuan Duc|Pham Nhu Thao|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Takeshi Kamura |Keigo Sonoda|17|Huang Kaixiang|Wang Zekang|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Takeshi Kamura |Keigo Sonoda|18|Huang Kaixiang|Wang Zekang|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|doubles
20190402||21|Chen Long |none|13|Hans-Kristian Solberg Vittinghus|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Chen Long |none|9|Hans-Kristian Solberg Vittinghus|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Tai Tzu Ying |none|14|Deng Joy Xuan|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
20190402||21|Tai Tzu Ying |none|13|Deng Joy Xuan|none|F21EDFA6-0F3F-4B4A-833C-5C9F7400CF1B|singles
