date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171102|0:18|21|Tovannakasem Samatcha|Nikoletta Bukoviczki|9|Akos Morocz|Nora Hircze|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:18|21|Tovannakasem Samatcha|Nikoletta Bukoviczki|12|Akos Morocz|Nora Hircze|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:21|21|Sander Merits|Kati-Kreet Marran|14|Levente Nagy Sz|Dora Komives|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:21|21|Sander Merits|Kati-Kreet Marran|12|Levente Nagy Sz|Dora Komives|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:30|21|Mads Emil Christensen |Claudia Paredes|10|Thomas Bless|Jennifer Kobelt|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:30|21|Mads Emil Christensen |Claudia Paredes|19|Thomas Bless|Jennifer Kobelt|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:36|12|Jaromir Janacek|Sabina Milova|21|Mathias Weber Estrup|Josephine Van Zaane|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:36|22|Jaromir Janacek|Sabina Milova|20|Mathias Weber Estrup|Josephine Van Zaane|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:36|21|Jaromir Janacek|Sabina Milova|11|Mathias Weber Estrup|Josephine Van Zaane|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:41|21|Emil Hybel|Sofie Nielsen|9|Gergo Pytel|Reka Madarasz|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:41|18|Emil Hybel|Sofie Nielsen|21|Gergo Pytel|Reka Madarasz|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:41|21|Emil Hybel|Sofie Nielsen|10|Gergo Pytel|Reka Madarasz|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:27|24|Iztok Utrosa|Sereina Hofstetter|22|Matěj Hubáček [3]|Berta Ausbergerova|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:27|21|Iztok Utrosa|Sereina Hofstetter|14|Matěj Hubáček [3]|Berta Ausbergerova|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102||Walkover Win|Filip Jagar|Lucija Buchberger|Walkover Loss|Roman Zirnwald|Sonja Langthaler|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102||Walkover Win|Ramon Kropf|Irina Koelbener|Walkover Loss|Lasse Mølhede|Line Nørgaard|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|doubles
20171102|0:28|21|Benjamin Pui Hun Li|none|17|Zsombor Dulcz|none|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|singles
20171102|0:28|21|Benjamin Pui Hun Li|none|13|Zsombor Dulcz|none|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|singles
20171102|0:29|21|Søren Hald|none|17|Balazs Papai|none|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|singles
20171102|0:29|21|Søren Hald|none|8|Balazs Papai|none|DA241EEF-0ABE-4FC2-8D7B-1CF6B93A101D|singles
