date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140326|0:17|21|Samuel O’Brien Ricketts |none|14|Yosbel Perez Silva|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:17|21|Samuel O’Brien Ricketts |none|19|Yosbel Perez Silva|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326||Walkover Win|Michel Roberto Ferrer Cepero|none|Walkover Loss|Wilmer Josue Ramirez Cañizales|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326||Walkover Win|Lisbel Gomez |none|Walkover Loss|Kevin Jose Penalver Rivas|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:20|21|Juan Marcos Lazo Castillo|none|14|Quijada Willfer|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:20|21|Juan Marcos Lazo Castillo|none|13|Quijada Willfer|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:22|21|Bryan Veliz Arbolay|none|12|Lucio Coronato|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:22|21|Bryan Veliz Arbolay|none|9|Lucio Coronato|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:19|21|Angel Herrera Rodríguez|none|10|Jesus Manuel Sanchez Lama [3]|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:19|21|Angel Herrera Rodríguez|none|11|Jesus Manuel Sanchez Lama [3]|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326||Walkover Win|Lazaro Yovani Madera Padrino|none|Walkover Loss|Ivan Elyouri Perozo|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:45|16|Gonzalo Vega Padilla|none|21|Sebastian Macias [2]|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:45|24|Gonzalo Vega Padilla|none|22|Sebastian Macias [2]|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:45|21|Gonzalo Vega Padilla|none|19|Sebastian Macias [2]|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
20140326|0:22|21|Henry Geordine|none|9|Lisandra Rodriguez Guerra|none|AD5722AD-81CC-4B11-9278-4A08EED35987|singles
