date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171207|0:26|21|Mohd Naser Mansour Nayef|none|18|Chongo Ezra Mulenga|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:26|21|Mohd Naser Mansour Nayef|none|12|Chongo Ezra Mulenga|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:45|10|Christopher Paul|none|21|Cameron Coetzer|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:45|21|Christopher Paul|none|13|Cameron Coetzer|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:45|21|Christopher Paul|none|17|Cameron Coetzer|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:44|21|Edwin Akwanyi|none|23|Jarred Elliot|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:44|23|Edwin Akwanyi|none|21|Jarred Elliot|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:44|22|Edwin Akwanyi|none|20|Jarred Elliot|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:16|21|Clement Krobakpo|none|7|Matthew Michel|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:16|21|Clement Krobakpo|none|12|Matthew Michel|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:21|21|Maxime Moreels |none|9|Justin Bezuidenhout|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:21|21|Maxime Moreels |none|5|Justin Bezuidenhout|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207||Walkover Win|Zach Russ|none|Walkover Loss|Youcef Sabri Medel|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:15|21|Aatish Lubah |none|9|Daniel Steyn|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:15|21|Aatish Lubah |none|7|Daniel Steyn|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:19|21|Adam Mendrek |none|8|Dillan Kyle Schaap|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:19|21|Adam Mendrek |none|9|Dillan Kyle Schaap|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:23|21|Abdelrahman Kashkal|none|16|Robert Summers|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:23|21|Abdelrahman Kashkal|none|16|Robert Summers|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:17|21|Abdelrahman Abdelhakim |none|8|Ryan Armand Swart|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:17|21|Abdelrahman Abdelhakim |none|7|Ryan Armand Swart|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:27|21|Mohd Naser Mansour Nayef|none|16|Bongani Von Bodenstein|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:27|21|Mohd Naser Mansour Nayef|none|18|Bongani Von Bodenstein|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:17|21|Christopher Paul|none|7|Paul Kopolo|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:17|21|Christopher Paul|none|5|Paul Kopolo|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:28|22|Edwin Akwanyi|none|20|Morne De Beer|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:28|21|Edwin Akwanyi|none|16|Morne De Beer|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:16|21|Robert Mann |none|5|Auston Govender|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:16|21|Robert Mann |none|5|Auston Govender|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207||Walkover Win|Ruan Snyman|none|Walkover Loss|Jovica Rujevic|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207||Walkover Win|Georges Julien Paul |none|Walkover Loss|Koceila Mammeri|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:20|21|Clement Krobakpo|none|16|Travis Allison|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
20171207|0:20|21|Clement Krobakpo|none|14|Travis Allison|none|AD4CC4EA-7EE2-45A1-9F95-63448CB46ED3|singles
