date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160906|0:37|4|Kisona S.|none|11|Sararat Chueboca|none|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|singles
20160906|0:37|11|Kisona S.|none|2|Sararat Chueboca|none|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|singles
20160906|0:37|5|Kisona S.|none|11|Sararat Chueboca|none|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|singles
20160906|0:37|11|Kisona S.|none|9|Sararat Chueboca|none|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|singles
20160906|0:37|11|Kisona S.|none|4|Sararat Chueboca|none|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|singles
20160906|0:34|11|Pramudya Kusumawardana|Rizal Muhammad Sofyan|5|Sang Pil Jeon|Hak Beom Lee|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:34|11|Pramudya Kusumawardana|Rizal Muhammad Sofyan|7|Sang Pil Jeon|Hak Beom Lee|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:34|10|Pramudya Kusumawardana|Rizal Muhammad Sofyan|12|Sang Pil Jeon|Hak Beom Lee|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:34|11|Pramudya Kusumawardana|Rizal Muhammad Sofyan|9|Sang Pil Jeon|Hak Beom Lee|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:16|12|Haffiz Nur Adila|Rehan Naufal Kusharjanto|10|Ahmad Zaid Zainal Zainal|Helmie Zulhaidee Zulman|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:16|11|Haffiz Nur Adila|Rehan Naufal Kusharjanto|13|Ahmad Zaid Zainal Zainal|Helmie Zulhaidee Zulman|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:16|11|Haffiz Nur Adila|Rehan Naufal Kusharjanto|5|Ahmad Zaid Zainal Zainal|Helmie Zulhaidee Zulman|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:16|11|Haffiz Nur Adila|Rehan Naufal Kusharjanto|7|Ahmad Zaid Zainal Zainal|Helmie Zulhaidee Zulman|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:18|11|Daniel Marthin|Febriana Dwipuji Kusuma|7|Jun Cheng Lye|Lin Seah|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:18|11|Daniel Marthin|Febriana Dwipuji Kusuma|5|Jun Cheng Lye|Lin Seah|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
20160906|0:18|11|Daniel Marthin|Febriana Dwipuji Kusuma|6|Jun Cheng Lye|Lin Seah|1D6381B3-28FD-4AC4-97A1-EFE678424FF7|doubles
