date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160426||21|Chloe Magee|none|19|Chloe Birch|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||18|Chloe Magee|none|21|Chloe Birch|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Chloe Magee|none|12|Chloe Birch|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Sabrina Jaquet|none|11|Carissa Turner|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Sabrina Jaquet|none|11|Carissa Turner|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||26|Yaelle Hoyaux|none|24|Elisabeth Baldauf|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Yaelle Hoyaux|none|14|Elisabeth Baldauf|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||16|Vladimir Malkov|none|21|Michal Rogalski|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Vladimir Malkov|none|12|Michal Rogalski|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Vladimir Malkov|none|16|Michal Rogalski|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||23|Ronan Labar |Emilie Lefel|25|Evgenij Dremin|Evgenia Dimova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Ronan Labar |Emilie Lefel|19|Evgenij Dremin|Evgenia Dimova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Ronan Labar |Emilie Lefel|16|Evgenij Dremin|Evgenia Dimova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||14|Bastian Kersaudy|Lea Palermo|21|Ben Lane|Jessica Pugh|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Bastian Kersaudy|Lea Palermo|18|Ben Lane|Jessica Pugh|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Bastian Kersaudy|Lea Palermo|16|Ben Lane|Jessica Pugh|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Natalia Koch Rohde|none|17|Lianne Tan|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Natalia Koch Rohde|none|11|Lianne Tan|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Nanna Vainio|none|10|Jeanine Cicognini|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Nanna Vainio|none|15|Jeanine Cicognini|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Iztok Utrosa|none|17|Kestutis Navickas|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||22|Iztok Utrosa|none|20|Kestutis Navickas|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Toby Penty|none|10|Artem Pochtarev|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Toby Penty|none|14|Artem Pochtarev|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Daniel Font|Carissa Turner|16|David Obernosterer|Elisabeth Baldauf|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||15|Daniel Font|Carissa Turner|21|David Obernosterer|Elisabeth Baldauf|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Daniel Font|Carissa Turner|17|David Obernosterer|Elisabeth Baldauf|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Petr Koukal|none|8|David Obernosterer|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Petr Koukal|none|18|David Obernosterer|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Scott Evans|none|13|Ville Lang|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Scott Evans|none|6|Ville Lang|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Kati Tolmoff|none|16|Ksenia Polikarpova|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Kati Tolmoff|none|9|Ksenia Polikarpova|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Yuhan Tan|none|9|Emil Holst|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Yuhan Tan|none|19|Emil Holst|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Lucas Claerbout|none|18|Erik Meijs|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Lucas Claerbout|none|16|Erik Meijs|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Mark Lamsfuss|Isabel Herttrich|19|Rodion Kargaev|Ekaterina Bolotova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Mark Lamsfuss|Isabel Herttrich|13|Rodion Kargaev|Ekaterina Bolotova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Mathias Christiansen|Lena Grebak|19|Ruben Jille|Iris Tabeling|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Mathias Christiansen|Lena Grebak|19|Ruben Jille|Iris Tabeling|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||Walkover Win|Gaetan Mittelheisser|Audrey Fontaine|Walkover Loss|Igor Cimbur|Stasa Poznanovic|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Sam Magee|Chloe Magee|18|Robert Mateusiak [4]|Nadiezda Zieba|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||13|Sam Magee|Chloe Magee|21|Robert Mateusiak [4]|Nadiezda Zieba|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||21|Sam Magee|Chloe Magee|18|Robert Mateusiak [4]|Nadiezda Zieba|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160426||19|Mattias Borg|none|21|Eetu Heino|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Mattias Borg|none|10|Eetu Heino|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Mattias Borg|none|13|Eetu Heino|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||22|Adrian Dziolko|none|20|Pedro Martins|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||21|Adrian Dziolko|none|14|Pedro Martins|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160426||Walkover Win|Nico Ruponen|Amanda Hogstrom|Walkover Loss|Marvin Emil Seidel|Linda Efler|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||21|Chloe Magee|none|19|Chloe Birch|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||18|Chloe Magee|none|21|Chloe Birch|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Chloe Magee|none|12|Chloe Birch|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Sabrina Jaquet|none|11|Carissa Turner|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Sabrina Jaquet|none|11|Carissa Turner|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||26|Yaelle Hoyaux|none|24|Elisabeth Baldauf|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Yaelle Hoyaux|none|14|Elisabeth Baldauf|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||16|Vladimir Malkov|none|21|Michal Rogalski|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Vladimir Malkov|none|12|Michal Rogalski|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Vladimir Malkov|none|16|Michal Rogalski|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||23|Ronan Labar |Emilie Lefel|25|Evgenij Dremin|Evgenia Dimova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||21|Ronan Labar |Emilie Lefel|19|Evgenij Dremin|Evgenia Dimova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||21|Ronan Labar |Emilie Lefel|16|Evgenij Dremin|Evgenia Dimova|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||14|Bastian Kersaudy|Lea Palermo|21|Ben Lane|Jessica Pugh|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||21|Bastian Kersaudy|Lea Palermo|18|Ben Lane|Jessica Pugh|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||21|Bastian Kersaudy|Lea Palermo|16|Ben Lane|Jessica Pugh|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
20160427||21|Natalia Koch Rohde|none|17|Lianne Tan|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Natalia Koch Rohde|none|11|Lianne Tan|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Nanna Vainio|none|10|Jeanine Cicognini|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Nanna Vainio|none|15|Jeanine Cicognini|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Iztok Utrosa|none|17|Kestutis Navickas|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||22|Iztok Utrosa|none|20|Kestutis Navickas|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Toby Penty|none|10|Artem Pochtarev|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Toby Penty|none|14|Artem Pochtarev|none|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|singles
20160427||21|Daniel Font|Carissa Turner|16|David Obernosterer|Elisabeth Baldauf|F4ACEEE9-BE56-468D-A79F-3F78F0D19B57|doubles
