date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20150908|0:44|21|Yuta Watanabe|Arisa Higashino|9|Kona Tarun [1]|Sikki N. Reddy|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:44|13|Yuta Watanabe|Arisa Higashino|21|Kona Tarun [1]|Sikki N. Reddy|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:44|21|Yuta Watanabe|Arisa Higashino|19|Kona Tarun [1]|Sikki N. Reddy|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:23|21|Kenta Kazuno|Ayane Kurihara|7|Yehezkiel Fritz Mainaky|Lyanny Alessandra Mainaky|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:23|21|Kenta Kazuno|Ayane Kurihara|10|Yehezkiel Fritz Mainaky|Lyanny Alessandra Mainaky|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:43|21|Yuki Kaneko |Shizuka Matsuo|9|Shuto Morioka|Chiharu Shida|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:43|14|Yuki Kaneko |Shizuka Matsuo|21|Shuto Morioka|Chiharu Shida|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:43|21|Yuki Kaneko |Shizuka Matsuo|11|Shuto Morioka|Chiharu Shida|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:26|21|Yoo Yeon Seong|Chang Ye Na|13|Tomoya Takashina|Rie Etoh|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:26|21|Yoo Yeon Seong|Chang Ye Na|12|Tomoya Takashina|Rie Etoh|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:25|21|Yugo Kobayashi|Yuki Fukushima|12|Kim Jae Hwan|Kim So Yeong|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:25|21|Yugo Kobayashi|Yuki Fukushima|17|Kim Jae Hwan|Kim So Yeong|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:30|21|Akira Koga |Koharu Yonemoto|8|Hikaru Komachiya|Kaede Kameda|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:30|23|Akira Koga |Koharu Yonemoto|21|Hikaru Komachiya|Kaede Kameda|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:43|17|Agripinna Prima Rahmanto Putra|Aprilsasi Putri Lejarsar Variella|21|Koshun Miura|Natsumi Uratani|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:43|21|Agripinna Prima Rahmanto Putra|Aprilsasi Putri Lejarsar Variella|15|Koshun Miura|Natsumi Uratani|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:43|21|Agripinna Prima Rahmanto Putra|Aprilsasi Putri Lejarsar Variella|18|Koshun Miura|Natsumi Uratani|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:30|21|Choi Solgyu |Eom Hye Won|15|Daisuke Suzuki|Midori Sakurai|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:30|21|Choi Solgyu |Eom Hye Won|18|Daisuke Suzuki|Midori Sakurai|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:46|21|Puavaranukroh Dechapol |Kedren Kittinupong|18|Yuya Komatsuzaki|Hiroki Takeuchi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:46|13|Puavaranukroh Dechapol |Kedren Kittinupong|21|Yuya Komatsuzaki|Hiroki Takeuchi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:46|22|Puavaranukroh Dechapol |Kedren Kittinupong|20|Yuya Komatsuzaki|Hiroki Takeuchi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:34|21|Hiroyuki Saeki |Ryota Taohata|9|Shohei Hoshino|Izumi Okoshi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:34|21|Hiroyuki Saeki |Ryota Taohata|19|Shohei Hoshino|Izumi Okoshi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:24|21|Taiki Shimada|Yoshinori Takeuchi|13|Chan Alan Yun Lung|Lee Chun Hei Reginald|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:24|21|Taiki Shimada|Yoshinori Takeuchi|16|Chan Alan Yun Lung|Lee Chun Hei Reginald|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:44|16|Liao Min Chun |Tseng Min Hao|21|Takatoshi Kurose|Ryota Sando|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:44|21|Liao Min Chun |Tseng Min Hao|16|Takatoshi Kurose|Ryota Sando|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:44|21|Liao Min Chun |Tseng Min Hao|16|Takatoshi Kurose|Ryota Sando|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:50|22|Kanta Tsuneyama|none|20|Anand Pawar|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:50|21|Kanta Tsuneyama|none|18|Anand Pawar|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:39|21|Ihsan Maulana Mustofa|none|13|Kazumasa Sakai|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:39|21|Ihsan Maulana Mustofa|none|11|Kazumasa Sakai|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:34|21|Shintaro Ikeda|Kazuaki Oshima|13|Shuto Morioka|Keita Ogawa|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:34|21|Shintaro Ikeda|Kazuaki Oshima|16|Shuto Morioka|Keita Ogawa|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:16|20|Kazuya Itani|Tomoya Takashina|8|Lee Yan Sheng|Lin Woon Fui|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:16|Walkover Win|Kazuya Itani|Tomoya Takashina|Walkover Loss|Lee Yan Sheng|Lin Woon Fui|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:37|21|Asumi Kugo|Megumi Yokoyama|16|Arisa Higashino [4]|Chisato Hoshi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:37|21|Asumi Kugo|Megumi Yokoyama|16|Arisa Higashino [4]|Chisato Hoshi|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:53|21|Chang Ye Na|Lee So Hee|9|Nami Matsuyama|Chiharu Shida|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:53|18|Chang Ye Na|Lee So Hee|21|Nami Matsuyama|Chiharu Shida|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:53|23|Chang Ye Na|Lee So Hee|21|Nami Matsuyama|Chiharu Shida|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|1:16|22|Christie Jonatan |none|24|Kenta Nishimoto|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|1:16|22|Christie Jonatan |none|20|Kenta Nishimoto|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|1:16|21|Christie Jonatan |none|19|Kenta Nishimoto|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:59|21|Wang Tzu Wei|none|19|Ginting Anthony|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:59|20|Wang Tzu Wei|none|22|Ginting Anthony|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:59|21|Wang Tzu Wei|none|17|Ginting Anthony|none|EAA3742E-966C-4E1B-A652-6BC693FD6720|singles
20150908|0:32|21|Keiichiro Matsui|Koshun Miura|17|Choi Solgyu|Kim Jae Hwan|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
20150908|0:32|21|Keiichiro Matsui|Koshun Miura|14|Choi Solgyu|Kim Jae Hwan|EAA3742E-966C-4E1B-A652-6BC693FD6720|doubles
