date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20171117||Walkover Win|Alberto Perals|Claudia Leal|Walkover Loss|Adam Ehm|Rozálie Bártová|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:28|21|Kyrylo Shchur|Yuliia Miroshnychenko|14|Ondřej Závodný|Adéla Závodná|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:28|14|Kyrylo Shchur|Yuliia Miroshnychenko|21|Ondřej Závodný|Adéla Závodná|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:28|21|Kyrylo Shchur|Yuliia Miroshnychenko|14|Ondřej Závodný|Adéla Závodná|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:36|14|Kai Sumida|Henriette Leber|21|Iliyan Stoynov [1]|Hristomira Popovska|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:36|21|Kai Sumida|Henriette Leber|16|Iliyan Stoynov [1]|Hristomira Popovska|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:36|22|Kai Sumida|Henriette Leber|20|Iliyan Stoynov [1]|Hristomira Popovska|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117||Walkover Win|Jan Blažek|Nela Němcová|Walkover Loss|Kilian Meusburger|Sabrina Herbst|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:22|21|Jakub Horak |Mia Tarcalova|16|Igor Kalinichenko|Arina Marushchak|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:22|21|Jakub Horak |Mia Tarcalova|14|Igor Kalinichenko|Arina Marushchak|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
20171117|0:35|17|Matěj Hubáček|Berta Ausbergerova|21|Dennis Koppen|Madouc Linders|113FAACE-8636-4A69-8F9A-3BB71F6E28A7|doubles
