date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20161124|0:30|21|Osamu Nagashima|none|19|Hiroshi Murayama|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:30|21|Osamu Nagashima|none|12|Hiroshi Murayama|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:25|21|Sam Seop Lee |none|9|Hong Tsin Chung|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:25|21|Sam Seop Lee |none|7|Hong Tsin Chung|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:28|21|Mamoru Oe|none|8|Tsutomu Shimada|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:28|21|Mamoru Oe|none|12|Tsutomu Shimada|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:26|21|Manoj Sarkar |none|17|Toshiaki Suenaga|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:26|21|Manoj Sarkar |none|19|Toshiaki Suenaga|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:52|19|Xiaoyu Chen|none|21|Pramod Bhagat [2]|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:52|21|Xiaoyu Chen|none|15|Pramod Bhagat [2]|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:52|21|Xiaoyu Chen|none|12|Pramod Bhagat [2]|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:32|21|Kumar Nitesh|none|19|Dong Jae Joo|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:32|21|Kumar Nitesh|none|17|Dong Jae Joo|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
20161124|0:20|21|Ukun Rukaendi |none|5|Shao Wu|none|C88ED65D-5F60-4652-B853-C72E8CE34C0F|singles
