date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160301|0:06|9|Marvin Emil Seidel|Linda Efler|12|Johannes Pistorius|Eva Janssens|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:06|Walkover Win|Marvin Emil Seidel|Linda Efler|Walkover Loss|Johannes Pistorius|Eva Janssens|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:38|21|Tuan Duc Do|Nhu Thao Pham|18|Ruben Jille|Iris Tabeling|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:38|13|Tuan Duc Do|Nhu Thao Pham|21|Ruben Jille|Iris Tabeling|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:38|21|Tuan Duc Do|Nhu Thao Pham|18|Ruben Jille|Iris Tabeling|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:28|21|Ksenia Polikarpova|none|13|Julie Finne-Ipsen|none|71618939-AC78-4ECB-B7A9-B1300A806E30|singles
20160301|0:28|21|Ksenia Polikarpova|none|19|Julie Finne-Ipsen|none|71618939-AC78-4ECB-B7A9-B1300A806E30|singles
20160301|0:25|21|Yang Lee|Hsieh Pei Chen|13|Kristoffer Knudsen|Emilie Juul Moller|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:25|21|Yang Lee|Hsieh Pei Chen|15|Kristoffer Knudsen|Emilie Juul Moller|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:37|22|Vasily Kuznetsov|Anastasia Chervyakova|20|Soren Gravholt|Maiken Fruergaard|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:37|26|Vasily Kuznetsov|Anastasia Chervyakova|24|Soren Gravholt|Maiken Fruergaard|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:29|21|Puavaranukroh Dechapol|Sapsiree Taerattanachai|16|Bastian Kersaudy [3]|Lea Palermo|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:29|21|Puavaranukroh Dechapol|Sapsiree Taerattanachai|12|Bastian Kersaudy [3]|Lea Palermo|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
20160301|0:23|21|Peter Kaesbauer|Franziska Volkmann|14|Mads Emil Christensen|Cecilie Sentow|71618939-AC78-4ECB-B7A9-B1300A806E30|doubles
