date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20160611|0:38|21|Damir ILIć|Peter MORITZ|12|Filip VADLJA|Danijel ZADRAVEC|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:38|21|Damir ILIć|Peter MORITZ|8|Filip VADLJA|Danijel ZADRAVEC|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611||Walkover Win|Zhivko DIMITROV|Hristo MIHALEV|Walkover Loss|Miro KULJANIć|Danijel PETRINIć|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:24|10|Robert SCHEIDL|Svetlana KATIć|21|Wolfgang KAMMEL|Claudia FISCHER|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:24|0|Robert SCHEIDL|Svetlana KATIć|2|Wolfgang KAMMEL|Claudia FISCHER|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:24|Walkover Win|Robert SCHEIDL|Svetlana KATIć|Walkover Loss|Wolfgang KAMMEL|Claudia FISCHER|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:29|21|Johann ALMER|none|15|Mauro PRODAN|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:29|21|Johann ALMER|none|13|Mauro PRODAN|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|1:21|21|Eduard VIVODA|Blaž ZAKOTNIK|8|Damir BARIšIć|Wolfgang KAMMEL|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|1:21|21|Eduard VIVODA|Blaž ZAKOTNIK|16|Damir BARIšIć|Wolfgang KAMMEL|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:20|21|Damir ILIć|none|15|Damir LUBIANA|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:20|21|Damir ILIć|none|12|Damir LUBIANA|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:28|21|Yasen RADEV|Petar VALOV|17|Zdenko MIHETEC|Karl PROELL|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:28|21|Yasen RADEV|Petar VALOV|15|Zdenko MIHETEC|Karl PROELL|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:40|21|Nanko CHORCHOPOV|Peter GITSOV|17|Markus HALTAU|Engelbert TOMES|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:40|21|Nanko CHORCHOPOV|Peter GITSOV|15|Markus HALTAU|Engelbert TOMES|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611||Walkover Win|Marija ŠIMIć HLAčA|none|Walkover Loss|Elisabeth PROELL|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:28|21|Zhivko DIMITROV|Nasya IVANOVA|13|Dalibor DORINKO|Tanja ŠKORC|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:28|21|Zhivko DIMITROV|Nasya IVANOVA|11|Dalibor DORINKO|Tanja ŠKORC|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:24|21|Davor BODALEC|none|4|Damir BARIšIć|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:24|21|Davor BODALEC|none|8|Damir BARIšIć|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:25|21|Hristo MIHALEV|Ivan PARUSHEV|13|Janos HALASZ|Fritz SCHLACHER|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:25|21|Hristo MIHALEV|Ivan PARUSHEV|6|Janos HALASZ|Fritz SCHLACHER|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|doubles
20160611|0:15|Walkover Win|Damir LUBIANA|none|Walkover Loss|Viliam UDOVIć|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:29|21|Petar VALOV|none|14|Engelbert TOMES|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:29|21|Petar VALOV|none|15|Engelbert TOMES|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:30|21|Markus HALTAU|none|16|Mauro PRODAN|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:30|21|Markus HALTAU|none|9|Mauro PRODAN|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
20160611|0:30|24|Marija ŠIMIć HLAčA|none|22|Brigitta MAHR|none|40D36F7E-BDD3-44FA-9378-19A6E522CFBC|singles
