date|duration|p1_scores|p1a|p1b|p2_scores|p2a|p2b|tournament_id|type
20140121||Walkover Win|Rebecca Gummadi|none|Walkover Loss|Rini Tandel|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:17|21|Santoshi Hasini R|none|11|Shraddha Srivastava|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:17|21|Santoshi Hasini R|none|16|Shraddha Srivastava|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|21|Sanchali Dasgupta|none|9|Daksha Gautam|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|21|Sanchali Dasgupta|none|11|Daksha Gautam|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:35|21|Jyoti Nashier|none|17|Yamini Sharma|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:35|21|Jyoti Nashier|none|23|Yamini Sharma|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:35|21|Jyoti Nashier|none|9|Yamini Sharma|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|21|Rachita Sachdev|none|5|Meenu Singh|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|21|Rachita Sachdev|none|13|Meenu Singh|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121||Walkover Loss|Arzoo Thakur|none|Walkover Win|Rucha Nikam|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:34|21|Shruti Mundada|none|15|Ekta Kalia|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:34|21|Shruti Mundada|none|18|Ekta Kalia|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121||Walkover Win|Jagriti Nashier|none|Walkover Loss|Anita Ohlan|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:27|21|Bennet Antony|P. H. Suraj|13|Shlok Ramchandran|Sanyam Shukla|C0654A31-19C1-4964-B5FF-7D1C35BF6536|doubles
20140121|0:27|21|Bennet Antony|P. H. Suraj|19|Shlok Ramchandran|Sanyam Shukla|C0654A31-19C1-4964-B5FF-7D1C35BF6536|doubles
20140121|0:24|21|Santoshi Hasini R|none|11|Rebecca Gummadi|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:24|21|Santoshi Hasini R|none|12|Rebecca Gummadi|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|21|Sanchali Dasgupta|none|15|Jyoti Nashier|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|21|Sanchali Dasgupta|none|13|Jyoti Nashier|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:18|Walkover Win|Sanchali Dasgupta|none|Walkover Loss|Jyoti Nashier|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|1
20140121|0:15|21|Shruti Mundada|none|3|Jagriti Nashier|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140121|0:15|21|Shruti Mundada|none|8|Jagriti Nashier|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122||Walkover Win|Rebecca Gummadi|none|Walkover Loss|Rini Tandel|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122|0:17|21|Santoshi Hasini R|none|11|Shraddha Srivastava|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122|0:17|21|Santoshi Hasini R|none|16|Shraddha Srivastava|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122|0:18|21|Sanchali Dasgupta|none|9|Daksha Gautam|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122|0:18|21|Sanchali Dasgupta|none|11|Daksha Gautam|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122|0:35|21|Jyoti Nashier|none|17|Yamini Sharma|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
20140122|0:35|21|Jyoti Nashier|none|23|Yamini Sharma|none|C0654A31-19C1-4964-B5FF-7D1C35BF6536|singles
